Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-12-16,2017-2018,La Liga,Valencia,Eibar,Away,1,2,L,Ferran Torres,N,,10,0,0,0,0,0,0,0,0,0,1,0
2018-02-17,2017-2018,La Liga,Valencia,Málaga,Away,2,1,W,Ferran Torres,N,,11,0,0,0,0,0,0,0,0,0,0,0
2018-02-25,2017-2018,La Liga,Valencia,Real Sociedad,Home,2,1,W,Ferran Torres,N,,18,0,0,0,0,0,0,0,0,1,0,0
2018-02-28,2017-2018,La Liga,Valencia,Athletic Club,Away,1,1,D,Ferran Torres,Y,RM,74,0,1,1,0,0,0,1,0,2,4,0
2018-03-04,2017-2018,La Liga,Valencia,Real Betis,Home,2,0,W,Ferran Torres,N,,7,0,0,0,0,0,0,0,0,1,0,1
2018-03-10,2017-2018,La Liga,Valencia,Sevilla,Away,2,0,W,Ferran Torres,N,,14,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,2017-2018,La Liga,Valencia,Leganés,Away,1,0,W,Ferran Torres,N,,26,0,0,0,0,0,0,3,0,0,0,0
2018-04-08,2017-2018,La Liga,Valencia,Espanyol,Home,1,0,W,Ferran Torres,N,,2,0,0,0,0,0,0,0,0,0,0,0
2018-04-18,2017-2018,La Liga,Valencia,Getafe,Home,1,2,L,Ferran Torres,N,,30,0,0,1,1,0,0,0,0,3,0,0
2018-04-21,2017-2018,La Liga,Valencia,Celta Vigo,Away,1,1,D,Ferran Torres,N,,13,0,0,1,1,0,0,0,0,2,0,0
2018-04-29,2017-2018,La Liga,Valencia,Eibar,Home,0,0,D,Ferran Torres,N,,10,0,0,0,0,0,0,0,0,2,0,0
2018-05-05,2017-2018,La Liga,Valencia,Villarreal,Away,0,1,L,Ferran Torres,N,,20,0,0,0,0,0,0,0,0,0,0,0
2018-05-12,2017-2018,La Liga,Valencia,Girona,Away,1,0,W,Ferran Torres,Y,RM,76,0,0,0,0,0,0,0,0,0,2,2
2018-09-02,2018-2019,La Liga,Valencia,Levante,Away,2,2,D,Ferran Torres,N,,21,0,0,1,1,1,0,1,0,1,0,2
2018-09-15,2018-2019,La Liga,Valencia,Real Betis,Home,0,0,D,Ferran Torres,Y,RM,62,0,0,2,1,1,0,2,0,3,2,0
2018-09-23,2018-2019,La Liga,Valencia,Villarreal,Away,0,0,D,Ferran Torres,Y,RM,55,0,0,0,0,0,0,2,0,4,1,0
2018-10-20,2018-2019,La Liga,Valencia,Leganés,Home,1,1,D,Ferran Torres,N,,13,0,0,0,0,0,0,0,0,1,0,0
2018-11-03,2018-2019,La Liga,Valencia,Girona,Home,0,1,L,Ferran Torres,N,,6,0,0,0,0,0,0,0,0,0,0,0
2018-11-10,2018-2019,La Liga,Valencia,Getafe,Away,1,0,W,Ferran Torres,N,,1,0,0,0,0,0,0,0,0,0,0,0
2018-11-24,2018-2019,La Liga,Valencia,Rayo Vallecano,Home,3,0,W,Ferran Torres,N,,19,0,0,0,0,0,0,0,0,0,0,0
2018-12-15,2018-2019,La Liga,Valencia,Eibar,Away,1,1,D,Ferran Torres,N,,9,0,0,0,0,0,0,0,0,0,0,0
2018-12-23,2018-2019,La Liga,Valencia,Huesca,Home,2,1,W,Ferran Torres,N,,20,0,0,1,0,0,0,1,0,2,1,0
2019-01-05,2018-2019,La Liga,Valencia,Alavés,Away,1,2,L,Ferran Torres,N,,29,0,0,0,0,1,0,1,0,3,0,0
2019-01-19,2018-2019,La Liga,Valencia,Celta Vigo,Away,2,1,W,Ferran Torres,N,,30,1,0,2,2,1,0,1,0,2,0,0
2019-01-26,2018-2019,La Liga,Valencia,Villarreal,Home,3,0,W,Ferran Torres,N,,14,0,1,0,0,0,0,0,0,2,0,1
2019-02-02,2018-2019,La Liga,Valencia,Barcelona,Away,2,2,D,Ferran Torres,N,,51,0,0,0,0,0,0,0,0,1,0,3
2019-02-17,2018-2019,La Liga,Valencia,Espanyol,Home,0,0,D,Ferran Torres,Y,RM,75,0,0,2,0,0,0,2,0,6,1,0
2019-03-03,2018-2019,La Liga,Valencia,Athletic Club,Home,2,0,W,Ferran Torres,Y,RM,75,0,0,2,0,0,0,0,0,1,1,0
2019-03-10,2018-2019,La Liga,Valencia,Girona,Away,3,2,W,Ferran Torres,Y,RM,90,1,0,2,1,0,0,1,0,0,0,1
2019-03-17,2018-2019,La Liga,Valencia,Getafe,Home,0,0,D,Ferran Torres,Y,RM,67,0,0,0,0,0,0,2,0,3,0,0
2019-03-31,2018-2019,La Liga,Valencia,Sevilla,Away,1,0,W,Ferran Torres,N,,12,0,0,0,0,0,0,0,0,0,0,0
