Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2011-11-06,2011-2012,La Liga,Villarreal,Espanyol,Away,0,0,D 0–0,Florian Lejeune,N,-,2,0,0,-,0,-,-,0,-,-,-,-
2012-01-08,2011-2012,La Liga,Villarreal,Valencia,Home,2,2,D 2–2,Florian Lejeune,N,-,14,0,0,-,0,-,-,0,-,-,-,-
2013-01-12,2012-2013,Ligue 1,Brest,Evian,Away,2,0,W 2-0,Florian Lejeune,Y,-,90,0,0,-,0,1,0,-,-,-,-,-
2013-01-19,2012-2013,Ligue 1,Brest,Saint-Étienne,Home,0,1,L 0-1,Florian Lejeune,Y,-,90,0,0,-,0,1,0,-,-,-,-,-
2013-01-26,2012-2013,Ligue 1,Brest,Troyes,Away,1,2,L 1-2,Florian Lejeune,Y,-,90,0,0,-,0,0,0,-,-,-,-,-
2013-02-09,2012-2013,Ligue 1,Brest,Valenciennes,Away,1,2,L 1-2,Florian Lejeune,Y,-,90,0,0,-,0,1,0,-,-,-,-,-
2013-02-16,2012-2013,Ligue 1,Brest,Ajaccio,Home,1,1,D 1-1,Florian Lejeune,Y,-,90,0,0,-,0,0,0,-,-,-,-,-
2013-03-03,2012-2013,Ligue 1,Brest,Lyon,Home,1,1,D 1-1,Florian Lejeune,Y,-,90,0,0,-,0,1,0,-,-,-,-,-
2013-03-09,2012-2013,Ligue 1,Brest,Toulouse,Away,0,1,L 0-1,Florian Lejeune,Y,-,90,0,0,-,0,0,0,-,-,-,-,-
2013-03-16,2012-2013,Ligue 1,Brest,Lorient,Away,0,4,L 0-4,Florian Lejeune,Y,-,90,0,0,-,0,0,0,-,-,-,-,-
2013-05-04,2012-2013,Ligue 1,Brest,Montpellier,Away,1,2,L 1-2,Florian Lejeune,N,-,72,0,0,-,0,0,0,-,-,-,-,-
