Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-08-18,2018-2019,La Liga,Celta Vigo,Espanyol,Home,1,1,D,Fran Beltrán,Y,DM,90,0,0,1,0,0,0,0,0,1,1,2
2018-08-27,2018-2019,La Liga,Celta Vigo,Levante,Away,2,1,W,Fran Beltrán,Y,CM,90,0,0,1,0,0,0,1,1,0,1,1
2018-09-01,2018-2019,La Liga,Celta Vigo,Atlético Madrid,Home,2,0,W,Fran Beltrán,Y,CM,90,0,0,3,0,0,0,0,0,0,1,0
2018-09-17,2018-2019,La Liga,Celta Vigo,Girona,Away,2,3,L,Fran Beltrán,Y,DM,74,0,0,2,0,1,0,1,2,0,2,1
2018-09-22,2018-2019,La Liga,Celta Vigo,Valladolid,Home,3,3,D,Fran Beltrán,N,N/A,9,0,0,0,0,0,0,0,1,0,1,1
2018-09-26,2018-2019,La Liga,Celta Vigo,Valencia,Away,1,1,D,Fran Beltrán,Y,CM,90,0,0,1,0,1,0,1,0,0,0,2
2018-10-01,2018-2019,La Liga,Celta Vigo,Getafe,Home,1,1,D,Fran Beltrán,Y,CM,58,0,0,0,0,0,0,0,0,0,1,0
2018-10-07,2018-2019,La Liga,Celta Vigo,Sevilla,Away,1,2,L,Fran Beltrán,Y,DM,90,0,0,0,0,0,0,1,2,0,1,1
2018-10-19,2018-2019,La Liga,Celta Vigo,Alavés,Home,0,1,L,Fran Beltrán,Y,CM,62,0,0,0,0,0,0,0,1,0,1,2
2018-10-27,2018-2019,La Liga,Celta Vigo,Eibar,Home,4,0,W,Fran Beltrán,Y,DM,90,0,0,0,0,0,0,0,0,0,3,0
2018-11-04,2018-2019,La Liga,Celta Vigo,Real Betis,Away,3,3,D,Fran Beltrán,Y,CM,90,0,0,0,0,0,0,0,0,0,2,4
2018-11-11,2018-2019,La Liga,Celta Vigo,Real Madrid,Home,2,4,L,Fran Beltrán,Y,CM,62,0,0,2,0,0,0,0,0,0,0,1
2018-12-01,2018-2019,La Liga,Celta Vigo,Huesca,Home,2,0,W,Fran Beltrán,N,N/A,15,0,0,0,0,0,0,2,0,0,0,0
2018-12-08,2018-2019,La Liga,Celta Vigo,Villarreal,Away,3,2,W,Fran Beltrán,N,N/A,15,0,0,0,0,0,0,0,0,0,0,0
2018-12-14,2018-2019,La Liga,Celta Vigo,Leganés,Home,0,0,D,Fran Beltrán,N,N/A,29,0,0,1,0,0,0,0,0,1,0,0
2018-12-22,2018-2019,La Liga,Celta Vigo,Barcelona,Away,0,2,L,Fran Beltrán,N,N/A,39,0,0,2,0,0,0,0,1,0,0,0
2019-01-07,2018-2019,La Liga,Celta Vigo,Athletic Club,Home,1,2,L,Fran Beltrán,Y,AM,79,1,0,3,2,0,0,1,0,0,1,0
2019-01-11,2018-2019,La Liga,Celta Vigo,Rayo Vallecano,Away,2,4,L,Fran Beltrán,Y,AM,77,0,0,0,0,0,0,1,1,0,0,0
2019-01-19,2018-2019,La Liga,Celta Vigo,Valencia,Home,1,2,L,Fran Beltrán,N,N/A,2,0,0,0,0,0,0,0,0,0,0,0
2019-01-27,2018-2019,La Liga,Celta Vigo,Valladolid,Away,1,2,L,Fran Beltrán,N,N/A,32,0,0,0,0,0,0,1,2,0,0,2
2019-02-02,2018-2019,La Liga,Celta Vigo,Sevilla,Home,1,0,W,Fran Beltrán,Y,AM,90,0,0,1,1,1,0,1,2,0,0,2
