Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-08-15,2021-2022,La Liga,Rayo Vallecano,Sevilla,Away,0,3,L,Fran García,Y,LB,90,0,0,1,0,0,0,0,0,1,0,2
2021-08-22,2021-2022,La Liga,Rayo Vallecano,Real Sociedad,Home,0,1,L,Fran García,Y,LB,90,0,0,0,0,1,0,1,1,1,2,1
2021-08-29,2021-2022,La Liga,Rayo Vallecano,Granada,Home,4,0,W,Fran García,Y,LB,90,0,0,1,0,0,0,2,1,0,1,3
2021-09-11,2021-2022,La Liga,Rayo Vallecano,Levante,Away,1,1,D,Fran García,Y,LB,90,0,0,0,0,0,0,0,0,2,3,4
2021-09-18,2021-2022,La Liga,Rayo Vallecano,Getafe,Home,3,0,W,Fran García,Y,LB,90,0,0,0,0,1,0,2,0,4,1,2
2021-09-21,2021-2022,La Liga,Rayo Vallecano,Athletic Club,Away,2,1,W,Fran García,Y,LB,90,0,0,0,0,0,0,0,1,2,2,3
2021-09-26,2021-2022,La Liga,Rayo Vallecano,Cádiz,Home,3,1,W,Fran García,Y,LB,90,0,0,1,0,0,0,2,0,1,0,0
2021-10-02,2021-2022,La Liga,Rayo Vallecano,Osasuna,Away,0,1,L,Fran García,Y,LB,90,0,0,0,0,0,0,1,2,6,0,3
2021-10-17,2021-2022,La Liga,Rayo Vallecano,Elche,Home,2,1,W,Fran García,Y,LB,90,0,0,1,1,0,0,1,1,5,2,1
2021-10-24,2021-2022,La Liga,Rayo Vallecano,Real Betis,Away,2,3,L,Fran García,Y,LB,90,0,0,0,0,0,0,0,1,5,2,1
2021-10-27,2021-2022,La Liga,Rayo Vallecano,Barcelona,Home,1,0,W,Fran García,Y,LB,90,0,0,0,0,0,0,0,0,2,2,1
2021-11-01,2021-2022,La Liga,Rayo Vallecano,Celta Vigo,Home,0,0,D,Fran García,Y,LB,90,0,0,2,2,0,0,3,0,2,2,2
2021-11-06,2021-2022,La Liga,Rayo Vallecano,Real Madrid,Away,1,2,L,Fran García,Y,LB,90,0,0,0,0,0,0,2,1,6,2,1
