Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-08-16,2019-2020,La Liga,Barcelona,Athletic Club,Away,0,1,L,Frenkie de Jong,Y,CM,90,0,0,0,0,0,0,1,0,0,2,0
2019-08-25,2019-2020,La Liga,Barcelona,Real Betis,Home,5,2,W,Frenkie de Jong,Y,CM,90,0,0,0,0,0,0,1,0,0,1,0
2019-08-31,2019-2020,La Liga,Barcelona,Osasuna,Away,2,2,D,Frenkie de Jong,Y,CM,81,0,0,0,0,1,0,2,0,1,3,0
2019-09-14,2019-2020,La Liga,Barcelona,Valencia,Home,5,2,W,Frenkie de Jong,Y,CM,69,1,1,1,1,0,0,1,0,0,1,0
2019-09-21,2019-2020,La Liga,Barcelona,Granada,Away,0,2,L,Frenkie de Jong,Y,CM,90,0,0,0,0,0,0,1,0,0,3,1
2019-09-24,2019-2020,La Liga,Barcelona,Villarreal,Home,2,1,W,Frenkie de Jong,N,,28,0,0,0,0,0,0,0,0,0,1,0
2019-09-28,2019-2020,La Liga,Barcelona,Getafe,Away,2,0,W,Frenkie de Jong,Y,CM,90,0,0,0,0,0,0,1,0,0,2,2
2019-10-06,2019-2020,La Liga,Barcelona,Sevilla,Home,4,0,W,Frenkie de Jong,Y,CM,90,0,0,0,0,0,0,2,0,0,1,1
2019-10-19,2019-2020,La Liga,Barcelona,Eibar,Away,3,0,W,Frenkie de Jong,Y,CM,78,0,0,0,0,0,0,1,1,1,1,0
2019-10-29,2019-2020,La Liga,Barcelona,Valladolid,Home,5,1,W,Frenkie de Jong,Y,CM,59,0,0,0,0,0,0,0,0,0,2,0
2019-11-02,2019-2020,La Liga,Barcelona,Levante,Away,1,3,L,Frenkie de Jong,Y,CM,90,0,0,0,0,0,0,0,0,0,1,0
2019-11-09,2019-2020,La Liga,Barcelona,Celta Vigo,Home,4,1,W,Frenkie de Jong,Y,CM,90,0,0,0,0,0,0,4,0,0,1,2
2019-11-23,2019-2020,La Liga,Barcelona,Leganés,Away,2,1,W,Frenkie de Jong,Y,DM,69,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,2019-2020,La Liga,Barcelona,Atlético Madrid,Away,1,0,W,Frenkie de Jong,Y,CM,90,0,0,0,0,0,0,0,0,2,1,3
2019-12-07,2019-2020,La Liga,Barcelona,Mallorca,Home,5,2,W,Frenkie de Jong,Y,CM,63,0,1,0,0,0,0,0,0,0,0,3
2019-12-14,2019-2020,La Liga,Barcelona,Real Sociedad,Away,2,2,D,Frenkie de Jong,Y,CM,90,0,0,0,0,0,0,0,0,0,0,0
2019-12-18,2019-2020,La Liga,Barcelona,Real Madrid,Home,0,0,D,Frenkie de Jong,Y,CM,90,0,0,1,1,0,0,0,0,0,0,0
2019-12-21,2019-2020,La Liga,Barcelona,Alavés,Home,4,1,W,Frenkie de Jong,N,,12,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,2019-2020,La Liga,Barcelona,Espanyol,Away,2,2,D,Frenkie de Jong,Y,CM,74,0,0,0,0,2,1,4,0,0,0,0
2020-01-25,2019-2020,La Liga,Barcelona,Valencia,Away,0,2,L,Frenkie de Jong,Y,AM,84,0,0,1,1,0,0,1,0,0,0,0
2020-02-02,2019-2020,La Liga,Barcelona,Levante,Home,2,1,W,Frenkie de Jong,Y,CM,79,0,0,0,0,0,0,0,0,0,1,1
2020-02-09,2019-2020,La Liga,Barcelona,Real Betis,Away,3,2,W,Frenkie de Jong,Y,CM,90,1,0,1,1,0,0,1,0,0,1,2
2020-02-15,2019-2020,La Liga,Barcelona,Getafe,Home,2,1,W,Frenkie de Jong,Y,CM,90,0,0,0,0,0,0,2,0,0,0,0
2020-02-22,2019-2020,La Liga,Barcelona,Eibar,Home,5,0,W,Frenkie de Jong,N,,32,0,0,0,0,0,0,0,0,0,1,0
2020-03-01,2019-2020,La Liga,Barcelona,Real Madrid,Away,0,2,L,Frenkie de Jong,Y,LM,90,0,0,0,0,0,0,0,0,0,1,0
