Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-09-21,2020-2021,Premier League,Wolves,Manchester City,Home,1,3,L,Fábio Silva,N,,13,0,0,0,0,0,0,0,0,0,0,0
2020-09-27,2020-2021,Premier League,Wolves,West Ham,Away,0,4,L,Fábio Silva,N,,29,0,0,2,0,0,0,0,0,0,0,1
2020-10-30,2020-2021,Premier League,Wolves,Crystal Palace,Home,2,0,W,Fábio Silva,N,,1,0,0,0,0,0,0,0,0,0,0,0
2020-11-08,2020-2021,Premier League,Wolves,Leicester City,Away,0,1,L,Fábio Silva,N,,12,0,0,1,0,0,0,0,0,0,0,0
2020-11-29,2020-2021,Premier League,Wolves,Arsenal,Away,2,1,W,Fábio Silva,N,,63,0,0,3,1,1,0,1,0,0,0,0
2020-12-06,2020-2021,Premier League,Wolves,Liverpool,Away,0,4,L,Fábio Silva,N,,29,0,0,0,0,0,0,1,0,0,0,0
2020-12-12,2020-2021,Premier League,Wolves,Aston Villa,Home,0,1,L,Fábio Silva,Y,FW,90,0,0,4,1,0,0,2,0,0,0,0
2020-12-15,2020-2021,Premier League,Wolves,Chelsea,Home,2,1,W,Fábio Silva,Y,FW,60,0,0,0,0,0,0,0,1,1,0,0
2020-12-21,2020-2021,Premier League,Wolves,Burnley,Away,1,2,L,Fábio Silva,N,,31,1,0,2,1,0,0,0,0,0,0,0
2020-12-27,2020-2021,Premier League,Wolves,Tottenham,Home,1,1,D,Fábio Silva,Y,FW,90,0,0,3,1,0,0,1,1,0,1,0
2020-12-29,2020-2021,Premier League,Wolves,Manchester Utd,Away,0,1,L,Fábio Silva,N,,23,0,0,0,0,0,0,1,0,0,0,0
2021-01-02,2020-2021,Premier League,Wolves,Brighton,Away,3,3,D,Fábio Silva,Y,FW,86,0,0,1,0,0,0,0,0,0,0,0
2021-01-12,2020-2021,Premier League,Wolves,Everton,Home,1,2,L,Fábio Silva,Y,FW,77,0,0,2,1,0,0,0,0,0,0,0
2021-01-16,2020-2021,Premier League,Wolves,West Brom,Home,2,3,L,Fábio Silva,Y,FW,90,1,0,5,1,1,0,3,0,1,1,0
2021-01-30,2020-2021,Premier League,Wolves,Crystal Palace,Away,0,1,L,Fábio Silva,N,,13,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,2020-2021,Premier League,Wolves,Arsenal,Home,2,1,W,Fábio Silva,N,,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-07,2020-2021,Premier League,Wolves,Leicester City,Home,0,0,D,Fábio Silva,N,,30,0,0,1,1,0,0,0,0,0,0,1
2021-02-14,2020-2021,Premier League,Wolves,Southampton,Away,2,1,W,Fábio Silva,N,,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-19,2020-2021,Premier League,Wolves,Leeds United,Home,1,0,W,Fábio Silva,N,,4,0,0,1,0,0,0,0,0,0,0,0
2021-02-27,2020-2021,Premier League,Wolves,Newcastle,Away,1,1,D,Fábio Silva,N,,9,0,0,1,1,0,0,0,0,0,0,0
