Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-09-20,2015-2016,La Liga,Barcelona,Levante,Home,4,1,W,Gerard Gumbau,N,,29,0,0,0,0,0,0,0,0,0,2,0
2015-09-26,2015-2016,La Liga,Barcelona,Las Palmas,Home,2,1,W,Gerard Gumbau,N,,1,0,0,0,0,0,0,0,0,0,0,0
2015-10-17,2015-2016,La Liga,Barcelona,Rayo Vallecano,Home,5,2,W,Gerard Gumbau,N,,15,0,0,0,0,0,0,0,0,0,0,0
2017-08-27,2017-2018,La Liga,Leganés,Espanyol,Away,1,0,W,Gerard Gumbau,N,,4,0,0,1,1,1,0,1,0,0,0,0
2017-09-24,2017-2018,La Liga,Leganés,Las Palmas,Away,2,0,W,Gerard Gumbau,N,,26,0,0,0,0,0,0,0,0,0,1,0
2017-09-30,2017-2018,La Liga,Leganés,Atlético Madrid,Home,0,0,D,Gerard Gumbau,N,,16,0,0,0,0,0,0,1,0,0,1,0
2017-11-04,2017-2018,La Liga,Leganés,Valencia,Away,0,3,L,Gerard Gumbau,N,,31,0,0,1,0,0,0,2,0,0,0,0
2017-11-18,2017-2018,La Liga,Leganés,Barcelona,Home,0,3,L,Gerard Gumbau,N,,25,0,0,1,0,0,0,1,0,0,1,1
2017-11-24,2017-2018,La Liga,Leganés,Celta Vigo,Away,0,1,L,Gerard Gumbau,Y,CM,90,0,0,1,1,1,0,4,1,0,1,1
2017-12-09,2017-2018,La Liga,Leganés,Dep. La Coruña,Away,0,1,L,Gerard Gumbau,N,,45,0,0,0,0,1,0,3,0,0,0,1
2017-12-19,2017-2018,La Liga,Leganés,Levante,Home,0,0,D,Gerard Gumbau,Y,DM,90,0,0,1,1,1,0,5,0,0,3,1
2018-01-07,2017-2018,La Liga,Leganés,Real Sociedad,Home,1,0,W,Gerard Gumbau,Y,DM,45,0,0,0,0,0,0,1,0,1,0,0
2018-01-15,2017-2018,La Liga,Leganés,Real Betis,Away,2,3,L,Gerard Gumbau,Y,DM,90,1,0,2,1,1,0,1,0,0,3,0
2018-01-28,2017-2018,La Liga,Leganés,Espanyol,Home,3,2,W,Gerard Gumbau,Y,DM,90,0,0,1,0,0,0,4,0,0,3,1
2018-02-04,2017-2018,La Liga,Leganés,Getafe,Home,0,0,D,Gerard Gumbau,Y,DM,90,0,0,0,0,0,0,0,0,0,2,0
2018-02-10,2017-2018,La Liga,Leganés,Eibar,Home,0,1,L,Gerard Gumbau,Y,DM,90,0,0,0,0,0,0,0,0,0,2,2
2018-02-16,2017-2018,La Liga,Leganés,Girona,Away,0,3,L,Gerard Gumbau,Y,DM,90,0,0,2,1,1,0,2,0,0,0,1
2018-02-21,2017-2018,La Liga,Leganés,Real Madrid,Home,1,3,L,Gerard Gumbau,Y,DM,45,0,0,0,0,0,0,0,1,0,0,1
2018-02-24,2017-2018,La Liga,Leganés,Las Palmas,Home,0,0,D,Gerard Gumbau,N,,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-28,2017-2018,La Liga,Leganés,Atlético Madrid,Away,0,4,L,Gerard Gumbau,Y,CM,90,0,0,1,0,1,0,2,0,0,0,1
2018-03-03,2017-2018,La Liga,Leganés,Málaga,Home,2,0,W,Gerard Gumbau,N,,1,0,0,0,0,0,0,0,0,0,1,0
2018-03-11,2017-2018,La Liga,Leganés,Athletic Club,Away,0,2,L,Gerard Gumbau,Y,DM,45,0,0,0,0,0,0,2,0,1,1,1
2018-03-18,2017-2018,La Liga,Leganés,Sevilla,Home,2,1,W,Gerard Gumbau,N,,1,0,0,0,0,0,0,0,0,0,0,0
2018-04-14,2017-2018,La Liga,Leganés,Celta Vigo,Home,1,0,W,Gerard Gumbau,Y,DM,88,0,0,3,1,1,0,1,0,0,0,3
2018-04-17,2017-2018,La Liga,Leganés,Villarreal,Away,1,2,L,Gerard Gumbau,Y,DM,90,0,0,1,0,0,0,3,0,0,2,0
2018-05-07,2017-2018,La Liga,Leganés,Levante,Home,0,3,L,Gerard Gumbau,Y,DM,90,0,0,1,0,0,0,3,0,0,2,0
2018-05-12,2017-2018,La Liga,Leganés,Real Sociedad,Away,2,3,L,Gerard Gumbau,Y,DM,71,0,0,0,0,0,0,1,0,0,1,0
2018-05-19,2017-2018,La Liga,Leganés,Real Betis,Home,3,2,W,Gerard Gumbau,Y,DM,90,0,0,1,0,0,0,4,0,0,1,0
2018-08-20,2018-2019,La Liga,Leganés,Athletic Club,Away,1,2,L,Gerard Gumbau,Y,DM,90,0,0,2,0,1,0,2,0,2,1,1
2018-08-24,2018-2019,La Liga,Leganés,Real Sociedad,Home,2,2,D,Gerard Gumbau,Y,DM,90,0,1,2,0,0,0,1,0,1,2,1
2018-09-01,2018-2019,La Liga,Leganés,Real Madrid,Away,1,4,L,Gerard Gumbau,Y,CM,90,0,0,0,0,0,0,2,0,0,1,1
2018-09-16,2018-2019,La Liga,Leganés,Villarreal,Home,0,1,L,Gerard Gumbau,Y,DM,90,0,0,2,1,0,0,2,0,1,2,1
2018-09-22,2018-2019,La Liga,Leganés,Eibar,Away,0,1,L,Gerard Gumbau,Y,CM,90,0,0,0,0,1,0,4,0,0,2,4
2018-09-26,2018-2019,La Liga,Leganés,Barcelona,Home,2,1,W,Gerard Gumbau,N,,17,0,0,0,0,0,0,1,0,0,0,0
2018-09-30,2018-2019,La Liga,Leganés,Real Betis,Away,0,1,L,Gerard Gumbau,Y,CM,90,0,0,2,1,0,0,1,0,1,3,0
2018-10-06,2018-2019,La Liga,Leganés,Rayo Vallecano,Home,1,0,W,Gerard Gumbau,N,,5,0,0,1,1,0,0,0,0,0,0,0
2018-10-20,2018-2019,La Liga,Leganés,Valencia,Away,1,1,D,Gerard Gumbau,Y,AM,90,1,0,2,1,1,0,2,0,1,1,2
2018-12-01,2018-2019,La Liga,Leganés,Valladolid,Away,4,2,W,Gerard Gumbau,N,,8,0,0,0,0,0,0,0,0,1,0,0
2018-12-07,2018-2019,La Liga,Leganés,Getafe,Home,1,1,D,Gerard Gumbau,Y,DM,90,0,0,1,0,0,0,0,0,4,2,1
2018-12-14,2018-2019,La Liga,Leganés,Celta Vigo,Away,0,0,D,Gerard Gumbau,Y,CM,90,0,0,0,0,0,0,1,0,1,1,0
2019-01-04,2018-2019,La Liga,Leganés,Espanyol,Away,0,1,L,Gerard Gumbau,Y,CM,89,0,0,2,0,2,1,7,0,6,1,0
2019-04-07,2018-2019,La Liga,Leganés,Alavés,Away,1,1,D,Gerard Gumbau,Y,CM,90,0,0,3,2,1,0,3,0,7,0,0
2019-04-21,2018-2019,La Liga,Leganés,Villarreal,Away,1,2,L,Gerard Gumbau,Y,AM,90,0,0,0,0,0,0,1,0,7,0,0
2019-04-24,2018-2019,La Liga,Leganés,Athletic Club,Home,0,1,L,Gerard Gumbau,Y,AM,90,0,0,2,0,0,0,1,0,5,0,2
2021-09-13,2021-2022,La Liga,Elche,Getafe,Away,1,0,W,Gerard Gumbau,N,,18,0,0,0,0,0,0,1,0,0,0,0
2021-09-22,2021-2022,La Liga,Elche,Villarreal,Away,1,4,L,Gerard Gumbau,Y,CM,63,0,0,0,0,0,0,2,0,0,3,0
2021-09-26,2021-2022,La Liga,Elche,Real Sociedad,Away,0,1,L,Gerard Gumbau,N,,24,0,0,1,0,0,0,1,0,0,1,0
2021-10-17,2021-2022,La Liga,Elche,Rayo Vallecano,Away,1,2,L,Gerard Gumbau,Y,CM,64,0,0,0,0,1,0,2,0,1,0,0
2021-10-23,2021-2022,La Liga,Elche,Espanyol,Home,2,2,D,Gerard Gumbau,N,,28,0,0,0,0,0,0,2,0,1,0,1
2021-10-26,2021-2022,La Liga,Elche,Alavés,Away,0,1,L,Gerard Gumbau,N,,11,0,0,0,0,0,0,1,0,2,0,0
2021-10-30,2021-2022,La Liga,Elche,Real Madrid,Home,1,2,L,Gerard Gumbau,N,,20,0,0,0,0,0,0,1,0,1,0,0
2021-11-07,2021-2022,La Liga,Elche,Mallorca,Away,2,2,D,Gerard Gumbau,Y,CM,90,0,0,0,0,0,0,4,0,3,3,1
2021-11-21,2021-2022,La Liga,Elche,Real Betis,Home,0,3,L,Gerard Gumbau,Y,CM,90,0,0,2,0,0,0,1,0,7,0,0
2021-11-29,2021-2022,La Liga,Elche,Osasuna,Away,1,1,D,Gerard Gumbau,N,,31,0,0,0,0,0,0,1,0,0,0,1
2021-12-05,2021-2022,La Liga,Elche,Cádiz,Home,3,1,W,Gerard Gumbau,N,,26,0,1,0,0,1,0,1,0,1,0,0
2021-12-11,2021-2022,La Liga,Elche,Valencia,Away,1,2,L,Gerard Gumbau,N,,30,0,0,0,0,0,0,1,0,1,0,0
2021-12-18,2021-2022,La Liga,Elche,Barcelona,Away,2,3,L,Gerard Gumbau,N,,45,0,0,0,0,1,0,1,0,1,0,2
2022-01-02,2021-2022,La Liga,Elche,Granada,Away,0,0,D,Gerard Gumbau,Y,DM,90,0,0,1,0,0,0,3,0,8,1,1
2022-01-10,2021-2022,La Liga,Elche,Espanyol,Away,2,1,W,Gerard Gumbau,Y,CM,90,0,0,1,0,1,0,7,0,3,0,0
2022-01-16,2021-2022,La Liga,Elche,Villarreal,Home,1,0,W,Gerard Gumbau,Y,CM,83,0,1,3,1,0,0,0,0,3,1,1
2022-01-23,2021-2022,La Liga,Elche,Real Madrid,Away,2,2,D,Gerard Gumbau,Y,CM,90,0,0,0,0,0,0,0,0,3,1,2
2022-02-05,2021-2022,La Liga,Elche,Alavés,Home,3,1,W,Gerard Gumbau,Y,CM,90,0,0,0,0,0,0,2,0,7,0,0
2022-02-11,2021-2022,La Liga,Elche,Sevilla,Away,0,2,L,Gerard Gumbau,Y,CM,73,0,0,0,0,1,0,2,0,4,2,0
2022-02-25,2021-2022,La Liga,Elche,Levante,Away,0,3,L,Gerard Gumbau,Y,CM,72,0,0,0,0,0,1,1,0,5,0,1
2022-03-12,2021-2022,La Liga,Elche,Granada,Away,1,0,W,Gerard Gumbau,Y,CM,73,0,0,1,0,1,0,4,0,4,1,1
2022-03-19,2021-2022,La Liga,Elche,Valencia,Home,0,1,L,Gerard Gumbau,Y,CM,66,0,0,0,0,0,0,1,0,3,0,0
2022-04-03,2021-2022,La Liga,Elche,Athletic Club,Away,1,2,L,Gerard Gumbau,Y,CM,90,0,1,2,0,0,0,1,0,5,2,2
2022-04-10,2021-2022,La Liga,Elche,Real Sociedad,Home,1,2,L,Gerard Gumbau,Y,CM,45,0,0,0,0,1,0,2,0,1,0,1
2022-04-16,2021-2022,La Liga,Elche,Mallorca,Home,3,0,W,Gerard Gumbau,N,,23,0,0,1,0,0,0,0,0,0,0,1
2022-04-19,2021-2022,La Liga,Elche,Real Betis,Away,1,0,W,Gerard Gumbau,Y,CM,90,0,0,1,0,0,0,2,0,1,2,2
2022-05-01,2021-2022,La Liga,Elche,Osasuna,Home,1,1,D,Gerard Gumbau,N,,52,0,1,1,0,0,0,1,0,5,0,0
2022-05-07,2021-2022,La Liga,Elche,Cádiz,Away,0,3,L,Gerard Gumbau,Y,CM,90,0,0,2,1,0,0,5,0,3,0,0
2022-05-11,2021-2022,La Liga,Elche,Atlético Madrid,Home,0,2,L,Gerard Gumbau,Y,DM,90,0,0,2,0,0,0,2,0,8,0,1
2022-05-15,2021-2022,La Liga,Elche,Celta Vigo,Away,0,1,L,Gerard Gumbau,Y,CM,74,0,0,1,0,0,0,0,0,4,2,1
2022-05-22,2021-2022,La Liga,Elche,Getafe,Home,3,1,W,Gerard Gumbau,Y,DM,69,0,0,2,1,1,0,1,0,8,1,2
2022-08-15,2022-2023,La Liga,Elche,Real Betis,Away,0,3,L,Gerard Gumbau,Y,CM,75,0,0,0,0,1,0,2,0,2,0,0
2022-08-22,2022-2023,La Liga,Elche,Almería,Home,1,1,D,Gerard Gumbau,Y,CM,77,0,0,1,0,1,0,2,0,5,3,0
2022-08-27,2022-2023,La Liga,Elche,Real Sociedad,Home,0,1,L,Gerard Gumbau,Y,CM,45,0,0,0,0,1,0,1,0,0,1,0
2022-09-04,2022-2023,La Liga,Elche,Villarreal,Away,0,4,L,Gerard Gumbau,N,,45,0,0,0,0,0,0,0,0,3,0,0
2022-09-11,2022-2023,La Liga,Elche,Athletic Club,Home,1,4,L,Gerard Gumbau,Y,DM,71,0,0,3,0,0,0,4,0,3,1,2
2022-09-17,2022-2023,La Liga,Elche,Barcelona,Away,0,3,L,Gerard Gumbau,Y,CM,90,0,0,0,0,0,0,0,0,1,1,1
2022-10-03,2022-2023,La Liga,Elche,Rayo Vallecano,Away,1,2,L,Gerard Gumbau,Y,CM,90,0,1,0,0,0,0,4,0,5,1,1
2022-10-10,2022-2023,La Liga,Elche,Mallorca,Home,1,1,D,Gerard Gumbau,Y,CM,90,0,1,1,0,0,0,0,0,6,0,0
2022-10-19,2022-2023,La Liga,Elche,Real Madrid,Home,0,3,L,Gerard Gumbau,N,,29,0,0,0,0,1,0,1,0,1,0,0
2022-10-23,2022-2023,La Liga,Elche,Espanyol,Away,2,2,D,Gerard Gumbau,N,,35,0,1,1,0,0,0,1,0,3,0,0
2022-10-31,2022-2023,La Liga,Elche,Getafe,Home,0,1,L,Gerard Gumbau,Y,CM,90,0,0,1,0,0,0,2,0,8,1,0
2022-11-05,2022-2023,La Liga,Elche,Valladolid,Away,1,2,L,Gerard Gumbau,Y,CM,60,0,0,1,0,0,0,0,0,1,0,0
2022-11-08,2022-2023,La Liga,Elche,Girona,Home,1,2,L,Gerard Gumbau,N,,34,0,0,0,0,1,0,1,0,2,0,0
2023-01-06,2022-2023,La Liga,Elche,Celta Vigo,Home,0,1,L,Gerard Gumbau,Y,CM,74,0,0,1,1,0,0,1,0,7,1,1
2023-01-16,2022-2023,La Liga,Elche,Cádiz,Away,1,1,D,Gerard Gumbau,Y,CM,90,0,0,2,1,0,0,1,0,6,1,0
2023-01-22,2022-2023,La Liga,Elche,Osasuna,Home,1,1,D,Gerard Gumbau,Y,CM,90,0,0,0,0,0,0,3,0,8,1,0
2023-01-28,2022-2023,La Liga,Elche,Sevilla,Away,0,3,L,Gerard Gumbau,Y,DM,90,0,0,1,0,1,0,1,0,1,1,0
2023-02-04,2022-2023,La Liga,Elche,Villarreal,Home,3,1,W,Gerard Gumbau,Y,CM,86,0,0,2,1,0,0,3,0,2,3,3
2023-02-15,2022-2023,La Liga,Elche,Real Madrid,Away,0,4,L,Gerard Gumbau,Y,CM,90,0,0,0,0,1,0,1,0,3,0,2
2023-02-19,2022-2023,La Liga,Elche,Espanyol,Home,0,1,L,Gerard Gumbau,Y,CM,89,0,0,3,2,0,0,1,0,10,0,2
2023-02-24,2022-2023,La Liga,Elche,Real Betis,Home,2,3,L,Gerard Gumbau,Y,DM,74,0,0,1,0,1,0,2,0,2,0,0
2023-03-04,2022-2023,La Liga,Elche,Mallorca,Away,1,0,W,Gerard Gumbau,Y,AM,90,0,1,3,2,0,0,0,0,9,1,1
2023-03-11,2022-2023,La Liga,Elche,Valladolid,Home,1,1,D,Gerard Gumbau,Y,CM,71,0,0,2,0,1,0,1,0,3,0,1
2023-03-19,2022-2023,La Liga,Elche,Real Sociedad,Away,0,2,L,Gerard Gumbau,Y,CM,90,0,0,2,2,0,0,2,0,0,0,1
2023-04-01,2022-2023,La Liga,Elche,Barcelona,Home,0,4,L,Gerard Gumbau,Y,DM,90,0,0,1,0,0,0,4,0,9,2,0
2023-04-08,2022-2023,La Liga,Elche,Osasuna,Away,1,2,L,Gerard Gumbau,Y,DM,90,0,0,0,0,0,0,0,0,3,1,3
2023-04-16,2022-2023,La Liga,Elche,Girona,Away,0,2,L,Gerard Gumbau,Y,DM,90,0,0,6,4,1,0,0,0,7,1,0
2023-04-26,2022-2023,La Liga,Elche,Celta Vigo,Away,0,1,L,Gerard Gumbau,Y,RM,90,0,0,1,1,0,0,1,0,8,1,1
2023-04-29,2022-2023,La Liga,Elche,Rayo Vallecano,Home,4,0,W,Gerard Gumbau,Y,DM,72,1,1,3,2,0,0,1,1,2,0,0
2023-05-02,2022-2023,La Liga,Elche,Almería,Away,1,2,L,Gerard Gumbau,Y,LM,90,0,0,4,0,0,0,1,0,9,3,2
2023-05-14,2022-2023,La Liga,Elche,Atlético Madrid,Home,1,0,W,Gerard Gumbau,Y,DM,90,0,0,2,1,0,0,3,0,4,2,2
2023-05-20,2022-2023,La Liga,Elche,Getafe,Away,1,1,D,Gerard Gumbau,Y,CM,90,0,0,0,0,0,0,0,0,10,0,1
2023-05-24,2022-2023,La Liga,Elche,Sevilla,Home,1,1,D,Gerard Gumbau,Y,CM,90,0,0,2,1,0,0,1,0,6,0,0
2023-05-28,2022-2023,La Liga,Elche,Athletic Club,Away,1,0,W,Gerard Gumbau,Y,CM,90,0,0,2,0,0,0,2,0,5,1,1
2023-06-04,2022-2023,La Liga,Elche,Cádiz,Home,1,1,D,Gerard Gumbau,Y,AM,90,0,1,1,0,1,0,3,0,8,0,0
2023-08-14,2023-2024,La Liga,Granada,Atlético Madrid,Away,1,3,L,Gerard Gumbau,Y,CM,73,0,0,0,0,1,0,1,0,2,1,0
2023-08-21,2023-2024,La Liga,Granada,Rayo Vallecano,Home,0,2,L,Gerard Gumbau,Y,CM,79,0,0,1,1,1,0,2,0,4,2,0
2023-08-26,2023-2024,La Liga,Granada,Mallorca,Home,3,2,W,Gerard Gumbau,Y,CM,90,0,1,3,0,0,0,3,0,6,0,0
2023-09-02,2023-2024,La Liga,Granada,Real Sociedad,Away,3,5,L,Gerard Gumbau,Y,CM,78,0,0,1,0,0,0,4,0,4,1,1
2023-09-18,2023-2024,La Liga,Granada,Girona,Home,2,4,L,Gerard Gumbau,Y,CM,90,0,0,3,1,0,0,3,0,5,1,1
2023-09-24,2023-2024,La Liga,Granada,Las Palmas,Away,0,1,L,Gerard Gumbau,Y,DM,63,0,0,1,1,1,0,2,0,3,0,1
2023-09-28,2023-2024,La Liga,Granada,Real Betis,Home,1,1,D,Gerard Gumbau,Y,CM,72,0,0,1,0,1,0,2,0,8,0,0
2023-10-01,2023-2024,La Liga,Granada,Almería,Away,3,3,D,Gerard Gumbau,Y,CM,90,0,0,0,0,0,0,2,0,5,0,0
2023-10-08,2023-2024,La Liga,Granada,Barcelona,Home,2,2,D,Gerard Gumbau,Y,CM,90,0,1,0,0,0,0,2,0,2,0,0
2023-10-20,2023-2024,La Liga,Granada,Osasuna,Away,0,2,L,Gerard Gumbau,Y,DM,86,0,0,3,1,1,0,1,0,7,1,0
