Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-17,2024-2025,La Liga,Barcelona,Valencia,Away,2,1,W,Gerard Martín,N,,27,0,0,0,0,0,0,0,0,1,0,0
2024-08-24,2024-2025,La Liga,Barcelona,Athletic Club,Home,2,1,W,Gerard Martín,N,,1,0,0,0,0,0,0,0,0,0,0,0
2024-08-27,2024-2025,La Liga,Barcelona,Rayo Vallecano,Away,2,1,W,Gerard Martín,Y,LB,64,0,0,0,0,0,0,1,0,2,0,0
2024-09-15,2024-2025,La Liga,Barcelona,Girona,Away,4,1,W,Gerard Martín,N,,1,0,0,0,0,0,0,0,0,0,0,0
2024-09-22,2024-2025,La Liga,Barcelona,Villarreal,Away,5,1,W,Gerard Martín,Y,LB,90,0,0,0,0,0,0,3,0,1,1,1
2024-09-25,2024-2025,La Liga,Barcelona,Getafe,Home,1,0,W,Gerard Martín,N,,3,0,0,0,0,0,0,0,0,0,0,0
2024-09-28,2024-2025,La Liga,Barcelona,Osasuna,Away,2,4,L,Gerard Martín,Y,LB,69,0,1,0,0,0,0,0,0,1,0,1
2024-10-06,2024-2025,La Liga,Barcelona,Alavés,Away,3,0,W,Gerard Martín,N,,10,0,0,0,0,1,0,1,0,0,1,0
2024-10-20,2024-2025,La Liga,Barcelona,Sevilla,Home,5,1,W,Gerard Martín,N,,15,0,0,0,0,0,0,0,0,0,1,0
2024-11-23,2024-2025,La Liga,Barcelona,Celta Vigo,Away,2,2,D,Gerard Martín,Y,LB,45,0,0,0,0,1,0,1,0,0,1,1
2024-11-30,2024-2025,La Liga,Barcelona,Las Palmas,Home,1,2,L,Gerard Martín,N,,65,0,0,0,0,0,0,0,0,5,0,1
2025-01-26,2024-2025,La Liga,Barcelona,Valencia,Home,7,1,W,Gerard Martín,N,,31,0,0,0,0,0,0,1,0,0,0,1
2025-02-02,2024-2025,La Liga,Barcelona,Alavés,Home,1,0,W,Gerard Martín,N,,8,0,0,0,0,0,0,0,0,0,1,1
2025-02-09,2024-2025,La Liga,Barcelona,Sevilla,Away,4,1,W,Gerard Martín,N,,2,0,0,0,0,0,0,0,0,0,1,0
2025-02-22,2024-2025,La Liga,Barcelona,Las Palmas,Away,2,0,W,Gerard Martín,N,,1,0,0,0,0,0,0,0,0,0,0,0
2025-03-02,2024-2025,La Liga,Barcelona,Real Sociedad,Home,4,0,W,Gerard Martín,Y,LB,90,1,0,3,1,0,0,1,0,3,0,1
2025-03-16,2024-2025,La Liga,Barcelona,Atlético Madrid,Away,4,2,W,Gerard Martín,N,,5,0,0,0,0,0,0,0,0,0,0,0
2025-03-27,2024-2025,La Liga,Barcelona,Osasuna,Home,3,0,W,Gerard Martín,N,,8,0,0,0,0,0,0,0,0,0,1,0
2025-03-30,2024-2025,La Liga,Barcelona,Girona,Home,4,1,W,Gerard Martín,Y,LB,90,0,1,0,0,0,0,1,0,5,0,1
2025-04-05,2024-2025,La Liga,Barcelona,Real Betis,Home,1,1,D,Gerard Martín,N,,16,0,0,0,0,0,0,0,0,0,0,1
2025-04-12,2024-2025,La Liga,Barcelona,Leganés,Away,1,0,W,Gerard Martín,N,,50,0,0,0,0,0,0,0,0,3,0,1
2025-04-19,2024-2025,La Liga,Barcelona,Celta Vigo,Home,4,3,W,Gerard Martín,Y,LB,87,0,0,1,0,0,0,1,0,6,1,0
2025-04-22,2024-2025,La Liga,Barcelona,Mallorca,Home,1,0,W,Gerard Martín,N,,14,0,0,0,0,0,0,0,0,0,0,0
2025-05-03,2024-2025,La Liga,Barcelona,Valladolid,Away,2,1,W,Gerard Martín,Y,LB,90,0,1,1,0,0,0,1,0,5,1,0
2025-05-11,2024-2025,La Liga,Barcelona,Real Madrid,Home,4,3,W,Gerard Martín,Y,LB,56,0,0,1,1,0,0,2,0,2,0,0
2025-05-15,2024-2025,La Liga,Barcelona,Espanyol,Away,2,0,W,Gerard Martín,Y,LB,45,0,0,0,0,0,0,1,0,0,1,3
2025-05-18,2024-2025,La Liga,Barcelona,Villarreal,Home,2,3,L,Gerard Martín,Y,LB,45,0,0,1,0,0,0,0,0,1,0,1
2025-05-25,2024-2025,La Liga,Barcelona,Athletic Club,Away,3,0,W,Gerard Martín,N,,10,0,0,0,0,0,0,0,0,0,0,1
