Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-08-13,2021-2022,La Liga,Valencia,Getafe,Home,1,0,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,2021-2022,La Liga,Valencia,Granada,Away,1,1,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,2021-2022,La Liga,Valencia,Alavés,Home,3,0,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,2021-2022,La Liga,Valencia,Osasuna,Away,4,1,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,2021-2022,La Liga,Valencia,Real Madrid,Home,1,2,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-09-22,2021-2022,La Liga,Valencia,Sevilla,Away,1,3,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-02-06,2021-2022,La Liga,Valencia,Real Sociedad,Home,0,0,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-02-13,2021-2022,La Liga,Valencia,Alavés,Away,1,2,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-02-20,2021-2022,La Liga,Valencia,Barcelona,Home,1,4,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-02-26,2021-2022,La Liga,Valencia,Mallorca,Away,1,0,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-03-12,2021-2022,La Liga,Valencia,Getafe,Away,0,0,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-03-19,2021-2022,La Liga,Valencia,Elche,Away,1,0,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-04-03,2021-2022,La Liga,Valencia,Cádiz,Home,0,0,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-04-11,2021-2022,La Liga,Valencia,Rayo Vallecano,Away,1,1,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-04-16,2021-2022,La Liga,Valencia,Osasuna,Home,1,2,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-04-30,2021-2022,La Liga,Valencia,Levante,Home,1,1,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-05-07,2021-2022,La Liga,Valencia,Athletic Club,Away,0,0,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-05-10,2021-2022,La Liga,Valencia,Real Betis,Home,0,3,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-08-14,2022-2023,La Liga,Valencia,Girona,Home,1,0,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-08-21,2022-2023,La Liga,Valencia,Athletic Club,Away,0,1,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,2022-2023,La Liga,Valencia,Atlético Madrid,Home,0,1,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-09-04,2022-2023,La Liga,Valencia,Getafe,Home,5,1,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-09-10,2022-2023,La Liga,Valencia,Rayo Vallecano,Away,1,2,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-09-17,2022-2023,La Liga,Valencia,Celta Vigo,Home,3,0,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-10-02,2022-2023,La Liga,Valencia,Espanyol,Away,2,2,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-10-07,2022-2023,La Liga,Valencia,Osasuna,Away,2,1,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-10-15,2022-2023,La Liga,Valencia,Elche,Home,2,2,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,1,0,1,0,0,0,0
2022-10-18,2022-2023,La Liga,Valencia,Sevilla,Away,1,1,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-10-22,2022-2023,La Liga,Valencia,Mallorca,Home,1,2,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-10-29,2022-2023,La Liga,Valencia,Barcelona,Home,0,1,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-11-06,2022-2023,La Liga,Valencia,Real Sociedad,Away,1,1,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-11-10,2022-2023,La Liga,Valencia,Real Betis,Home,3,0,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-12-31,2022-2023,La Liga,Valencia,Villarreal,Away,1,2,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-01-06,2022-2023,La Liga,Valencia,Cádiz,Home,0,1,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-01-23,2022-2023,La Liga,Valencia,Almería,Home,2,2,D,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-01-29,2022-2023,La Liga,Valencia,Valladolid,Away,0,1,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-02-02,2022-2023,La Liga,Valencia,Real Madrid,Away,0,2,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,1,0
2023-02-05,2022-2023,La Liga,Valencia,Girona,Away,0,1,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-02-11,2022-2023,La Liga,Valencia,Athletic Club,Home,1,2,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-02-20,2022-2023,La Liga,Valencia,Getafe,Away,0,1,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-02-25,2022-2023,La Liga,Valencia,Real Sociedad,Home,1,0,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2023-03-05,2022-2023,La Liga,Valencia,Barcelona,Away,0,1,L,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-03-11,2022-2023,La Liga,Valencia,Osasuna,Home,1,0,W,Giorgi Mamardashvili,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
