Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-03-17,2017-2018,La Liga,Getafe,Real Sociedad,Away,2,1,W,Hugo Duro,N,,1,0,0,1,1,0,0,0,0,0,0,0
2018-04-02,2017-2018,La Liga,Getafe,Real Betis,Home,0,1,L,Hugo Duro,N,,18,0,0,0,0,0,0,1,0,0,0,0
2018-12-15,2018-2019,La Liga,Getafe,Real Sociedad,Home,1,0,W,Hugo Duro,N,,11,0,0,1,0,0,0,0,0,0,0,1
2019-01-18,2018-2019,La Liga,Getafe,Alavés,Home,4,0,W,Hugo Duro,N,,10,0,0,0,0,0,0,0,0,1,1,0
2019-02-02,2018-2019,La Liga,Getafe,Levante,Away,0,0,D,Hugo Duro,N,,6,0,0,2,1,0,0,0,0,0,0,0
2019-03-09,2018-2019,La Liga,Getafe,Huesca,Home,2,1,W,Hugo Duro,N,,5,0,0,1,0,0,0,0,0,0,0,0
2019-04-02,2018-2019,La Liga,Getafe,Espanyol,Away,1,1,D,Hugo Duro,Y,LM,66,0,0,2,0,0,0,0,0,1,0,1
2019-04-14,2018-2019,La Liga,Getafe,Valladolid,Away,2,2,D,Hugo Duro,N,,53,0,0,0,0,0,0,2,0,0,0,0
2019-04-21,2018-2019,La Liga,Getafe,Sevilla,Home,3,0,W,Hugo Duro,Y,FW,90,0,0,1,0,0,0,4,0,0,0,0
2019-04-25,2018-2019,La Liga,Getafe,Real Madrid,Home,0,0,D,Hugo Duro,Y,FW,71,0,0,0,0,0,0,2,0,0,2,1
2019-04-28,2018-2019,La Liga,Getafe,Real Sociedad,Away,1,2,L,Hugo Duro,Y,FW,45,0,0,0,0,0,0,0,0,0,0,0
2019-05-12,2018-2019,La Liga,Getafe,Barcelona,Away,0,2,L,Hugo Duro,N,,5,0,0,0,0,0,0,0,0,1,0,0
2019-05-18,2018-2019,La Liga,Getafe,Villarreal,Home,2,2,D,Hugo Duro,Y,LM,55,0,0,0,0,0,0,1,0,1,1,0
2019-12-01,2019-2020,La Liga,Getafe,Levante,Home,4,0,W,Hugo Duro,N,,12,0,0,1,1,0,0,2,0,0,0,0
2019-12-08,2019-2020,La Liga,Getafe,Eibar,Away,1,0,W,Hugo Duro,Y,FW,59,0,0,1,0,1,0,3,0,2,1,0
