Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-10-23,2021-22,Bundesliga,RB Leipzig,Greuther Fürth,Home,4,1,W,Hugo Novoa,N,-,6,1,0,1,1,0,0,0,0,0,0,0
2021-11-20,2021-22,Bundesliga,RB Leipzig,Hoffenheim,Away,0,2,L,Hugo Novoa,N,-,12,0,0,0,0,0,0,1,0,1,2,0
2022-01-08,2021-22,Bundesliga,RB Leipzig,Mainz 05,Home,4,1,W,Hugo Novoa,N,-,22,0,0,0,0,0,0,0,1,0,1,0
2022-01-15,2021-22,Bundesliga,RB Leipzig,Stuttgart,Away,2,0,W,Hugo Novoa,N,-,14,0,0,0,0,0,0,0,0,0,0,0
2022-01-23,2021-22,Bundesliga,RB Leipzig,Wolfsburg,Home,2,0,W,Hugo Novoa,Y,AM,54,0,0,1,1,1,0,0,3,1,1,1
2022-03-13,2021-22,Bundesliga,RB Leipzig,Greuther Fürth,Away,6,1,W,Hugo Novoa,N,-,21,0,0,0,0,0,0,0,0,0,0,0
2022-04-02,2021-22,Bundesliga,RB Leipzig,Dortmund,Away,4,1,W,Hugo Novoa,N,-,2,0,0,0,0,0,0,0,0,0,0,0
2022-05-14,2021-22,Bundesliga,RB Leipzig,Arminia,Away,1,1,D,Hugo Novoa,N,-,5,0,0,0,0,0,0,0,1,0,0,1
2022-08-07,2022-23,Bundesliga,RB Leipzig,Stuttgart,Away,1,1,D,Hugo Novoa,Y,DM,80,0,0,2,1,0,0,2,2,2,7,2
2022-08-13,2022-23,Bundesliga,RB Leipzig,Köln,Home,2,2,D,Hugo Novoa,Y,RW,45,0,0,0,0,0,0,2,0,0,2,0
2022-09-17,2022-23,Bundesliga,RB Leipzig,Gladbach,Away,0,3,L,Hugo Novoa,N,-,11,0,0,0,0,0,0,1,0,0,0,0
2022-10-01,2022-23,Bundesliga,RB Leipzig,Bochum,Home,4,0,W,Hugo Novoa,N,-,9,0,0,0,0,0,0,0,0,1,0,0
2022-10-15,2022-23,Bundesliga,RB Leipzig,Hertha BSC,Home,3,2,W,Hugo Novoa,N,-,19,0,0,0,0,0,0,1,0,2,0,0
2022-10-22,2022-23,Bundesliga,RB Leipzig,Augsburg,Away,3,3,D,Hugo Novoa,N,-,17,1,0,1,1,0,0,0,0,0,0,0
2022-11-05,2022-23,Bundesliga,RB Leipzig,Hoffenheim,Away,3,1,W,Hugo Novoa,N,-,3,0,0,0,0,0,0,0,0,0,0,0
2024-08-16,2024-25,La Liga,Alavés,Celta Vigo,Away,1,2,L,Hugo Novoa,N,-,33,0,0,1,0,0,0,1,0,0,2,0
2024-08-28,2024-25,La Liga,Alavés,Real Sociedad,Away,2,1,W,Hugo Novoa,Y,RB,90,0,0,0,0,0,0,0,0,0,1,1
2024-09-01,2024-25,La Liga,Alavés,Las Palmas,Home,2,0,W,Hugo Novoa,N,-,9,0,0,0,0,0,0,0,0,0,0,0
2024-09-24,2024-25,La Liga,Alavés,Real Madrid,Away,2,3,L,Hugo Novoa,Y,RM,90,0,0,0,0,0,0,0,1,0,4,4
2025-02-02,2024-25,La Liga,Alavés,Barcelona,Away,0,1,L,Hugo Novoa,N,-,15,0,0,0,0,0,0,0,0,2,0,0
