Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-05-16,2020-2021,La Liga,Celta Vigo,Barcelona,Away,2,1,W,Hugo Sotelo,N,SUB,1,0,0,0,0,0,0,0,0,0,0,0
2021-12-17,2021-2022,La Liga,Celta Vigo,Espanyol,Home,3,1,W,Hugo Sotelo,N,SUB,2,0,0,0,0,0,0,0,0,0,0,0
2023-02-26,2022-2023,La Liga,Celta Vigo,Valladolid,Home,3,0,W,Hugo Sotelo,N,SUB,17,0,0,1,0,0,0,0,0,0,0,0
2023-08-13,2023-2024,La Liga,Celta Vigo,Osasuna,Home,0,2,L,Hugo Sotelo,Y,CM,80,0,0,0,0,0,0,1,1,0,5,3
2023-08-19,2023-2024,La Liga,Celta Vigo,Real Sociedad,Away,1,1,D,Hugo Sotelo,Y,CM,45,0,0,1,0,0,0,1,1,0,0,0
2023-09-16,2023-2024,La Liga,Celta Vigo,Mallorca,Home,0,1,L,Hugo Sotelo,N,SUB,14,0,0,0,0,0,0,0,0,0,2,0
2023-10-02,2023-2024,La Liga,Celta Vigo,Las Palmas,Away,1,2,L,Hugo Sotelo,N,SUB,3,0,0,0,0,0,0,3,0,0,0,0
2023-10-08,2023-2024,La Liga,Celta Vigo,Getafe,Home,2,2,D,Hugo Sotelo,N,SUB,31,0,0,2,1,0,0,0,0,0,1,1
2023-10-21,2023-2024,La Liga,Celta Vigo,Atlético Madrid,Home,0,3,L,Hugo Sotelo,N,SUB,30,0,0,0,0,0,0,0,0,0,4,0
2023-11-04,2023-2024,La Liga,Celta Vigo,Sevilla,Home,1,1,D,Hugo Sotelo,Y,CM,68,0,0,0,0,0,0,1,0,0,4,2
2023-12-04,2023-2024,La Liga,Celta Vigo,Cádiz,Home,1,1,D,Hugo Sotelo,N,SUB,37,0,0,1,0,0,0,0,0,0,2,1
2024-02-11,2023-2024,La Liga,Celta Vigo,Getafe,Away,2,3,L,Hugo Sotelo,N,SUB,11,0,0,0,0,0,0,0,1,0,0,0
2024-03-01,2023-2024,La Liga,Celta Vigo,Almería,Home,1,0,W,Hugo Sotelo,N,SUB,2,0,0,0,0,0,0,1,0,0,1,0
2024-03-10,2023-2024,La Liga,Celta Vigo,Real Madrid,Away,0,4,L,Hugo Sotelo,N,SUB,14,0,0,0,0,0,0,1,0,0,0,0
2024-03-17,2023-2024,La Liga,Celta Vigo,Sevilla,Away,2,1,W,Hugo Sotelo,Y,DM,67,0,0,1,0,0,0,1,0,0,1,2
2024-03-31,2023-2024,La Liga,Celta Vigo,Rayo Vallecano,Home,0,0,D,Hugo Sotelo,Y,DM,64,0,0,1,0,0,0,2,0,0,2,2
2024-04-12,2023-2024,La Liga,Celta Vigo,Real Betis,Away,1,2,L,Hugo Sotelo,Y,CM,69,0,0,0,0,0,0,1,0,0,3,2
2024-04-27,2023-2024,La Liga,Celta Vigo,Alavés,Away,0,3,L,Hugo Sotelo,N,SUB,18,0,0,0,0,0,0,0,0,0,0,1
2024-05-19,2023-2024,La Liga,Celta Vigo,Granada,Away,2,1,W,Hugo Sotelo,Y,CM,78,0,1,1,0,1,0,2,0,0,1,2
2024-05-26,2023-2024,La Liga,Celta Vigo,Valencia,Home,2,2,D,Hugo Sotelo,Y,CM,90,0,0,1,0,0,0,2,0,0,3,2
2024-09-01,2024-2025,La Liga,Celta Vigo,Osasuna,Away,2,3,L,Hugo Sotelo,N,SUB,15,0,0,0,0,0,0,0,0,0,0,0
2024-09-15,2024-2025,La Liga,Celta Vigo,Valladolid,Home,3,1,W,Hugo Sotelo,Y,CM,68,0,0,0,0,1,0,2,0,1,3,2
2024-09-22,2024-2025,La Liga,Celta Vigo,Athletic Club,Away,1,3,L,Hugo Sotelo,Y,CM,62,0,0,0,0,1,0,1,2,0,1,1
2024-09-26,2024-2025,La Liga,Celta Vigo,Atlético Madrid,Home,0,1,L,Hugo Sotelo,Y,CM,83,0,0,1,0,0,0,0,0,0,2,0
2024-09-29,2024-2025,La Liga,Celta Vigo,Girona,Home,1,1,D,Hugo Sotelo,N,SUB,26,0,0,0,0,0,0,0,0,0,2,1
2024-10-19,2024-2025,La Liga,Celta Vigo,Real Madrid,Home,1,2,L,Hugo Sotelo,Y,CM,90,0,0,1,0,1,0,3,0,0,5,1
2024-10-27,2024-2025,La Liga,Celta Vigo,Leganés,Away,0,3,L,Hugo Sotelo,Y,CM,79,0,0,1,0,0,0,1,0,0,1,2
2024-11-04,2024-2025,La Liga,Celta Vigo,Getafe,Home,1,0,W,Hugo Sotelo,Y,CM,90,0,0,0,0,0,0,4,0,0,1,1
2024-11-10,2024-2025,La Liga,Celta Vigo,Real Betis,Away,2,2,D,Hugo Sotelo,Y,DM,45,0,0,0,0,0,0,0,1,0,1,0
2024-11-23,2024-2025,La Liga,Celta Vigo,Barcelona,Home,2,2,D,Hugo Sotelo,N,SUB,16,0,0,0,0,1,0,1,2,0,0,0
2024-11-30,2024-2025,La Liga,Celta Vigo,Espanyol,Away,1,3,L,Hugo Sotelo,N,SUB,24,0,0,0,0,0,0,0,1,0,2,2
2024-12-14,2024-2025,La Liga,Celta Vigo,Sevilla,Away,0,1,L,Hugo Sotelo,N,SUB,18,0,0,0,0,0,0,0,0,0,0,1
2025-01-10,2024-2025,La Liga,Celta Vigo,Rayo Vallecano,Away,1,2,L,Hugo Sotelo,N,SUB,10,0,0,0,0,0,0,0,0,0,2,1
2025-01-19,2024-2025,La Liga,Celta Vigo,Athletic Club,Home,1,2,L,Hugo Sotelo,Y,DM,90,0,0,0,0,0,0,0,1,0,3,1
2025-02-08,2024-2025,La Liga,Celta Vigo,Real Betis,Home,3,2,W,Hugo Sotelo,Y,CM,88,0,0,0,0,0,0,0,1,0,4,0
2025-02-15,2024-2025,La Liga,Celta Vigo,Atlético Madrid,Away,1,1,D,Hugo Sotelo,Y,CM,90,0,0,0,0,0,0,4,0,0,8,1
2025-02-21,2024-2025,La Liga,Celta Vigo,Osasuna,Home,1,0,W,Hugo Sotelo,Y,CM,77,0,0,0,0,0,0,1,1,0,6,0
2025-03-08,2024-2025,La Liga,Celta Vigo,Leganés,Home,2,1,W,Hugo Sotelo,Y,CM,75,0,0,0,0,0,0,0,0,0,0,1
2025-03-15,2024-2025,La Liga,Celta Vigo,Valladolid,Away,1,0,W,Hugo Sotelo,Y,CM,85,0,0,0,0,0,0,0,0,0,2,0
