Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-10-25,2021-2022,La Liga,Celta Vigo,Getafe,Away,3,0,W,Hugo Álvarez,N,SUB,11,0,0,1,0,0,0,0,0,0,0,0
2024-01-03,2023-2024,La Liga,Celta Vigo,Real Betis,Home,2,1,W,Hugo Álvarez,N,SUB,2,0,0,0,0,0,0,0,0,0,0,1
2024-01-20,2023-2024,La Liga,Celta Vigo,Real Sociedad,Away,0,1,L,Hugo Álvarez,N,SUB,33,0,0,0,0,0,0,0,0,0,2,1
2024-03-01,2023-2024,La Liga,Celta Vigo,Almería,Home,1,0,W,Hugo Álvarez,N,SUB,2,0,0,1,0,0,0,0,0,0,1,0
2024-03-17,2023-2024,La Liga,Celta Vigo,Sevilla,Away,2,1,W,Hugo Álvarez,Y,DM,75,0,0,3,1,0,0,0,0,0,2,1
2024-03-31,2023-2024,La Liga,Celta Vigo,Rayo Vallecano,Home,0,0,D,Hugo Álvarez,Y,DM,86,0,0,0,0,0,0,1,2,0,3,2
2024-04-12,2023-2024,La Liga,Celta Vigo,Real Betis,Away,1,2,L,Hugo Álvarez,Y,LM,80,0,0,2,0,0,0,1,2,0,2,2
2024-04-20,2023-2024,La Liga,Celta Vigo,Las Palmas,Home,4,1,W,Hugo Álvarez,Y,LM,90,0,0,1,0,0,0,1,1,1,7,3
2024-04-27,2023-2024,La Liga,Celta Vigo,Alavés,Away,0,3,L,Hugo Álvarez,Y,FW,90,0,0,0,0,1,0,4,1,0,2,0
2024-05-05,2023-2024,La Liga,Celta Vigo,Villarreal,Home,3,2,W,Hugo Álvarez,Y,LM,79,0,0,1,1,0,0,1,0,0,0,0
2024-05-12,2023-2024,La Liga,Celta Vigo,Atlético Madrid,Away,0,1,L,Hugo Álvarez,Y,LM,90,0,0,1,0,0,0,0,1,0,0,2
2024-05-15,2023-2024,La Liga,Celta Vigo,Athletic Club,Home,2,1,W,Hugo Álvarez,N,SUB,45,1,1,2,1,0,0,0,2,0,3,0
2024-05-19,2023-2024,La Liga,Celta Vigo,Granada,Away,2,1,W,Hugo Álvarez,Y,RM,90,0,0,1,1,0,0,1,0,0,0,0
2024-08-16,2024-2025,La Liga,Celta Vigo,Alavés,Home,2,1,W,Hugo Álvarez,Y,RM,90,0,1,0,0,0,0,2,2,0,2,1
2024-08-23,2024-2025,La Liga,Celta Vigo,Valencia,Home,3,1,W,Hugo Álvarez,Y,RM,90,0,0,0,0,0,0,0,2,0,2,1
2024-08-26,2024-2025,La Liga,Celta Vigo,Villarreal,Away,3,4,L,Hugo Álvarez,N,SUB,33,0,0,0,0,1,0,1,0,1,0,1
2024-09-01,2024-2025,La Liga,Celta Vigo,Osasuna,Away,2,3,L,Hugo Álvarez,Y,LM,90,0,0,2,1,0,0,2,2,0,1,1
2024-09-15,2024-2025,La Liga,Celta Vigo,Valladolid,Home,3,1,W,Hugo Álvarez,Y,LM,90,1,0,2,2,1,0,2,1,0,1,0
2024-09-22,2024-2025,La Liga,Celta Vigo,Athletic Club,Away,1,3,L,Hugo Álvarez,Y,RM,66,0,0,1,0,0,0,2,0,0,2,0
2024-09-26,2024-2025,La Liga,Celta Vigo,Atlético Madrid,Home,0,1,L,Hugo Álvarez,Y,LM,90,0,0,0,0,0,0,0,0,0,2,2
2024-09-29,2024-2025,La Liga,Celta Vigo,Girona,Home,1,1,D,Hugo Álvarez,N,SUB,45,0,0,1,0,1,0,2,2,0,2,0
2024-10-05,2024-2025,La Liga,Celta Vigo,Las Palmas,Away,1,0,W,Hugo Álvarez,Y,LM,78,0,0,0,0,0,0,1,0,0,3,1
2024-10-19,2024-2025,La Liga,Celta Vigo,Real Madrid,Home,1,2,L,Hugo Álvarez,Y,LM,90,0,0,0,0,0,0,0,0,0,2,1
2024-10-27,2024-2025,La Liga,Celta Vigo,Leganés,Away,0,3,L,Hugo Álvarez,Y,LM,90,0,0,4,1,0,0,1,2,0,1,0
2024-11-04,2024-2025,La Liga,Celta Vigo,Getafe,Home,1,0,W,Hugo Álvarez,N,SUB,24,0,0,1,0,0,0,1,0,0,0,0
2024-11-10,2024-2025,La Liga,Celta Vigo,Real Betis,Away,2,2,D,Hugo Álvarez,N,SUB,33,0,0,0,0,0,0,1,0,0,0,0
2024-11-23,2024-2025,La Liga,Celta Vigo,Barcelona,Home,2,2,D,Hugo Álvarez,Y,RM,90,1,0,3,2,0,0,0,0,0,4,1
2024-11-30,2024-2025,La Liga,Celta Vigo,Espanyol,Away,1,3,L,Hugo Álvarez,Y,LM,45,0,0,2,0,1,0,1,0,0,0,2
2024-12-06,2024-2025,La Liga,Celta Vigo,Mallorca,Home,2,0,W,Hugo Álvarez,Y,LM,86,1,0,2,1,0,0,1,0,0,1,0
2024-12-14,2024-2025,La Liga,Celta Vigo,Sevilla,Away,0,1,L,Hugo Álvarez,Y,LM,65,0,0,1,0,0,0,2,0,1,0,1
2024-12-21,2024-2025,La Liga,Celta Vigo,Real Sociedad,Home,2,0,W,Hugo Álvarez,N,SUB,19,0,0,0,0,0,0,0,0,0,1,1
2025-01-10,2024-2025,La Liga,Celta Vigo,Rayo Vallecano,Away,1,2,L,Hugo Álvarez,N,SUB,22,0,0,1,0,0,0,1,0,0,2,0
2025-01-19,2024-2025,La Liga,Celta Vigo,Athletic Club,Home,1,2,L,Hugo Álvarez,N,SUB,45,1,0,2,1,0,0,1,1,0,0,0
2025-01-27,2024-2025,La Liga,Celta Vigo,Alavés,Away,1,1,D,Hugo Álvarez,N,SUB,16,0,0,0,0,1,0,0,0,0,1,0
2025-02-08,2024-2025,La Liga,Celta Vigo,Real Betis,Home,3,2,W,Hugo Álvarez,Y,LM,90,0,1,0,0,0,0,1,2,0,0,0
2025-04-23,2024-2025,La Liga,Celta Vigo,Villarreal,Home,3,0,W,Hugo Álvarez,Y,RM,54,0,1,1,1,1,0,1,0,1,3,0
2025-05-04,2024-2025,La Liga,Celta Vigo,Real Madrid,Away,2,3,L,Hugo Álvarez,N,SUB,37,0,0,2,0,0,0,0,0,0,0,0
2025-05-10,2024-2025,La Liga,Celta Vigo,Sevilla,Home,3,2,W,Hugo Álvarez,Y,LW,82,0,0,0,0,0,0,1,2,0,0,0
2025-05-18,2024-2025,La Liga,Celta Vigo,Rayo Vallecano,Home,1,2,L,Hugo Álvarez,N,SUB,12,0,0,0,0,0,0,1,0,0,0,0
