Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-12-30,2020-2021,La Liga,Getafe,Atlético Madrid,Away,0,1,L,Iglesias,Y,RB,90,0,0,1,0,0,0,1,1,0,3,2
2021-01-20,2020-2021,La Liga,Getafe,Huesca,Home,1,0,W,Iglesias,N,,4,0,0,0,0,0,0,0,0,0,0,0
2021-03-21,2020-2021,La Liga,Getafe,Elche,Home,1,1,D,Iglesias,Y,RB,90,0,0,2,1,0,0,4,3,0,1,4
2021-04-03,2020-2021,La Liga,Getafe,Osasuna,Away,0,0,D,Iglesias,Y,RB,90,0,0,0,0,0,0,1,3,0,2,2
2021-04-22,2020-2021,La Liga,Getafe,Barcelona,Away,2,5,L,Iglesias,Y,FW,90,0,0,0,0,0,0,2,3,0,2,1
2021-04-25,2020-2021,La Liga,Getafe,Huesca,Away,2,0,W,Iglesias,N,,8,0,0,0,0,0,0,1,0,0,0,1
2021-05-02,2020-2021,La Liga,Getafe,Villarreal,Away,0,1,L,Iglesias,Y,RM,68,0,0,0,0,0,0,1,2,0,3,2
2021-05-12,2020-2021,La Liga,Getafe,Celta Vigo,Away,0,1,L,Iglesias,Y,RM,59,0,0,0,0,0,0,2,3,0,4,3
2021-05-16,2020-2021,La Liga,Getafe,Levante,Home,2,1,W,Iglesias,N,,16,0,0,0,0,0,0,1,1,0,0,1
2021-05-23,2020-2021,La Liga,Getafe,Granada,Away,0,0,D,Iglesias,Y,DM,90,0,0,1,0,0,0,2,0,1,3,1
2021-08-23,2021-2022,La Liga,Getafe,Sevilla,Home,0,1,L,Iglesias,N,,17,0,0,0,0,0,0,0,2,0,1,0
2021-08-29,2021-2022,La Liga,Getafe,Barcelona,Away,1,2,L,Iglesias,Y,RB,45,0,0,0,0,0,0,0,1,1,0,1
2021-09-18,2021-2022,La Liga,Getafe,Rayo Vallecano,Away,0,3,L,Iglesias,Y,RB,45,0,0,0,0,0,0,0,1,0,2,0
2021-09-21,2021-2022,La Liga,Getafe,Atlético Madrid,Home,1,2,L,Iglesias,Y,RB,90,0,0,0,0,0,0,3,2,0,5,1
