Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-05-13,2015-2016,La Liga,Real Sociedad,Valencia,Away,1,0,W,Igor Zubeldia,N,N/A,7,0,0,0,0,0,0,0,0,0,1,0
2017-04-01,2016-2017,La Liga,Real Sociedad,Leganés,Home,1,1,D,Igor Zubeldia,Y,DM,64,0,0,1,0,0,0,0,0,0,1,0
2017-04-04,2016-2017,La Liga,Real Sociedad,Atlético Madrid,Away,0,1,L,Igor Zubeldia,Y,CM,90,0,0,1,0,1,0,2,0,0,1,1
2017-05-05,2016-2017,La Liga,Real Sociedad,Sevilla,Away,1,1,D,Igor Zubeldia,N,N/A,10,0,0,0,0,0,0,0,0,0,1,0
2017-05-14,2016-2017,La Liga,Real Sociedad,Málaga,Home,2,2,D,Igor Zubeldia,Y,CM,90,0,0,0,0,0,0,0,0,0,2,1
2017-09-21,2017-2018,La Liga,Real Sociedad,Levante,Away,0,3,L,Igor Zubeldia,Y,DM,90,0,0,1,1,0,0,0,0,0,3,1
2017-09-24,2017-2018,La Liga,Real Sociedad,Valencia,Home,2,3,L,Igor Zubeldia,Y,CB,67,0,0,0,0,2,0,2,0,0,1,0
2017-10-14,2017-2018,La Liga,Real Sociedad,Alavés,Away,2,0,W,Igor Zubeldia,Y,CM,90,0,0,1,0,0,0,0,0,0,2,1
2017-10-23,2017-2018,La Liga,Real Sociedad,Espanyol,Home,1,1,D,Igor Zubeldia,Y,CM,90,0,0,3,0,0,0,1,0,0,1,1
2017-10-29,2017-2018,La Liga,Real Sociedad,Getafe,Away,1,2,L,Igor Zubeldia,Y,CM,90,0,0,1,0,0,0,1,1,0,0,2
2017-11-17,2017-2018,La Liga,Real Sociedad,Girona,Away,1,1,D,Igor Zubeldia,N,N/A,26,0,0,1,0,0,0,1,1,0,1,0
2017-12-02,2017-2018,La Liga,Real Sociedad,Atlético Madrid,Away,1,2,L,Igor Zubeldia,Y,CM,90,0,0,0,0,0,0,0,2,0,2,2
2017-12-10,2017-2018,La Liga,Real Sociedad,Málaga,Home,0,2,L,Igor Zubeldia,N,N/A,45,0,0,1,0,0,0,0,0,0,1,2
2017-12-20,2017-2018,La Liga,Real Sociedad,Sevilla,Home,3,1,W,Igor Zubeldia,N,N/A,15,1,0,1,1,0,0,1,0,0,2,0
2018-01-14,2017-2018,La Liga,Real Sociedad,Barcelona,Home,2,4,L,Igor Zubeldia,N,N/A,35,0,0,1,0,0,0,0,1,0,0,1
2018-01-21,2017-2018,La Liga,Real Sociedad,Celta Vigo,Home,1,2,L,Igor Zubeldia,Y,CM,90,0,0,1,0,1,0,1,0,0,1,2
2018-01-27,2017-2018,La Liga,Real Sociedad,Villarreal,Away,2,4,L,Igor Zubeldia,Y,CB,77,0,1,2,0,0,0,1,1,0,0,1
2018-02-02,2017-2018,La Liga,Real Sociedad,Deportivo La Coruña,Home,5,0,W,Igor Zubeldia,Y,CM,90,0,0,2,0,0,0,2,0,0,3,0
2018-02-10,2017-2018,La Liga,Real Sociedad,Real Madrid,Away,2,5,L,Igor Zubeldia,N,N/A,31,0,0,1,1,0,0,1,1,0,1,1
2018-02-18,2017-2018,La Liga,Real Sociedad,Levante,Home,3,0,W,Igor Zubeldia,N,N/A,23,0,0,0,0,0,0,0,0,0,0,0
2018-02-25,2017-2018,La Liga,Real Sociedad,Valencia,Away,1,2,L,Igor Zubeldia,Y,CM,90,0,0,1,0,0,0,0,2,0,1,1
2018-03-01,2017-2018,La Liga,Real Sociedad,Real Betis,Away,0,0,D,Igor Zubeldia,Y,CM,90,0,0,1,0,0,0,0,0,1,2,0
2018-03-04,2017-2018,La Liga,Real Sociedad,Alavés,Home,2,1,W,Igor Zubeldia,Y,CM,90,0,0,1,0,0,0,1,2,0,2,6
2018-03-11,2017-2018,La Liga,Real Sociedad,Espanyol,Away,1,2,L,Igor Zubeldia,Y,CM,90,0,0,1,0,0,0,1,1,0,3,2
2018-03-17,2017-2018,La Liga,Real Sociedad,Getafe,Home,1,2,L,Igor Zubeldia,Y,CM,90,0,1,0,0,1,0,2,2,1,1,0
2018-04-01,2017-2018,La Liga,Real Sociedad,Eibar,Away,0,0,D,Igor Zubeldia,N,N/A,2,0,0,0,0,0,0,0,0,0,0,0
2018-04-08,2017-2018,La Liga,Real Sociedad,Girona,Home,5,0,W,Igor Zubeldia,Y,DM,90,0,0,0,0,0,0,2,1,0,1,3
2018-04-14,2017-2018,La Liga,Real Sociedad,Las Palmas,Away,1,0,W,Igor Zubeldia,N,N/A,16,0,0,0,0,0,0,1,0,0,1,1
2018-04-22,2017-2018,La Liga,Real Sociedad,Málaga,Away,0,2,L,Igor Zubeldia,Y,DM,74,0,0,0,0,0,0,0,1,0,0,2
2018-04-28,2017-2018,La Liga,Real Sociedad,Athletic Club,Home,3,1,W,Igor Zubeldia,N,N/A,1,0,0,0,0,0,0,1,0,0,0,0
2018-08-18,2018-2019,La Liga,Real Sociedad,Villarreal,Away,2,1,W,Igor Zubeldia,Y,DM,90,0,0,1,1,0,0,0,0,0,1,6
