Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-01-12,2023-2024,La Liga,Sevilla,Alavés,Home,2,3,L,Isaac Romero,Y,FW,54,0,0,3,1,0,0,2,0,0,0,0
2024-01-21,2023-2024,La Liga,Sevilla,Girona,Away,1,5,L,Isaac Romero,Y,FW,61,1,0,2,1,0,0,3,0,0,0,0
2024-01-28,2023-2024,La Liga,Sevilla,Osasuna,Home,1,1,D,Isaac Romero,Y,FW,90,1,0,3,2,0,0,4,2,0,0,0
2024-02-05,2023-2024,La Liga,Sevilla,Rayo Vallecano,Away,2,1,W,Isaac Romero,Y,FW,75,0,1,2,0,1,0,2,0,2,0,0
2024-02-11,2023-2024,La Liga,Sevilla,Atlético Madrid,Home,1,0,W,Isaac Romero,Y,FW,77,1,0,4,3,0,0,4,0,2,0,0
2024-02-17,2023-2024,La Liga,Sevilla,Valencia,Away,0,0,D,Isaac Romero,Y,FW,85,0,0,0,0,0,0,2,0,2,0,0
2024-02-25,2023-2024,La Liga,Sevilla,Real Madrid,Away,0,1,L,Isaac Romero,Y,FW,74,0,0,1,1,0,0,1,0,1,0,0
2024-03-02,2023-2024,La Liga,Sevilla,Real Sociedad,Home,3,2,W,Isaac Romero,Y,FW,85,0,1,4,2,0,0,1,0,2,0,0
2024-03-11,2023-2024,La Liga,Sevilla,Almería,Away,2,2,D,Isaac Romero,Y,FW,90,0,2,8,3,0,0,2,1,1,1,0
2024-03-17,2023-2024,La Liga,Sevilla,Celta Vigo,Home,1,2,L,Isaac Romero,Y,FW,90,0,0,4,2,0,0,2,1,0,0,0
2024-03-30,2023-2024,La Liga,Sevilla,Getafe,Away,1,0,W,Isaac Romero,Y,FW,87,0,0,4,0,1,0,1,0,0,0,0
2024-04-14,2023-2024,La Liga,Sevilla,Las Palmas,Away,2,0,W,Isaac Romero,Y,FW,77,0,0,4,0,0,0,5,0,0,0,0
2024-04-22,2023-2024,La Liga,Sevilla,Mallorca,Home,2,1,W,Isaac Romero,Y,FW,80,1,0,3,2,0,0,1,0,0,2,0
2024-04-28,2023-2024,La Liga,Sevilla,Real Betis,Away,1,1,D,Isaac Romero,Y,FW,14,0,0,0,0,0,0,0,0,1,0,0
2024-08-16,2024-2025,La Liga,Sevilla,Las Palmas,Away,2,2,D,Isaac Romero,Y,FW,82,0,1,2,0,0,0,2,1,1,0,0
2024-08-23,2024-2025,La Liga,Sevilla,Villarreal,Home,1,2,L,Isaac Romero,Y,FW,76,0,0,2,2,1,0,1,3,1,0,0
2024-08-27,2024-2025,La Liga,Sevilla,Mallorca,Away,0,0,D,Isaac Romero,N,,29,0,0,1,0,0,0,3,0,0,0,0
2024-09-01,2024-2025,La Liga,Sevilla,Girona,Home,0,2,L,Isaac Romero,Y,FW,90,0,0,5,1,1,0,2,1,1,0,0
2024-09-14,2024-2025,La Liga,Sevilla,Getafe,Home,1,0,W,Isaac Romero,Y,FW,89,0,0,4,2,1,0,4,0,0,1,0
2024-09-20,2024-2025,La Liga,Sevilla,Alavés,Away,1,2,L,Isaac Romero,Y,FW,13,0,0,1,0,0,0,0,0,0,0,0
2024-10-06,2024-2025,La Liga,Sevilla,Real Betis,Home,1,0,W,Isaac Romero,Y,FW,71,0,0,1,1,0,0,2,0,1,0,0
2024-10-20,2024-2025,La Liga,Sevilla,Barcelona,Away,1,5,L,Isaac Romero,Y,FW,90,0,0,2,0,0,0,3,1,1,0,1
2024-10-25,2024-2025,La Liga,Sevilla,Espanyol,Away,2,0,W,Isaac Romero,Y,FW,89,0,0,1,0,0,0,1,3,0,0,0
2024-11-03,2024-2025,La Liga,Sevilla,Real Sociedad,Home,0,2,L,Isaac Romero,Y,FW,79,0,0,3,0,1,0,1,2,0,0,0
2024-11-09,2024-2025,La Liga,Sevilla,Leganés,Away,0,1,L,Isaac Romero,Y,FW,90,0,0,2,1,0,0,0,1,0,2,0
2024-11-24,2024-2025,La Liga,Sevilla,Rayo Vallecano,Home,1,0,W,Isaac Romero,Y,FW,90,0,1,2,0,0,0,0,2,0,0,1
2024-12-02,2024-2025,La Liga,Sevilla,Osasuna,Home,1,1,D,Isaac Romero,Y,FW,90,0,0,0,0,0,0,1,3,1,2,0
2024-12-08,2024-2025,La Liga,Sevilla,Atlético Madrid,Away,3,4,L,Isaac Romero,Y,FW,89,1,0,1,1,0,0,2,0,0,1,0
2024-12-22,2024-2025,La Liga,Sevilla,Real Madrid,Away,2,4,L,Isaac Romero,Y,AM,73,1,0,5,3,0,0,0,0,0,0,1
2025-01-11,2024-2025,La Liga,Sevilla,Valencia,Home,1,1,D,Isaac Romero,Y,FW,90,0,0,3,1,0,0,3,1,2,0,1
2025-01-18,2024-2025,La Liga,Sevilla,Girona,Away,2,1,W,Isaac Romero,Y,FW,81,0,0,1,1,1,0,3,1,1,1,0
2025-02-01,2024-2025,La Liga,Sevilla,Getafe,Away,0,0,D,Isaac Romero,Y,FW,89,0,0,2,1,1,0,2,2,1,1,0
2025-02-09,2024-2025,La Liga,Sevilla,Barcelona,Home,1,4,L,Isaac Romero,Y,FW,90,0,0,0,0,1,0,0,0,0,1,0
2025-02-16,2024-2025,La Liga,Sevilla,Valladolid,Away,4,0,W,Isaac Romero,Y,FW,74,1,0,1,1,1,0,0,1,0,1,0
2025-02-24,2024-2025,La Liga,Sevilla,Mallorca,Home,1,1,D,Isaac Romero,Y,FW,90,0,0,2,0,0,0,3,0,0,1,1
2025-03-01,2024-2025,La Liga,Sevilla,Rayo Vallecano,Away,1,1,D,Isaac Romero,Y,FW,74,0,0,0,0,0,0,3,0,1,0,0
2025-03-09,2024-2025,La Liga,Sevilla,Real Sociedad,Away,1,0,W,Isaac Romero,Y,FW,69,0,0,2,1,0,0,0,0,0,0,0
2025-03-16,2024-2025,La Liga,Sevilla,Athletic Club,Home,0,1,L,Isaac Romero,Y,FW,66,0,0,1,1,0,0,0,0,0,1,1
2025-03-30,2024-2025,La Liga,Sevilla,Real Betis,Away,1,2,L,Isaac Romero,Y,FW,64,0,0,3,0,0,0,1,0,1,0,0
2025-04-06,2024-2025,La Liga,Sevilla,Atlético Madrid,Home,1,2,L,Isaac Romero,N,,22,0,0,0,0,0,0,1,0,1,0,0
2025-04-11,2024-2025,La Liga,Sevilla,Valencia,Away,0,1,L,Isaac Romero,Y,FW,65,0,0,2,1,0,0,4,0,0,0,0
2025-04-20,2024-2025,La Liga,Sevilla,Alavés,Home,1,1,D,Isaac Romero,Y,FW,58,0,0,2,0,0,0,1,0,0,1,1
2025-05-04,2024-2025,La Liga,Sevilla,Leganés,Home,2,2,D,Isaac Romero,N,,36,1,0,1,1,1,0,0,0,0,0,0
2025-05-10,2024-2025,La Liga,Sevilla,Celta Vigo,Away,2,3,L,Isaac Romero,N,,46,0,0,2,1,1,0,1,1,1,1,0
2025-05-18,2024-2025,La Liga,Sevilla,Real Madrid,Home,0,2,L,Isaac Romero,N,,2,0,0,0,0,0,1,1,0,0,0,0
