Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-08-14,2021-2022,La Liga,Alavés,Real Madrid,Home,1,4,L,Iván Martín,N,-,23,0,0,0,0,0,0,0,0,0,1,0
2021-08-21,2021-2022,La Liga,Alavés,Mallorca,Home,0,1,L,Iván Martín,N,-,7,0,0,0,0,0,0,1,0,0,0,0
2021-09-18,2021-2022,La Liga,Alavés,Osasuna,Home,0,2,L,Iván Martín,Y,RM,45,0,0,1,0,0,0,1,1,0,1,0
2021-11-06,2021-2022,La Liga,Alavés,Levante,Home,2,1,W,Iván Martín,N,-,1,0,0,0,0,0,0,0,0,0,1,0
2021-12-11,2021-2022,La Liga,Alavés,Getafe,Home,1,1,D,Iván Martín,N,-,45,0,0,0,0,0,0,0,0,0,1,0
2022-01-02,2021-2022,La Liga,Alavés,Real Sociedad,Home,1,1,D,Iván Martín,Y,RM,45,0,0,0,0,0,0,0,0,0,1,0
2022-11-04,2022-2023,La Liga,Girona,Athletic Club,Home,2,1,W,Iván Martín,N,,25,1,0,1,1,0,0,1,0,0,0,0
2022-11-08,2022-2023,La Liga,Girona,Elche,Away,2,1,W,Iván Martín,N,,78,1,0,1,1,0,0,0,1,0,1,1
2022-12-29,2022-2023,La Liga,Girona,Rayo Vallecano,Home,2,2,D,Iván Martín,Y,AM,71,0,0,2,1,0,0,1,1,0,1,0
2023-01-07,2022-2023,La Liga,Girona,Espanyol,Away,2,2,D,Iván Martín,Y,AM,80,0,0,0,0,0,0,3,0,0,1,0
2023-01-14,2022-2023,La Liga,Girona,Sevilla,Home,2,1,W,Iván Martín,Y,FW,61,0,0,1,0,0,0,0,0,0,0,0
2023-01-22,2022-2023,La Liga,Girona,Villarreal,Away,0,1,L,Iván Martín,Y,AM,63,0,0,0,0,0,0,2,0,0,1,0
2023-01-28,2022-2023,La Liga,Girona,Barcelona,Home,0,1,L,Iván Martín,N,,10,0,0,1,0,0,0,0,0,0,0,0
2023-02-05,2022-2023,La Liga,Girona,Valencia,Home,1,0,W,Iván Martín,Y,RM,77,0,0,0,0,0,0,1,0,0,0,1
2023-02-10,2022-2023,La Liga,Girona,Cádiz,Away,0,2,L,Iván Martín,Y,RM,90,0,0,1,0,0,0,0,0,0,0,1
2023-02-17,2022-2023,La Liga,Girona,Almería,Home,6,2,W,Iván Martín,N,,15,1,1,2,1,0,0,0,0,0,0,0
2023-02-26,2022-2023,La Liga,Girona,Athletic Club,Away,3,2,W,Iván Martín,N,,20,0,0,0,0,0,0,0,0,0,0,0
2023-03-13,2022-2023,La Liga,Girona,Atlético Madrid,Home,0,1,L,Iván Martín,N,,16,0,0,0,0,0,0,0,1,0,0,0
2023-03-18,2022-2023,La Liga,Girona,Rayo Vallecano,Away,2,2,D,Iván Martín,Y,AM,90,0,0,1,0,0,0,2,1,0,3,1
2023-04-01,2022-2023,La Liga,Girona,Espanyol,Home,2,1,W,Iván Martín,Y,AM,84,0,0,0,0,1,0,2,2,1,0,0
2023-04-10,2022-2023,La Liga,Girona,Barcelona,Away,0,0,D,Iván Martín,Y,AM,84,0,0,1,0,0,0,1,0,1,1,1
2023-04-16,2022-2023,La Liga,Girona,Elche,Home,2,0,W,Iván Martín,Y,AM,76,0,1,2,0,0,0,0,2,0,1,1
2023-04-22,2022-2023,La Liga,Girona,Valladolid,Away,0,1,L,Iván Martín,Y,AM,76,0,0,1,1,1,0,1,0,0,1,0
2023-04-25,2022-2023,La Liga,Girona,Real Madrid,Home,4,2,W,Iván Martín,Y,AM,89,0,0,0,0,0,0,1,0,0,1,1
2023-05-01,2022-2023,La Liga,Girona,Sevilla,Away,2,0,W,Iván Martín,Y,CM,90,0,0,0,0,0,0,3,1,0,1,0
2023-05-04,2022-2023,La Liga,Girona,Mallorca,Home,2,1,W,Iván Martín,Y,AM,89,0,1,0,0,0,0,0,1,0,4,1
2023-05-13,2022-2023,La Liga,Girona,Real Sociedad,Away,2,2,D,Iván Martín,Y,AM,89,0,0,2,2,0,0,1,0,0,0,1
