Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-08-13,2022-2023,La Liga,Valladolid,Villarreal,Home,0,3,L,Iván Sánchez,N,-,35,0,0,2,2,0,0,1,0,0,4,0
2022-08-19,2022-2023,La Liga,Valladolid,Sevilla,Away,1,1,D,Iván Sánchez,Y,FW,66,0,0,0,0,0,0,0,4,0,1,0
2022-08-28,2022-2023,La Liga,Valladolid,Barcelona,Away,0,4,L,Iván Sánchez,Y,RW,60,0,0,0,0,0,0,0,1,0,1,1
2022-09-05,2022-2023,La Liga,Valladolid,Almería,Home,1,0,W,Iván Sánchez,Y,FW,77,0,0,1,1,0,0,2,4,0,4,0
2022-09-16,2022-2023,La Liga,Valladolid,Cádiz,Home,0,1,L,Iván Sánchez,N,-,24,0,0,1,0,0,0,0,1,0,3,0
2022-10-01,2022-2023,La Liga,Valladolid,Getafe,Away,3,2,W,Iván Sánchez,N,-,13,0,0,0,0,0,1,0,1,0,0,0
2022-10-09,2022-2023,La Liga,Valladolid,Real Betis,Home,0,0,D,Iván Sánchez,Y,FW,68,0,0,4,1,0,0,1,0,0,2,0
2022-10-16,2022-2023,La Liga,Valladolid,Espanyol,Away,0,1,L,Iván Sánchez,Y,FW,61,0,0,1,0,0,0,0,2,0,1,1
2022-10-22,2022-2023,La Liga,Valladolid,Real Sociedad,Home,1,0,W,Iván Sánchez,Y,CM,56,0,0,0,0,0,0,0,2,0,0,0
2022-11-05,2022-2023,La Liga,Valladolid,Elche,Home,2,1,W,Iván Sánchez,Y,CM,66,0,0,0,0,0,0,1,1,0,2,1
2022-11-08,2022-2023,La Liga,Valladolid,Athletic Club,Away,0,3,L,Iván Sánchez,N,-,29,0,0,0,0,0,0,0,2,0,1,0
2022-12-30,2022-2023,La Liga,Valladolid,Real Madrid,Home,0,2,L,Iván Sánchez,Y,FW,54,0,0,1,0,0,0,0,1,0,2,2
2023-01-07,2022-2023,La Liga,Valladolid,Mallorca,Away,0,1,L,Iván Sánchez,N,-,7,0,0,0,0,0,0,1,0,0,1,0
2023-01-14,2022-2023,La Liga,Valladolid,Rayo Vallecano,Home,0,1,L,Iván Sánchez,Y,CM,60,0,0,2,1,0,0,1,2,0,0,0
2023-02-05,2022-2023,La Liga,Valladolid,Real Sociedad,Away,1,0,W,Iván Sánchez,N,-,32,0,0,0,0,0,0,0,2,0,1,0
2023-02-12,2022-2023,La Liga,Valladolid,Osasuna,Home,0,0,D,Iván Sánchez,N,-,16,0,0,0,0,0,0,0,0,0,0,0
2023-02-18,2022-2023,La Liga,Valladolid,Real Betis,Away,1,2,L,Iván Sánchez,N,-,20,0,0,2,0,0,0,0,0,0,1,0
2023-02-26,2022-2023,La Liga,Valladolid,Celta Vigo,Away,0,3,L,Iván Sánchez,Y,AM,74,0,0,0,0,0,0,0,3,0,1,2
2023-03-05,2022-2023,La Liga,Valladolid,Espanyol,Home,2,1,W,Iván Sánchez,Y,CM,64,1,0,1,1,0,0,0,5,0,2,2
2023-03-11,2022-2023,La Liga,Valladolid,Elche,Away,1,1,D,Iván Sánchez,Y,AM,62,0,0,1,0,0,0,1,1,0,2,1
2023-03-17,2022-2023,La Liga,Valladolid,Athletic Club,Home,1,3,L,Iván Sánchez,Y,AM,90,0,0,0,0,0,0,0,3,0,2,0
2023-04-09,2022-2023,La Liga,Valladolid,Mallorca,Home,3,3,D,Iván Sánchez,N,-,25,0,0,0,0,0,0,0,3,0,3,0
2023-04-30,2022-2023,La Liga,Valladolid,Atlético Madrid,Home,2,5,L,Iván Sánchez,N,-,31,0,0,1,1,0,0,0,1,0,2,0
2023-05-04,2022-2023,La Liga,Valladolid,Rayo Vallecano,Away,1,2,L,Iván Sánchez,Y,AM,32,0,1,0,0,0,0,0,3,0,3,0
2023-05-14,2022-2023,La Liga,Valladolid,Sevilla,Home,0,3,L,Iván Sánchez,N,-,32,0,0,0,0,0,0,0,2,0,5,1
2024-08-19,2024-2025,La Liga,Valladolid,Espanyol,Home,1,0,W,Iván Sánchez,N,-,21,0,0,0,0,1,0,2,1,0,1,1
2024-08-25,2024-2025,La Liga,Valladolid,Real Madrid,Away,0,3,L,Iván Sánchez,Y,RW,90,0,0,0,0,0,0,0,1,0,4,1
2024-08-28,2024-2025,La Liga,Valladolid,Leganés,Home,0,0,D,Iván Sánchez,N,-,29,0,0,0,0,0,0,0,2,0,3,0
2024-08-31,2024-2025,La Liga,Valladolid,Barcelona,Away,0,7,L,Iván Sánchez,Y,RW,61,0,0,0,0,0,0,0,1,0,0,1
2024-09-15,2024-2025,La Liga,Valladolid,Celta Vigo,Away,1,3,L,Iván Sánchez,N,-,45,0,0,0,0,0,0,1,1,0,4,2
2024-09-21,2024-2025,La Liga,Valladolid,Real Sociedad,Home,0,0,D,Iván Sánchez,N,-,30,0,0,0,0,0,0,0,2,0,2,0
2024-09-24,2024-2025,La Liga,Valladolid,Sevilla,Away,1,2,L,Iván Sánchez,N,-,45,0,0,1,1,0,0,0,0,0,2,1
2024-09-27,2024-2025,La Liga,Valladolid,Mallorca,Home,1,2,L,Iván Sánchez,N,-,40,1,0,2,1,0,0,0,0,0,8,1
2024-10-05,2024-2025,La Liga,Valladolid,Rayo Vallecano,Home,1,2,L,Iván Sánchez,N,-,8,0,0,1,1,0,0,0,2,0,0,0
2024-10-26,2024-2025,La Liga,Valladolid,Villarreal,Home,1,2,L,Iván Sánchez,N,-,3,0,0,0,0,0,0,0,0,0,0,0
2024-11-02,2024-2025,La Liga,Valladolid,Osasuna,Away,0,1,L,Iván Sánchez,N,-,33,0,0,1,0,1,0,1,1,0,3,1
2024-11-10,2024-2025,La Liga,Valladolid,Athletic Club,Home,1,1,D,Iván Sánchez,N,-,30,0,1,0,0,0,0,0,0,0,1,0
2024-11-22,2024-2025,La Liga,Valladolid,Getafe,Away,0,2,L,Iván Sánchez,N,-,17,0,0,0,0,1,0,1,1,0,1,0
2024-11-30,2024-2025,La Liga,Valladolid,Atlético Madrid,Home,0,5,L,Iván Sánchez,Y,RM,90,0,0,1,0,0,0,3,7,0,8,1
2024-12-07,2024-2025,La Liga,Valladolid,Las Palmas,Away,1,2,L,Iván Sánchez,Y,RW,85,0,0,0,0,0,0,1,2,0,3,1
2024-12-13,2024-2025,La Liga,Valladolid,Valencia,Home,1,0,W,Iván Sánchez,Y,AM,57,0,0,0,0,0,0,0,2,0,1,0
2024-12-20,2024-2025,La Liga,Valladolid,Girona,Away,0,3,L,Iván Sánchez,Y,CM,60,0,0,0,0,1,0,1,1,0,4,2
2025-01-11,2024-2025,La Liga,Valladolid,Real Betis,Home,1,0,W,Iván Sánchez,N,-,2,0,0,0,0,0,0,0,0,0,0,0
2025-01-25,2024-2025,La Liga,Valladolid,Real Madrid,Home,0,3,L,Iván Sánchez,Y,FW,61,0,0,0,0,0,0,0,1,0,3,1
2025-02-01,2024-2025,La Liga,Valladolid,Villarreal,Away,1,5,L,Iván Sánchez,N,-,12,0,0,0,0,0,0,0,0,0,2,0
2025-02-28,2024-2025,La Liga,Valladolid,Las Palmas,Home,1,1,D,Iván Sánchez,N,-,34,0,0,1,0,0,0,0,0,0,11,0
2025-03-08,2024-2025,La Liga,Valladolid,Valencia,Away,1,2,L,Iván Sánchez,Y,RM,70,0,0,0,0,0,0,1,4,0,5,1
2025-03-15,2024-2025,La Liga,Valladolid,Celta Vigo,Home,0,1,L,Iván Sánchez,N,-,28,0,0,0,0,0,0,0,1,1,1,1
2025-03-29,2024-2025,La Liga,Valladolid,Real Sociedad,Away,1,2,L,Iván Sánchez,Y,AM,82,0,0,2,2,0,0,1,4,0,5,2
2025-04-06,2024-2025,La Liga,Valladolid,Getafe,Home,0,4,L,Iván Sánchez,Y*,RM,71,0,0,2,0,0,0,0,2,0,9,3
2025-04-14,2024-2025,La Liga,Valladolid,Atlético Madrid,Away,2,4,L,Iván Sánchez,N,-,18,0,0,1,0,0,0,0,0,0,2,0
2025-04-20,2024-2025,La Liga,Valladolid,Osasuna,Home,2,3,L,Iván Sánchez,N,-,45,0,0,0,0,0,0,1,2,0,4,0
2025-04-24,2024-2025,La Liga,Valladolid,Real Betis,Away,1,5,L,Iván Sánchez,N,-,20,0,0,0,0,0,0,1,0,1,2,0
2025-05-03,2024-2025,La Liga,Valladolid,Barcelona,Home,1,2,L,Iván Sánchez,Y,RM,71,1,0,1,1,0,0,1,1,1,3,3
2025-05-10,2024-2025,La Liga,Valladolid,Mallorca,Away,1,2,L,Iván Sánchez,N,-,33,0,0,0,0,0,0,0,4,0,5,0
2025-05-13,2024-2025,La Liga,Valladolid,Girona,Home,0,1,L,Iván Sánchez,N,-,68,0,0,2,0,0,0,0,2,0,6,1
2025-05-18,2024-2025,La Liga,Valladolid,Alavés,Home,0,1,L,Iván Sánchez,N,-,45,0,0,0,0,0,0,0,3,0,11,0
