Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-03-21,2014-2015,La Liga,Atlético Madrid,Getafe,Home,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-04-04,2014-2015,La Liga,Atlético Madrid,Córdoba,Home,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,2014-2015,La Liga,Atlético Madrid,Real Sociedad,Home,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,2014-2015,La Liga,Atlético Madrid,Málaga,Away,2,2,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,2014-2015,La Liga,Atlético Madrid,Deportivo La Coruña,Away,2,1,W,Jan Oblak,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2015-04-25,2014-2015,La Liga,Atlético Madrid,Elche,Home,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-04-29,2014-2015,La Liga,Atlético Madrid,Villarreal,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2015-05-02,2014-2015,La Liga,Atlético Madrid,Athletic Club,Home,0,0,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-05-10,2014-2015,La Liga,Atlético Madrid,Levante,Away,2,2,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,2014-2015,La Liga,Atlético Madrid,Barcelona,Home,0,1,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-05-23,2014-2015,La Liga,Atlético Madrid,Granada,Away,0,0,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,2015-2016,La Liga,Atlético Madrid,Las Palmas,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-08-30,2015-2016,La Liga,Atlético Madrid,Sevilla,Away,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,2015-2016,La Liga,Atlético Madrid,Barcelona,Home,1,2,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-09-19,2015-2016,La Liga,Atlético Madrid,Eibar,Away,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-09-22,2015-2016,La Liga,Atlético Madrid,Getafe,Home,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-09-26,2015-2016,La Liga,Atlético Madrid,Villarreal,Away,0,1,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-10-04,2015-2016,La Liga,Atlético Madrid,Real Madrid,Home,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-10-18,2015-2016,La Liga,Atlético Madrid,Real Sociedad,Away,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2015-10-25,2015-2016,La Liga,Atlético Madrid,Valencia,Home,2,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-10-30,2015-2016,La Liga,Atlético Madrid,Deportivo La Coruña,Away,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-11-08,2015-2016,La Liga,Atlético Madrid,Sporting Gijón,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-11-22,2015-2016,La Liga,Atlético Madrid,Real Betis,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2015-11-28,2015-2016,La Liga,Atlético Madrid,Espanyol,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-12-05,2015-2016,La Liga,Atlético Madrid,Granada,Away,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-12-13,2015-2016,La Liga,Atlético Madrid,Athletic Club,Home,2,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2015-12-20,2015-2016,La Liga,Atlético Madrid,Málaga,Away,0,1,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-12-30,2015-2016,La Liga,Atlético Madrid,Rayo Vallecano,Away,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-01-02,2015-2016,La Liga,Atlético Madrid,Levante,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-01-10,2015-2016,La Liga,Atlético Madrid,Celta Vigo,Away,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,1,0
2016-01-17,2015-2016,La Liga,Atlético Madrid,Las Palmas,Away,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-01-24,2015-2016,La Liga,Atlético Madrid,Sevilla,Home,0,0,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-01-30,2015-2016,La Liga,Atlético Madrid,Barcelona,Away,1,2,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,2015-2016,La Liga,Atlético Madrid,Eibar,Home,3,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,2015-2016,La Liga,Atlético Madrid,Getafe,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,2015-2016,La Liga,Atlético Madrid,Villarreal,Home,0,0,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-02-27,2015-2016,La Liga,Atlético Madrid,Real Madrid,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,2015-2016,La Liga,Atlético Madrid,Real Sociedad,Home,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-03-06,2015-2016,La Liga,Atlético Madrid,Valencia,Away,3,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-03-12,2015-2016,La Liga,Atlético Madrid,Deportivo La Coruña,Home,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-03-19,2015-2016,La Liga,Atlético Madrid,Sporting Gijón,Away,1,2,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-04-02,2015-2016,La Liga,Atlético Madrid,Real Betis,Home,5,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,1,0
2016-04-09,2015-2016,La Liga,Atlético Madrid,Espanyol,Away,3,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,1,0
2016-04-17,2015-2016,La Liga,Atlético Madrid,Granada,Home,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,1,0
2016-04-20,2015-2016,La Liga,Atlético Madrid,Athletic Club,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-04-23,2015-2016,La Liga,Atlético Madrid,Málaga,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-04-30,2015-2016,La Liga,Atlético Madrid,Rayo Vallecano,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2016-05-08,2015-2016,La Liga,Atlético Madrid,Levante,Away,1,2,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-05-14,2015-2016,La Liga,Atlético Madrid,Celta Vigo,Home,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-08-21,2016-2017,La Liga,Atlético Madrid,Alavés,Home,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-08-27,2016-2017,La Liga,Atlético Madrid,Leganés,Away,0,0,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-09-10,2016-2017,La Liga,Atlético Madrid,Celta Vigo,Away,4,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-09-17,2016-2017,La Liga,Atlético Madrid,Sporting Gijón,Home,5,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-09-21,2016-2017,La Liga,Atlético Madrid,Barcelona,Away,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,1,0
2016-09-25,2016-2017,La Liga,Atlético Madrid,Deportivo La Coruña,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-10-02,2016-2017,La Liga,Atlético Madrid,Valencia,Away,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2016-10-15,2016-2017,La Liga,Atlético Madrid,Granada,Home,7,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-10-23,2016-2017,La Liga,Atlético Madrid,Sevilla,Away,0,1,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-10-29,2016-2017,La Liga,Atlético Madrid,Málaga,Home,4,2,W,Jan Oblak,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2016-11-05,2016-2017,La Liga,Atlético Madrid,Real Sociedad,Away,0,2,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-11-19,2016-2017,La Liga,Atlético Madrid,Real Madrid,Home,0,3,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-11-27,2016-2017,La Liga,Atlético Madrid,Osasuna,Away,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-12-03,2016-2017,La Liga,Atlético Madrid,Espanyol,Home,0,0,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-12-12,2016-2017,La Liga,Atlético Madrid,Villarreal,Away,0,3,L,Jan Oblak,Y,GK,40,0,0,0,0,0,0,0,0,0,0,0
2017-02-26,2016-2017,La Liga,Atlético Madrid,Barcelona,Home,1,2,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2017-03-02,2016-2017,La Liga,Atlético Madrid,Deportivo La Coruña,Away,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-03-05,2016-2017,La Liga,Atlético Madrid,Valencia,Home,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-03-11,2016-2017,La Liga,Atlético Madrid,Granada,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-03-19,2016-2017,La Liga,Atlético Madrid,Sevilla,Home,3,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,2016-2017,La Liga,Atlético Madrid,Málaga,Away,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-04-04,2016-2017,La Liga,Atlético Madrid,Real Sociedad,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-04-08,2016-2017,La Liga,Atlético Madrid,Real Madrid,Away,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-04-15,2016-2017,La Liga,Atlético Madrid,Osasuna,Home,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-04-22,2016-2017,La Liga,Atlético Madrid,Espanyol,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2017-04-25,2016-2017,La Liga,Atlético Madrid,Villarreal,Home,0,1,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-04-29,2016-2017,La Liga,Atlético Madrid,Las Palmas,Away,5,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-05-06,2016-2017,La Liga,Atlético Madrid,Eibar,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-05-14,2016-2017,La Liga,Atlético Madrid,Real Betis,Away,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-05-21,2016-2017,La Liga,Atlético Madrid,Athletic Club,Home,3,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-08-19,2017-2018,La Liga,Atlético Madrid,Girona,Away,2,2,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-08-26,2017-2018,La Liga,Atlético Madrid,Las Palmas,Away,5,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-09-09,2017-2018,La Liga,Atlético Madrid,Valencia,Away,0,0,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-09-16,2017-2018,La Liga,Atlético Madrid,Málaga,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-09-20,2017-2018,La Liga,Atlético Madrid,Athletic Club,Away,2,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-09-23,2017-2018,La Liga,Atlético Madrid,Sevilla,Home,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,1,0
2017-09-30,2017-2018,La Liga,Atlético Madrid,Leganés,Away,0,0,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-10-14,2017-2018,La Liga,Atlético Madrid,Barcelona,Home,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-10-22,2017-2018,La Liga,Atlético Madrid,Celta Vigo,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-10-28,2017-2018,La Liga,Atlético Madrid,Villarreal,Home,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-11-04,2017-2018,La Liga,Atlético Madrid,Deportivo La Coruña,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-11-18,2017-2018,La Liga,Atlético Madrid,Real Madrid,Home,0,0,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-11-25,2017-2018,La Liga,Atlético Madrid,Levante,Away,5,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-12-02,2017-2018,La Liga,Atlético Madrid,Real Sociedad,Home,2,1,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,1,1,0,0,0
2017-12-10,2017-2018,La Liga,Atlético Madrid,Real Betis,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-12-16,2017-2018,La Liga,Atlético Madrid,Alavés,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-12-22,2017-2018,La Liga,Atlético Madrid,Espanyol,Away,0,1,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-01-06,2017-2018,La Liga,Atlético Madrid,Getafe,Home,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-01-13,2017-2018,La Liga,Atlético Madrid,Eibar,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-01-20,2017-2018,La Liga,Atlético Madrid,Girona,Home,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,1,0,1,0,0,0,0
2018-01-28,2017-2018,La Liga,Atlético Madrid,Las Palmas,Home,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-02-04,2017-2018,La Liga,Atlético Madrid,Valencia,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-02-10,2017-2018,La Liga,Atlético Madrid,Málaga,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-02-18,2017-2018,La Liga,Atlético Madrid,Athletic Club,Home,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-02-25,2017-2018,La Liga,Atlético Madrid,Sevilla,Away,5,2,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-02-28,2017-2018,La Liga,Atlético Madrid,Leganés,Home,4,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,2017-2018,La Liga,Atlético Madrid,Barcelona,Away,0,1,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-03-11,2017-2018,La Liga,Atlético Madrid,Celta Vigo,Home,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-03-18,2017-2018,La Liga,Atlético Madrid,Villarreal,Away,1,2,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,2017-2018,La Liga,Atlético Madrid,Deportivo La Coruña,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2018-04-08,2017-2018,La Liga,Atlético Madrid,Real Madrid,Away,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-04-15,2017-2018,La Liga,Atlético Madrid,Levante,Home,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-04-19,2017-2018,La Liga,Atlético Madrid,Real Sociedad,Away,0,3,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-04-22,2017-2018,La Liga,Atlético Madrid,Real Betis,Home,0,0,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-05-06,2017-2018,La Liga,Atlético Madrid,Espanyol,Home,0,2,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-05-12,2017-2018,La Liga,Atlético Madrid,Getafe,Away,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2018-05-20,2017-2018,La Liga,Atlético Madrid,Eibar,Home,2,2,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2018-08-20,2018-2019,La Liga,Atlético Madrid,Valencia,Away,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-08-25,2018-2019,La Liga,Atlético Madrid,Rayo Vallecano,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,2018-2019,La Liga,Atlético Madrid,Celta Vigo,Away,0,2,L,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-09-15,2018-2019,La Liga,Atlético Madrid,Eibar,Home,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-09-22,2018-2019,La Liga,Atlético Madrid,Getafe,Away,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-09-25,2018-2019,La Liga,Atlético Madrid,Huesca,Home,3,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-09-29,2018-2019,La Liga,Atlético Madrid,Real Madrid,Away,0,0,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-10-07,2018-2019,La Liga,Atlético Madrid,Real Betis,Home,1,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-10-20,2018-2019,La Liga,Atlético Madrid,Villarreal,Away,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-10-27,2018-2019,La Liga,Atlético Madrid,Real Sociedad,Home,2,0,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,2018-2019,La Liga,Atlético Madrid,Leganés,Away,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-11-10,2018-2019,La Liga,Atlético Madrid,Athletic Club,Home,3,2,W,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-11-24,2018-2019,La Liga,Atlético Madrid,Barcelona,Home,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-12-02,2018-2019,La Liga,Atlético Madrid,Girona,Away,1,1,D,Jan Oblak,Y,GK,90,0,0,0,0,0,0,1,0,0,0,0
