Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-09-10,2016-17,La Liga,Barcelona,Alavés,Home,1,2,L,Jasper Cillessen,Y,GK,90,0,0,N/A,4,0,0,N/A,N/A,N/A,N/A,N/A
2018-05-09,2017-18,La Liga,Barcelona,Villarreal,Home,5,1,W,Jasper Cillessen,Y,GK,90,0,0,N/A,7,0,0,N/A,N/A,N/A,N/A,N/A
2019-05-04,2018-19,La Liga,Barcelona,Celta Vigo,Away,0,2,L,Jasper Cillessen,Y,GK,90,0,0,N/A,5,0,0,N/A,N/A,N/A,N/A,N/A
2019-05-12,2018-19,La Liga,Barcelona,Getafe,Home,2,0,W,Jasper Cillessen,Y,GK,90,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
2019-05-19,2018-19,La Liga,Barcelona,Eibar,Away,2,2,D,Jasper Cillessen,Y,GK,90,0,0,N/A,8,0,0,N/A,N/A,N/A,N/A,N/A
2019-08-17,2019-20,La Liga,Valencia,Real Sociedad,Home,1,1,D,Jasper Cillessen,Y,GK,90,0,0,N/A,2,0,0,N/A,N/A,N/A,N/A,N/A
2019-08-24,2019-20,La Liga,Valencia,Celta Vigo,Away,0,1,L,Jasper Cillessen,Y,GK,90,0,0,N/A,4,0,0,N/A,N/A,N/A,N/A,N/A
2019-09-01,2019-20,La Liga,Valencia,Mallorca,Home,2,0,W,Jasper Cillessen,Y,GK,90,0,0,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A
2019-09-14,2019-20,La Liga,Valencia,Barcelona,Away,2,5,L,Jasper Cillessen,Y,GK,90,0,0,N/A,10,0,0,N/A,N/A,N/A,N/A,N/A
2019-09-22,2019-20,La Liga,Valencia,Leganés,Home,1,1,D,Jasper Cillessen,Y,GK,90,0,0,N/A,4,0,0,N/A,N/A,N/A,N/A,N/A
