Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-02-01,2018-2019,La Liga,Huesca,Valladolid,Home,4,0,W,Javi Galán,Y,LB,90,0,1,0,0,1,0,1,0,3,2,0
2019-02-09,2018-2019,La Liga,Huesca,Girona,Away,2,0,W,Javi Galán,Y,LW,90,0,0,0,0,1,0,2,0,3,3,1
2019-02-14,2018-2019,La Liga,Huesca,Athletic Club,Home,0,1,L,Javi Galán,Y,LM,90,0,0,0,0,0,0,0,0,4,2,3
2019-02-22,2018-2019,La Liga,Huesca,Espanyol,Away,1,1,D,Javi Galán,Y,LM,90,0,0,1,0,1,0,1,0,5,3,1
2019-03-02,2018-2019,La Liga,Huesca,Sevilla,Home,2,1,W,Javi Galán,Y,DM,90,0,1,0,0,1,0,1,0,2,1,1
2019-03-09,2018-2019,La Liga,Huesca,Getafe,Away,1,2,L,Javi Galán,Y,LW,90,0,0,0,0,1,0,3,0,3,5,1
2019-03-31,2018-2019,La Liga,Huesca,Real Madrid,Away,2,3,L,Javi Galán,Y,LB,90,0,0,0,0,0,0,0,0,3,2,1
2019-04-03,2018-2019,La Liga,Huesca,Celta Vigo,Home,3,3,D,Javi Galán,Y,LB,90,0,0,0,0,0,0,0,0,5,1,0
2019-04-07,2018-2019,La Liga,Huesca,Levante,Away,2,2,D,Javi Galán,Y,LB,90,0,0,0,0,0,0,0,0,5,4,1
2019-04-13,2018-2019,La Liga,Huesca,Barcelona,Home,0,0,D,Javi Galán,Y,LB,90,0,0,0,0,0,0,1,0,3,3,3
2019-04-20,2018-2019,La Liga,Huesca,Rayo Vallecano,Away,0,0,D,Javi Galán,Y,LB,90,0,0,0,0,0,0,0,0,6,3,2
2019-04-23,2018-2019,La Liga,Huesca,Eibar,Home,2,0,W,Javi Galán,Y,LB,90,0,0,1,0,0,0,2,0,2,3,1
2019-04-28,2018-2019,La Liga,Huesca,Villarreal,Away,1,1,D,Javi Galán,Y,LB,90,0,0,0,0,1,0,3,1,8,4,1
2019-05-05,2018-2019,La Liga,Huesca,Valencia,Home,2,6,L,Javi Galán,Y,LB,90,0,0,0,0,0,0,0,0,9,3,0
2019-05-12,2018-2019,La Liga,Huesca,Real Betis,Away,1,2,L,Javi Galán,Y,LB,90,0,0,0,0,1,0,0,0,1,0,0
2019-05-18,2018-2019,La Liga,Huesca,Leganés,Home,2,1,W,Javi Galán,Y,LB,90,0,0,0,0,0,0,1,0,6,0,3
2020-09-13,2020-2021,La Liga,Huesca,Villarreal,Away,1,1,D,Javi Galán,Y,LB,90,0,0,0,0,0,0,6,0,1,2,1
2020-09-20,2020-2021,La Liga,Huesca,Cádiz,Home,0,2,L,Javi Galán,Y,LB,90,0,0,0,0,0,0,2,0,7,4,0
2020-09-26,2020-2021,La Liga,Huesca,Valencia,Away,1,1,D,Javi Galán,Y,LB,90,0,0,0,0,1,0,5,0,4,2,2
2020-09-30,2020-2021,La Liga,Huesca,Atlético Madrid,Home,0,0,D,Javi Galán,Y,LB,90,0,0,0,0,1,0,2,0,4,3,5
2020-10-03,2020-2021,La Liga,Huesca,Elche,Away,0,0,D,Javi Galán,Y,LB,90,0,0,0,0,0,0,4,1,6,1,3
2020-10-18,2020-2021,La Liga,Huesca,Valladolid,Home,2,2,D,Javi Galán,N,,14,0,0,0,0,0,0,0,0,1,0,0
2020-10-25,2020-2021,La Liga,Huesca,Real Sociedad,Away,1,4,L,Javi Galán,Y,LB,70,0,1,0,0,0,0,2,0,2,0,1
2020-10-31,2020-2021,La Liga,Huesca,Real Madrid,Away,1,4,L,Javi Galán,N,,45,0,0,0,0,0,0,0,0,3,0,0
2020-11-07,2020-2021,La Liga,Huesca,Eibar,Home,1,1,D,Javi Galán,Y,LB,90,0,0,0,0,0,0,3,0,6,0,2
2020-11-20,2020-2021,La Liga,Huesca,Osasuna,Away,1,1,D,Javi Galán,Y,LB,90,0,0,0,0,0,0,0,1,1,0,2
2020-11-28,2020-2021,La Liga,Huesca,Sevilla,Home,0,1,L,Javi Galán,Y,LB,90,0,0,0,0,0,0,1,0,2,3,3
2020-12-06,2020-2021,La Liga,Huesca,Granada,Away,3,3,D,Javi Galán,Y,LB,90,0,0,0,0,0,0,3,0,3,4,1
2020-12-12,2020-2021,La Liga,Huesca,Alavés,Home,1,0,W,Javi Galán,Y,LB,90,0,1,0,0,0,0,2,0,3,2,1
2020-12-18,2020-2021,La Liga,Huesca,Athletic Club,Away,0,2,L,Javi Galán,Y,LB,90,0,0,0,0,0,0,2,0,5,1,0
2020-12-22,2020-2021,La Liga,Huesca,Levante,Home,1,1,D,Javi Galán,Y,LB,90,0,0,1,0,0,0,0,0,2,2,2
