Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-08-22,2022-2023,La Liga,Girona,Getafe,Home,3,1,W,Javi Hernández,N,,22,0,0,0,0,0,0,1,0,0,0,0
2022-08-26,2022-2023,La Liga,Girona,Celta Vigo,Home,0,1,L,Javi Hernández,N,,10,0,0,0,0,0,0,0,0,0,2,2
2022-09-03,2022-2023,La Liga,Girona,Mallorca,Away,1,1,D,Javi Hernández,N,,1,0,0,0,0,0,0,0,0,0,0,0
2022-09-09,2022-2023,La Liga,Girona,Valladolid,Home,2,1,W,Javi Hernández,N,,1,0,0,0,0,0,0,0,0,0,0,0
2022-10-08,2022-2023,La Liga,Girona,Atlético Madrid,Away,1,2,L,Javi Hernández,Y,CB,83,0,0,0,0,1,0,1,0,0,1,1
2022-10-15,2022-2023,La Liga,Girona,Cádiz,Home,1,1,D,Javi Hernández,Y,CB,51,0,0,0,0,0,0,0,0,0,2,0
2022-10-23,2022-2023,La Liga,Girona,Osasuna,Home,1,1,D,Javi Hernández,Y,LB,73,0,0,0,0,0,0,0,0,0,3,0
2022-10-30,2022-2023,La Liga,Girona,Real Madrid,Away,1,1,D,Javi Hernández,N,,28,0,0,0,0,0,0,0,0,0,0,1
2022-11-04,2022-2023,La Liga,Girona,Athletic Club,Home,2,1,W,Javi Hernández,N,,6,0,0,0,0,0,0,0,0,0,0,0
2022-11-08,2022-2023,La Liga,Girona,Elche,Away,2,1,W,Javi Hernández,Y,LB,90,0,1,0,0,0,0,2,0,0,0,0
2023-02-17,2022-2023,La Liga,Girona,Almería,Home,6,2,W,Javi Hernández,Y,LB,82,1,0,1,1,0,0,0,0,0,1,1
2023-02-26,2022-2023,La Liga,Girona,Athletic Club,Away,3,2,W,Javi Hernández,Y,LB,60,0,0,0,0,0,0,0,0,0,1,0
2023-03-04,2022-2023,La Liga,Girona,Getafe,Away,2,3,L,Javi Hernández,Y,LB,79,0,0,1,1,1,0,1,1,0,1,2
2023-03-18,2022-2023,La Liga,Girona,Rayo Vallecano,Away,2,2,D,Javi Hernández,N,,45,0,1,0,0,0,0,2,0,1,1,0
2023-04-01,2022-2023,La Liga,Girona,Espanyol,Home,2,1,W,Javi Hernández,Y,LB,76,0,0,1,1,0,0,1,3,0,0,2
2023-04-10,2022-2023,La Liga,Girona,Barcelona,Away,0,0,D,Javi Hernández,Y,LB,90,0,0,1,0,0,0,1,1,0,1,1
2023-04-16,2022-2023,La Liga,Girona,Elche,Home,2,0,W,Javi Hernández,Y,LB,57,0,0,4,1,0,0,0,0,0,1,0
2023-04-22,2022-2023,La Liga,Girona,Valladolid,Away,0,1,L,Javi Hernández,Y,LB,90,0,0,3,2,0,0,0,2,0,3,1
2023-04-25,2022-2023,La Liga,Girona,Real Madrid,Home,4,2,W,Javi Hernández,N,,2,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,2022-2023,La Liga,Girona,Sevilla,Away,2,0,W,Javi Hernández,Y,CB,62,0,0,0,0,0,0,0,3,0,1,1
2023-05-04,2022-2023,La Liga,Girona,Mallorca,Home,2,1,W,Javi Hernández,N,,18,0,0,0,0,1,0,1,1,0,0,0
2023-05-13,2022-2023,La Liga,Girona,Real Sociedad,Away,2,2,D,Javi Hernández,Y,LB,58,0,0,0,0,0,0,1,0,0,0,2
2023-05-20,2022-2023,La Liga,Girona,Villarreal,Home,1,2,L,Javi Hernández,N,,13,0,0,0,0,0,0,1,0,0,0,0
2023-05-28,2022-2023,La Liga,Girona,Real Betis,Home,1,2,L,Javi Hernández,N,,13,0,0,0,0,0,0,0,0,0,0,1
2023-06-04,2022-2023,La Liga,Girona,Osasuna,Away,1,2,L,Javi Hernández,N,,6,0,0,1,0,0,0,1,0,0,1,0
2023-08-14,2023-2024,La Liga,Cádiz,Alavés,Home,1,0,W,Javi Hernández,Y,LB,64,0,1,1,0,0,0,1,0,3,0,0
2023-08-20,2023-2024,La Liga,Cádiz,Barcelona,Away,0,2,L,Javi Hernández,Y,LB,90,0,0,0,0,0,0,1,0,1,1,0
2023-08-26,2023-2024,La Liga,Cádiz,Almeria,Home,1,1,D,Javi Hernández,Y,LB,90,0,0,0,0,0,0,3,1,5,0,1
2023-09-01,2023-2024,La Liga,Cádiz,Villarreal,Home,3,1,W,Javi Hernández,Y,LB,90,0,0,1,0,0,0,0,0,9,0,1
