Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-06-21,2019-2020,La Liga,Alavés,Celta Vigo,Away,0,6,L,Javi López,Y,LB,90,0,0,0,0,0,0,1,0,5,6,1
2020-09-13,2020-2021,La Liga,Alavés,Real Betis,Home,0,1,L,Javi López,N,N/A,26,0,0,0,0,1,0,2,0,1,2,0
2020-09-26,2020-2021,La Liga,Alavés,Getafe,Home,0,0,D,Javi López,N,N/A,22,0,0,0,0,0,0,1,0,1,0,0
2020-10-04,2020-2021,La Liga,Alavés,Athletic Club,Home,1,0,W,Javi López,N,N/A,1,0,0,0,0,0,0,0,0,0,0,0
2020-10-18,2020-2021,La Liga,Alavés,Elche,Home,0,2,L,Javi López,N,N/A,29,0,0,0,0,0,0,0,0,6,0,1
2020-11-08,2020-2021,La Liga,Alavés,Levante,Away,1,1,D,Javi López,N,N/A,8,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,2020-2021,La Liga,Alavés,Real Madrid,Away,2,1,W,Javi López,N,N/A,3,0,0,1,1,0,0,0,0,0,0,0
2020-12-12,2020-2021,La Liga,Alavés,Huesca,Away,0,1,L,Javi López,N,N/A,16,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,2020-2021,La Liga,Alavés,Atlético Madrid,Home,1,2,L,Javi López,Y,LB,87,0,0,0,0,0,0,0,0,1,3,1
2021-04-04,2020-2021,La Liga,Alavés,Celta Vigo,Home,1,3,L,Javi López,N,N/A,56,0,0,0,0,0,0,3,0,8,0,1
2021-04-24,2020-2021,La Liga,Alavés,Valencia,Away,1,1,D,Javi López,N,N/A,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,2021-2022,La Liga,Alavés,Mallorca,Home,0,1,L,Javi López,N,N/A,15,0,0,0,0,0,0,0,0,0,2,0
2021-08-27,2021-2022,La Liga,Alavés,Valencia,Away,0,3,L,Javi López,Y,LB,90,0,0,0,0,0,0,3,0,3,0,1
2021-12-03,2021-2022,La Liga,Alavés,Granada,Away,1,2,L,Javi López,Y,LB,90,0,0,0,0,1,0,0,0,6,0,0
2021-12-11,2021-2022,La Liga,Alavés,Getafe,Home,1,1,D,Javi López,N,N/A,2,0,0,0,0,0,0,0,0,0,0,0
2021-12-21,2021-2022,La Liga,Alavés,Villarreal,Away,2,5,L,Javi López,Y,LB,76,0,0,0,0,1,0,2,0,2,2,1
2022-01-18,2021-2022,La Liga,Alavés,Real Betis,Away,0,4,L,Javi López,N,N/A,43,0,0,0,0,0,0,0,0,0,0,0
2022-01-23,2021-2022,La Liga,Alavés,Barcelona,Home,0,1,L,Javi López,Y,LB,90,0,0,0,0,0,0,1,0,1,0,2
2022-05-07,2021-2022,La Liga,Alavés,Celta Vigo,Away,0,4,L,Javi López,N,N/A,24,0,0,0,0,0,0,0,0,1,0,0
2022-05-22,2021-2022,La Liga,Alavés,Cádiz,Home,0,1,L,Javi López,N,N/A,32,0,0,0,0,0,0,0,0,1,0,0
2023-08-14,2023-2024,La Liga,Alavés,Cádiz,Away,0,1,L,Javi López,N,N/A,27,0,0,0,0,0,0,1,0,0,4,0
2023-08-21,2023-2024,La Liga,Alavés,Sevilla,Home,4,3,W,Javi López,N,N/A,24,0,0,0,0,0,0,0,0,0,0,0
2023-09-15,2023-2024,La Liga,Alavés,Rayo Vallecano,Away,0,2,L,Javi López,N,N/A,22,0,0,0,0,0,0,0,0,0,2,1
2023-09-22,2023-2024,La Liga,Alavés,Athletic Club,Home,0,2,L,Javi López,N,N/A,43,0,0,1,0,0,0,0,1,1,2,0
2023-09-28,2023-2024,La Liga,Alavés,Celta Vigo,Away,1,1,D,Javi López,Y,LB,84,0,1,0,0,1,0,1,0,0,7,1
2023-10-08,2023-2024,La Liga,Alavés,Real Betis,Home,1,1,D,Javi López,Y,LB,85,0,0,0,0,0,0,1,1,0,2,0
2023-10-29,2023-2024,La Liga,Alavés,Atlético Madrid,Away,1,2,L,Javi López,N,N/A,45,0,0,0,0,0,0,1,0,0,5,0
2023-11-05,2023-2024,La Liga,Alavés,Almería,Home,1,0,W,Javi López,Y,LB,90,0,0,0,0,0,0,1,1,0,5,1
2023-11-12,2023-2024,La Liga,Alavés,Barcelona,Away,1,2,L,Javi López,Y,LB,90,0,1,1,0,0,0,1,1,0,0,0
2023-11-24,2023-2024,La Liga,Alavés,Granada,Home,3,1,W,Javi López,Y,LB,90,0,1,0,0,0,0,0,0,0,4,0
2023-12-03,2023-2024,La Liga,Alavés,Mallorca,Away,0,0,D,Javi López,Y,LB,90,0,0,0,0,0,0,2,0,0,3,1
2023-12-09,2023-2024,La Liga,Alavés,Las Palmas,Home,0,1,L,Javi López,Y,LB,90,0,0,2,0,0,0,1,3,0,4,0
2023-12-18,2023-2024,La Liga,Alavés,Girona,Away,0,3,L,Javi López,Y,LM,90,0,0,1,0,0,0,1,0,0,4,0
2023-12-21,2023-2024,La Liga,Alavés,Real Madrid,Home,0,1,L,Javi López,N,N/A,31,0,0,0,0,1,0,2,0,0,4,1
2024-01-02,2023-2024,La Liga,Alavés,Real Sociedad,Away,1,1,D,Javi López,Y,LB,90,0,0,0,0,0,0,3,1,0,4,2
2024-01-12,2023-2024,La Liga,Alavés,Sevilla,Away,3,2,W,Javi López,Y,LB,90,0,0,0,0,0,0,0,0,0,2,0
2024-01-19,2023-2024,La Liga,Alavés,Cádiz,Home,1,0,W,Javi López,Y,LB,90,0,0,0,0,0,0,2,3,0,5,0
2024-01-26,2023-2024,La Liga,Alavés,Almería,Away,3,0,W,Javi López,Y,LB,90,0,0,2,0,0,0,0,1,0,2,0
2024-02-03,2023-2024,La Liga,Alavés,Barcelona,Home,1,3,L,Javi López,Y,LB,90,0,0,2,0,0,0,1,1,0,5,1
2024-02-10,2023-2024,La Liga,Alavés,Villarreal,Home,1,1,D,Javi López,Y,LB,68,0,0,0,0,0,0,0,0,0,3,0
2024-02-18,2023-2024,La Liga,Alavés,Real Betis,Away,0,0,D,Javi López,N,N/A,2,0,0,0,0,0,0,0,0,0,0,0
2024-02-24,2023-2024,La Liga,Alavés,Mallorca,Home,1,1,D,Javi López,Y,LB,90,0,0,1,0,0,0,0,1,0,5,0
2024-03-04,2023-2024,La Liga,Alavés,Osasuna,Away,0,1,L,Javi López,Y,LB,90,0,0,0,0,0,0,1,1,0,7,1
2024-03-10,2023-2024,La Liga,Alavés,Rayo Vallecano,Home,1,0,W,Javi López,Y,LB,90,0,0,2,0,0,0,1,0,0,0,0
2024-03-16,2023-2024,La Liga,Alavés,Athletic Club,Away,0,2,L,Javi López,Y,LB,90,0,0,0,0,0,0,1,1,0,3,1
2024-03-31,2023-2024,La Liga,Alavés,Real Sociedad,Home,0,1,L,Javi López,Y,LB,90,0,0,0,0,0,0,0,0,0,2,1
2024-04-21,2023-2024,La Liga,Alavés,Atlético Madrid,Home,2,0,W,Javi López,Y,LB,90,0,0,1,0,1,0,2,1,0,3,0
2024-04-27,2023-2024,La Liga,Alavés,Celta Vigo,Home,3,0,W,Javi López,Y,LB,90,0,0,1,1,0,0,1,0,0,7,2
2024-05-05,2023-2024,La Liga,Alavés,Valencia,Away,1,0,W,Javi López,Y,LB,90,1,0,1,1,0,0,1,1,0,2,0
2024-05-10,2023-2024,La Liga,Alavés,Girona,Home,2,2,D,Javi López,Y,LB,79,0,0,2,1,0,0,1,2,0,2,0
2024-05-18,2023-2024,La Liga,Alavés,Getafe,Home,1,0,W,Javi López,Y,LB,90,0,0,1,0,0,0,0,4,0,3,0
2024-05-26,2023-2024,La Liga,Alavés,Las Palmas,Away,1,1,D,Javi López,Y,LB,76,0,0,0,0,0,0,0,4,0,1,0
2024-08-18,2024-2025,La Liga,Real Sociedad,Rayo Vallecano,Home,1,2,L,Javi López,Y,LB,90,0,0,1,0,0,0,0,1,0,2,0
2024-08-24,2024-2025,La Liga,Real Sociedad,Espanyol,Away,1,0,W,Javi López,Y,LB,90,0,0,0,0,0,0,2,0,0,1,0
2024-08-28,2024-2025,La Liga,Real Sociedad,Alavés,Home,1,2,L,Javi López,Y,LB,90,0,0,1,0,0,0,0,2,0,4,2
2024-09-01,2024-2025,La Liga,Real Sociedad,Getafe,Away,0,0,D,Javi López,N,N/A,32,0,0,0,0,0,0,1,0,0,0,0
2024-09-14,2024-2025,La Liga,Real Sociedad,Real Madrid,Home,0,2,L,Javi López,Y,LB,77,0,0,0,0,0,0,1,0,0,2,2
2024-09-28,2024-2025,La Liga,Real Sociedad,Valencia,Home,3,0,W,Javi López,Y,LB,90,0,0,0,0,0,0,0,2,0,2,1
2024-10-06,2024-2025,La Liga,Real Sociedad,Atlético Madrid,Home,1,1,D,Javi López,Y,LB,45,0,0,1,0,0,0,1,1,0,1,1
2024-10-19,2024-2025,La Liga,Real Sociedad,Girona,Away,1,0,W,Javi López,N,N/A,32,0,0,0,0,0,0,0,0,0,0,0
2024-11-03,2024-2025,La Liga,Real Sociedad,Sevilla,Away,2,0,W,Javi López,Y,LB,89,0,0,0,0,0,0,1,0,0,0,1
2024-11-10,2024-2025,La Liga,Real Sociedad,Barcelona,Home,1,0,W,Javi López,N,N/A,7,0,0,0,0,0,0,0,0,0,0,0
2024-11-24,2024-2025,La Liga,Real Sociedad,Athletic Club,Away,0,1,L,Javi López,Y,LB,74,0,0,0,0,1,0,3,1,0,2,0
2024-12-08,2024-2025,La Liga,Real Sociedad,Leganés,Away,3,0,W,Javi López,N,N/A,60,0,0,0,0,0,0,1,4,0,1,0
2024-12-15,2024-2025,La Liga,Real Sociedad,Las Palmas,Home,0,0,D,Javi López,Y,LB,84,0,0,0,0,0,0,4,0,0,2,1
2025-01-19,2024-2025,La Liga,Real Sociedad,Valencia,Away,0,1,L,Javi López,Y,LM,61,0,0,1,1,1,0,1,0,0,4,1
2025-01-26,2024-2025,La Liga,Real Sociedad,Getafe,Home,0,3,L,Javi López,N,N/A,40,0,0,0,0,0,0,0,0,0,1,2
2025-02-02,2024-2025,La Liga,Real Sociedad,Osasuna,Away,1,2,L,Javi López,Y,LB,90,0,0,0,0,0,0,0,1,0,8,1
2025-02-09,2024-2025,La Liga,Real Sociedad,Espanyol,Home,2,1,W,Javi López,Y,LB,90,0,0,0,0,0,0,0,2,0,2,0
2025-02-16,2024-2025,La Liga,Real Sociedad,Real Betis,Away,0,3,L,Javi López,N,N/A,45,0,0,0,0,0,0,0,1,0,0,0
2025-02-23,2024-2025,La Liga,Real Sociedad,Leganés,Home,3,0,W,Javi López,Y,LB,90,0,0,0,0,0,0,2,1,0,3,1
2025-03-02,2024-2025,La Liga,Real Sociedad,Barcelona,Away,0,4,L,Javi López,Y,LB,90,0,0,0,0,0,0,0,3,1,1,3
2025-03-09,2024-2025,La Liga,Real Sociedad,Sevilla,Home,0,1,L,Javi López,Y,LB,90,0,0,0,0,0,0,0,0,0,3,0
2025-03-16,2024-2025,La Liga,Real Sociedad,Rayo Vallecano,Away,2,2,D,Javi López,Y,LB,45,0,0,0,0,1,0,1,2,0,1,3
2025-03-29,2024-2025,La Liga,Real Sociedad,Valladolid,Home,2,1,W,Javi López,Y,LB,90,0,0,1,0,0,0,3,1,0,4,1
2025-04-06,2024-2025,La Liga,Real Sociedad,Las Palmas,Away,3,1,W,Javi López,Y,LB,45,0,0,0,0,1,0,3,1,0,4,0
2025-04-20,2024-2025,La Liga,Real Sociedad,Villarreal,Away,2,2,D,Javi López,N,N/A,27,0,0,0,0,0,0,1,1,0,1,0
2025-04-23,2024-2025,La Liga,Real Sociedad,Alavés,Away,0,1,L,Javi López,Y,LB,90,0,0,0,0,0,0,3,2,0,3,3
2025-05-10,2024-2025,La Liga,Real Sociedad,Atlético Madrid,Away,0,4,L,Javi López,Y,LB,90,0,0,0,0,0,0,2,1,0,4,0
2025-05-13,2024-2025,La Liga,Real Sociedad,Celta Vigo,Home,0,1,L,Javi López,N,N/A,13,0,0,0,0,0,0,0,0,0,2,0
2025-05-18,2024-2025,La Liga,Real Sociedad,Girona,Home,3,2,W,Javi López,Y,LB,80,0,0,0,0,0,0,0,0,0,2,0
