Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-08-18,2018-2019,La Liga,Espanyol,Celta Vigo,Away,1,1,D,Javi Puado,N,N/A,10,0,0,1,0,0,0,0,0,1,0,0
2018-11-05,2018-2019,La Liga,Espanyol,Athletic Club,Home,1,0,W,Javi Puado,N,N/A,13,0,0,0,0,0,0,1,0,0,0,0
2018-11-25,2018-2019,La Liga,Espanyol,Girona,Home,1,3,L,Javi Puado,N,N/A,18,0,0,0,0,0,0,0,0,0,0,0
2018-12-01,2018-2019,La Liga,Espanyol,Getafe,Away,0,3,L,Javi Puado,N,N/A,20,0,0,1,0,0,0,0,0,0,0,0
2019-01-14,2018-2019,La Liga,Espanyol,Real Sociedad,Away,2,3,L,Javi Puado,N,N/A,13,0,0,0,0,0,0,0,0,0,0,0
2019-01-21,2018-2019,La Liga,Espanyol,Eibar,Home,0,3,L,Javi Puado,Y,FW,90,0,0,1,1,0,0,0,1,0,0,0
2019-02-17,2018-2019,La Liga,Espanyol,Valencia,Away,0,0,D,Javi Puado,N,N/A,27,0,0,1,1,0,0,0,0,0,0,1
2019-03-02,2018-2019,La Liga,Espanyol,Valladolid,Home,3,1,W,Javi Puado,N,N/A,7,0,0,1,1,0,0,0,0,0,0,1
2019-03-08,2018-2019,La Liga,Espanyol,Athletic Club,Away,1,1,D,Javi Puado,N,N/A,31,0,0,0,0,0,0,1,0,0,1,1
2019-03-17,2018-2019,La Liga,Espanyol,Sevilla,Home,0,1,L,Javi Puado,N,N/A,6,0,0,0,0,0,0,0,1,1,0,0
2019-04-02,2018-2019,La Liga,Espanyol,Getafe,Home,1,1,D,Javi Puado,N,N/A,13,0,0,1,0,0,0,0,0,0,0,0
2019-04-06,2018-2019,La Liga,Espanyol,Girona,Away,2,1,W,Javi Puado,N,N/A,15,0,0,0,0,0,0,0,0,0,0,0
2019-04-21,2018-2019,La Liga,Espanyol,Levante,Away,2,2,D,Javi Puado,Y,FW,82,0,0,2,0,0,0,2,1,0,0,1
2019-05-04,2018-2019,La Liga,Espanyol,Atlético Madrid,Home,3,0,W,Javi Puado,N,N/A,12,0,0,0,0,0,0,0,1,0,0,2
2019-05-18,2018-2019,La Liga,Espanyol,Real Sociedad,Home,2,0,W,Javi Puado,N,N/A,2,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,2021-2022,La Liga,Espanyol,Osasuna,Away,0,0,D,Javi Puado,N,N/A,45,0,0,1,0,0,0,0,0,1,2,0
2021-08-21,2021-2022,La Liga,Espanyol,Villarreal,Home,0,0,D,Javi Puado,Y,LM,66,0,0,0,0,0,0,0,0,0,1,0
2021-08-27,2021-2022,La Liga,Espanyol,Mallorca,Away,0,1,L,Javi Puado,Y,LM,74,0,0,0,0,0,0,0,0,0,2,0
2021-10-26,2021-2022,La Liga,Espanyol,Athletic Club,Home,1,1,D,Javi Puado,N,N/A,23,0,0,1,0,0,0,0,0,0,0,0
2021-10-31,2021-2022,La Liga,Espanyol,Getafe,Away,1,2,L,Javi Puado,N,N/A,28,0,0,1,0,1,0,1,0,0,1,0
