Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-16,2024-2025,La Liga,Celta Vigo,Alavés,Home,2,1,W,Javi Rodríguez,N,,45,0,0,0,0,0,0,0,0,1,1,1
2024-08-23,2024-2025,La Liga,Celta Vigo,Valencia,Home,3,1,W,Javi Rodríguez,Y,CB,74,0,0,1,0,0,0,0,0,0,1,0
2024-09-01,2024-2025,La Liga,Celta Vigo,Osasuna,Away,2,3,L,Javi Rodríguez,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2024-09-15,2024-2025,La Liga,Celta Vigo,Valladolid,Home,3,1,W,Javi Rodríguez,Y,CB,88,0,0,0,0,1,0,2,0,0,1,1
2024-09-22,2024-2025,La Liga,Celta Vigo,Athletic Club,Away,1,3,L,Javi Rodríguez,Y,CB,90,0,0,0,0,0,0,0,0,0,2,0
2024-09-26,2024-2025,La Liga,Celta Vigo,Atlético Madrid,Home,0,1,L,Javi Rodríguez,N,,21,0,0,1,0,1,0,1,0,1,0,1
2024-09-29,2024-2025,La Liga,Celta Vigo,Girona,Home,1,1,D,Javi Rodríguez,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2024-10-05,2024-2025,La Liga,Celta Vigo,Las Palmas,Away,1,0,W,Javi Rodríguez,N,,30,0,0,0,0,0,0,0,0,0,0,1
2024-10-19,2024-2025,La Liga,Celta Vigo,Real Madrid,Home,1,2,L,Javi Rodríguez,N,,19,0,0,0,0,0,0,0,0,0,1,0
2024-10-27,2024-2025,La Liga,Celta Vigo,Leganés,Away,0,3,L,Javi Rodríguez,N,,11,0,0,0,0,0,0,0,0,0,0,0
2024-11-04,2024-2025,La Liga,Celta Vigo,Getafe,Home,1,0,W,Javi Rodríguez,N,,45,0,0,1,0,0,0,2,0,0,0,0
2024-11-10,2024-2025,La Liga,Celta Vigo,Real Betis,Away,2,2,D,Javi Rodríguez,Y,CB,90,1,0,1,1,0,0,0,0,0,0,1
2024-11-23,2024-2025,La Liga,Celta Vigo,Barcelona,Home,2,2,D,Javi Rodríguez,Y,RB,90,0,1,0,0,1,0,2,0,0,4,3
2024-11-30,2024-2025,La Liga,Celta Vigo,Espanyol,Away,1,3,L,Javi Rodríguez,Y,CB,90,0,0,1,0,0,0,0,0,0,0,2
2024-12-06,2024-2025,La Liga,Celta Vigo,Mallorca,Home,2,0,W,Javi Rodríguez,Y,CB,90,0,0,0,0,1,0,2,0,0,2,2
2024-12-14,2024-2025,La Liga,Celta Vigo,Sevilla,Away,0,1,L,Javi Rodríguez,Y,CB,90,0,0,0,0,0,0,1,0,0,2,5
2024-12-21,2024-2025,La Liga,Celta Vigo,Real Sociedad,Home,2,0,W,Javi Rodríguez,Y,CB,90,0,1,0,0,1,0,2,0,0,2,3
2025-01-19,2024-2025,La Liga,Celta Vigo,Athletic Club,Home,1,2,L,Javi Rodríguez,Y,CB,69,0,0,0,0,0,0,1,0,0,3,0
2025-01-27,2024-2025,La Liga,Celta Vigo,Alavés,Away,1,1,D,Javi Rodríguez,N,,45,0,0,0,0,0,0,0,0,0,3,1
2025-02-02,2024-2025,La Liga,Celta Vigo,Valencia,Away,1,2,L,Javi Rodríguez,Y,CB,90,0,0,0,0,0,0,1,0,0,2,2
2025-02-08,2024-2025,La Liga,Celta Vigo,Real Betis,Home,3,2,W,Javi Rodríguez,Y,CB,90,1,0,2,2,0,0,1,0,0,4,3
2025-02-15,2024-2025,La Liga,Celta Vigo,Atlético Madrid,Away,1,1,D,Javi Rodríguez,Y,CB,45,0,0,0,0,0,0,1,0,0,0,0
2025-02-21,2024-2025,La Liga,Celta Vigo,Osasuna,Home,1,0,W,Javi Rodríguez,Y,CB,90,0,0,0,0,0,0,2,0,0,0,1
2025-03-01,2024-2025,La Liga,Celta Vigo,Girona,Away,2,2,D,Javi Rodríguez,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2025-03-08,2024-2025,La Liga,Celta Vigo,Leganés,Home,2,1,W,Javi Rodríguez,N,,15,0,0,0,0,0,0,0,0,0,2,0
2025-03-15,2024-2025,La Liga,Celta Vigo,Valladolid,Away,1,0,W,Javi Rodríguez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2025-03-31,2024-2025,La Liga,Celta Vigo,Las Palmas,Home,1,1,D,Javi Rodríguez,Y,CB,85,0,0,1,0,1,0,5,0,0,3,1
2025-04-05,2024-2025,La Liga,Celta Vigo,Mallorca,Away,2,1,W,Javi Rodríguez,Y,RB,90,0,0,1,0,0,0,1,0,0,0,1
2025-04-12,2024-2025,La Liga,Celta Vigo,Espanyol,Home,0,2,L,Javi Rodríguez,Y,RB,61,0,0,0,0,1,0,2,0,1,0,0
2025-04-19,2024-2025,La Liga,Celta Vigo,Barcelona,Away,3,4,L,Javi Rodríguez,Y,RB,90,0,0,0,0,0,0,1,0,0,0,1
2025-04-23,2024-2025,La Liga,Celta Vigo,Villarreal,Home,3,0,W,Javi Rodríguez,N,,16,0,0,0,0,0,0,1,0,0,0,0
2025-05-04,2024-2025,La Liga,Celta Vigo,Real Madrid,Away,2,3,L,Javi Rodríguez,Y,CB,90,1,0,1,1,0,0,3,0,0,1,0
2025-05-10,2024-2025,La Liga,Celta Vigo,Sevilla,Home,3,2,W,Javi Rodríguez,N,,45,0,0,0,0,0,0,0,0,1,1,0
2025-05-13,2024-2025,La Liga,Celta Vigo,Real Sociedad,Away,1,0,W,Javi Rodríguez,Y,CB,90,0,0,0,0,0,0,2,0,0,1,1
2025-05-18,2024-2025,La Liga,Celta Vigo,Rayo Vallecano,Home,1,2,L,Javi Rodríguez,Y,CB,90,0,0,1,1,0,0,0,0,0,1,0
2025-05-24,2024-2025,La Liga,Celta Vigo,Getafe,Away,2,1,W,Javi Rodríguez,Y,CB,90,0,0,1,0,0,0,1,0,0,1,0
