Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-11-11,2018-2019,La Liga,Real Madrid,Celta Vigo,Away,4,2,W,Javi Sánchez,N,CB,46,0,0,0,0,1,0,2,0,0,0,0
2020-06-13,2019-2020,La Liga,Valladolid,Leganés,Away,2,1,W,Javi Sánchez,N,,3,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,2019-2020,La Liga,Valladolid,Atlético Madrid,Away,0,1,L,Javi Sánchez,Y,CB,82,0,0,0,0,0,0,1,0,0,2,1
2020-06-26,2019-2020,La Liga,Valladolid,Sevilla,Away,1,1,D,Javi Sánchez,Y,CB,90,0,0,0,0,1,0,2,0,0,0,1
2020-07-04,2019-2020,La Liga,Valladolid,Alavés,Home,1,0,W,Javi Sánchez,Y,CB,90,0,1,0,0,0,0,1,0,0,0,1
2020-07-07,2019-2020,La Liga,Valladolid,Valencia,Away,1,2,L,Javi Sánchez,N,,7,0,0,0,0,0,0,0,0,0,0,0
2020-07-11,2019-2020,La Liga,Valladolid,Barcelona,Home,0,1,L,Javi Sánchez,Y,CB,90,0,0,1,0,0,0,1,0,0,1,1
2020-07-16,2019-2020,La Liga,Valladolid,Eibar,Away,1,3,L,Javi Sánchez,Y,CB,90,0,0,1,0,0,0,2,0,0,1,1
2020-07-19,2019-2020,La Liga,Valladolid,Real Betis,Home,2,0,W,Javi Sánchez,Y,CB,45,0,0,1,0,0,0,0,0,0,0,0
2020-09-20,2020-2021,La Liga,Valladolid,Real Betis,Away,0,2,L,Javi Sánchez,N,,30,0,0,1,0,0,0,1,0,0,0,1
2020-09-27,2020-2021,La Liga,Valladolid,Celta Vigo,Home,1,1,D,Javi Sánchez,Y,CB,90,0,0,0,0,1,0,2,0,0,1,1
2020-09-30,2020-2021,La Liga,Valladolid,Real Madrid,Away,0,1,L,Javi Sánchez,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2020-10-03,2020-2021,La Liga,Valladolid,Eibar,Home,1,2,L,Javi Sánchez,Y,CB,90,0,0,0,0,0,0,0,0,0,2,1
2020-11-22,2020-2021,La Liga,Valladolid,Granada,Away,3,1,W,Javi Sánchez,N,,15,0,0,0,0,0,0,0,1,0,0,0
2020-11-27,2020-2021,La Liga,Valladolid,Levante,Home,1,1,D,Javi Sánchez,N,,3,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,2020-2021,La Liga,Valladolid,Atlético Madrid,Away,0,2,L,Javi Sánchez,Y,CB,80,0,0,0,0,1,0,1,0,0,2,2
2020-12-11,2020-2021,La Liga,Valladolid,Osasuna,Home,3,2,W,Javi Sánchez,N,,6,0,0,0,0,0,0,1,0,0,0,0
