Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2012-12-09,2012-2013,La Liga,Atlético Madrid,Dep La Coruña,Home,6,0,W,Javier Manquillo,N,,18,0,0,,,0,0,,,,,
2013-01-20,2012-2013,La Liga,Atlético Madrid,Levante,Home,2,0,W,Javier Manquillo,Y,,90,0,0,,,0,0,,,,,
2013-03-31,2012-2013,La Liga,Atlético Madrid,Valencia,Home,1,1,D,Javier Manquillo,Y,,90,0,0,,,0,0,,,,,
2013-09-21,2013-2014,La Liga,Atlético Madrid,Valladolid,Away,2,0,W,Javier Manquillo,Y,,90,0,0,,,0,0,,,,,
2014-01-26,2013-2014,La Liga,Atlético Madrid,Rayo Vallecano,Away,4,2,W,Javier Manquillo,Y,,90,0,0,,,1,0,,,,,
2014-02-08,2013-2014,La Liga,Atlético Madrid,Almería,Away,0,2,L,Javier Manquillo,Y,,90,0,0,,,0,0,,,,,
2014-08-17,2014-2015,Premier League,Liverpool,Southampton,Home,2,1,W,Javier Manquillo,Y,,90,0,0,0,0,1,0,1,0,2,3,4
2014-08-31,2014-2015,Premier League,Liverpool,Tottenham Hotspur,Away,3,0,W,Javier Manquillo,Y,,90,0,0,0,0,1,0,0,0,0,4,6
2014-09-13,2014-2015,Premier League,Liverpool,Aston Villa,Home,0,1,L,Javier Manquillo,Y,,90,0,0,0,0,0,0,0,1,7,5,1
2014-09-20,2014-2015,Premier League,Liverpool,West Ham United,Away,1,3,L,Javier Manquillo,Y,,21,0,0,0,0,0,0,0,0,0,1,0
2014-09-27,2014-2015,Premier League,Liverpool,Everton,Home,1,1,D,Javier Manquillo,Y,,90,0,0,0,0,0,0,0,0,2,1,2
2014-10-04,2014-2015,Premier League,Liverpool,West Brom,Home,2,1,W,Javier Manquillo,Y,,63,0,0,1,0,0,0,0,0,4,0,0
2014-10-25,2014-2015,Premier League,Liverpool,Hull City,Home,0,0,D,Javier Manquillo,Y,,90,0,0,0,0,0,0,0,0,2,3,1
2014-11-23,2014-2015,Premier League,Liverpool,Crystal Palace,Away,1,3,L,Javier Manquillo,Y,,90,0,0,1,0,1,0,1,0,1,1,2
2014-12-02,2014-2015,Premier League,Liverpool,Leicester City,Away,3,1,W,Javier Manquillo,Y,,45,0,0,0,0,0,0,0,0,3,0,4
2014-12-29,2014-2015,Premier League,Liverpool,Swansea City,Home,4,1,W,Javier Manquillo,Y,,90,0,0,0,0,0,0,0,1,2,3,2
2015-08-23,2015-2016,Ligue 1,Marseille,Troyes,Home,6,0,W,J. Manquillo,Y,RB,90,0,0,0,0,0,0,1,0,3,0,0
2015-08-28,2015-2016,Ligue 1,Marseille,Guingamp,Away,0,2,L,J. Manquillo,Y,RB,90,0,0,1,1,0,0,1,0,4,1,1
2015-09-13,2015-2016,Ligue 1,Marseille,Bastia,Home,4,1,W,J. Manquillo,Y,RB,90,0,0,0,0,0,0,1,1,3,0,5
2015-09-20,2015-2016,Ligue 1,Marseille,Lyon,Home,1,1,D,J. Manquillo,Y,RB,90,0,0,0,0,0,0,1,1,5,2,2
2015-09-27,2015-2016,Ligue 1,Marseille,Angers,Home,1,2,L,J. Manquillo,Y,RB,70,0,0,0,0,0,0,1,0,6,2,1
2015-10-04,2015-2016,Ligue 1,Marseille,Paris Saint-Germain,Away,1,2,L,J. Manquillo,Y,RB,90,0,0,0,0,0,0,1,0,4,0,0
2015-10-18,2015-2016,Ligue 1,Marseille,Lorient,Home,1,1,D,J. Manquillo,Y,RB,90,0,0,1,0,0,0,1,0,2,4,1
2015-10-25,2015-2016,Ligue 1,Marseille,Lille,Away,2,1,W,J. Manquillo,Y,RB,90,0,0,0,0,0,0,0,0,3,5,4
2015-11-01,2015-2016,Ligue 1,Marseille,Nantes,Away,1,0,W,J. Manquillo,Y,RB,90,0,0,0,0,0,0,2,0,1,1,3
2015-11-08,2015-2016,Ligue 1,Marseille,Nice,Home,0,1,L,J. Manquillo,Y,RB,79,0,0,0,0,0,0,1,2,4,2,2
2015-11-22,2015-2016,Ligue 1,Marseille,Saint-Étienne,Away,2,0,W,J. Manquillo,Y,RB,90,0,0,0,0,0,0,1,0,0,5,8
2015-12-06,2015-2016,Ligue 1,Marseille,Montpellier,Home,2,2,D,J. Manquillo,Y,LB,45,0,0,0,0,0,0,0,0,0,1,2
2015-12-20,2015-2016,Ligue 1,Marseille,Bordeaux,Away,1,1,D,J. Manquillo,Y,RB,90,0,0,0,0,0,0,1,0,2,3,0
2016-01-10,2015-2016,Ligue 1,Marseille,Guingamp,Home,0,0,D,J. Manquillo,Y,RB,90,0,0,1,1,0,0,2,0,0,1,1
2016-01-17,2015-2016,Ligue 1,Marseille,Caen,Away,3,1,W,J. Manquillo,Y,LB,90,0,0,0,0,0,0,1,0,0,3,2
2016-01-24,2015-2016,Ligue 1,Marseille,Lyon,Away,1,1,D,J. Manquillo,Y,LB,90,0,0,0,0,0,0,4,1,0,1,1
2016-01-29,2015-2016,Ligue 1,Marseille,Lille,Home,1,1,D,J. Manquillo,Y,LB,45,0,0,1,0,0,0,1,0,0,3,2
2016-02-02,2015-2016,Ligue 1,Marseille,Montpellier,Away,1,0,W,J. Manquillo,Y,LB,90,0,0,0,0,0,0,1,0,0,4,5
2016-02-07,2015-2016,Ligue 1,Marseille,Paris Saint-Germain,Home,1,2,L,J. Manquillo,Y,LB,90,0,0,0,0,0,0,1,0,0,2,3
2016-02-14,2015-2016,Ligue 1,Marseille,Nice,Away,1,1,D,J. Manquillo,Y,LB,90,0,0,1,0,0,0,0,0,0,2,5
2016-02-21,2015-2016,Ligue 1,Marseille,Saint-Étienne,Home,1,1,D,J. Manquillo,Y,LB,90,0,0,0,0,0,0,1,3,0,2,2
2016-03-06,2015-2016,Ligue 1,Marseille,Toulouse,Home,1,1,D,J. Manquillo,Y,RB,90,0,0,0,0,0,0,3,0,0,5,1
