Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-12-01,2024-2025,La Liga,Real Betis,Real Sociedad,Away,0,2,L,Jesus Rodríguez,Y,AM,82,0,0,1,1,0,0,0,0,1,1,2
2024-12-07,2024-2025,La Liga,Real Betis,Barcelona,Home,2,2,D,Jesus Rodríguez,N,,5,0,0,0,0,0,0,0,0,0,1,0
2025-01-11,2024-2025,La Liga,Real Betis,Valladolid,Away,0,1,L,Jesus Rodríguez,N,,18,0,0,1,1,0,0,0,0,5,0,0
2025-01-18,2024-2025,La Liga,Real Betis,Alavés,Home,1,3,L,Jesus Rodríguez,Y,AM,70,1,0,1,1,0,0,2,0,0,1,0
2025-01-25,2024-2025,La Liga,Real Betis,Mallorca,Away,1,0,W,Jesus Rodríguez,Y,AM,73,0,0,0,0,0,0,0,0,2,2,1
2025-02-02,2024-2025,La Liga,Real Betis,Athletic Club,Home,2,2,D,Jesus Rodríguez,Y,AM,81,0,0,2,1,0,0,0,0,2,2,1
2025-02-08,2024-2025,La Liga,Real Betis,Celta Vigo,Away,2,3,L,Jesus Rodríguez,Y,AM,71,0,0,3,0,0,0,0,0,2,1,1
2025-02-16,2024-2025,La Liga,Real Betis,Real Sociedad,Home,3,0,W,Jesus Rodríguez,Y,AM,73,0,0,4,0,0,0,1,0,0,0,0
2025-02-23,2024-2025,La Liga,Real Betis,Getafe,Away,2,1,W,Jesus Rodríguez,Y,AM,69,0,0,1,1,0,0,4,0,0,0,0
2025-03-01,2024-2025,La Liga,Real Betis,Real Madrid,Home,2,1,W,Jesus Rodríguez,Y,AM,70,0,0,1,0,0,0,1,0,1,1,2
2025-03-09,2024-2025,La Liga,Real Betis,Las Palmas,Home,1,0,W,Jesus Rodríguez,Y,AM,61,0,0,2,1,0,0,1,0,1,0,0
2025-03-16,2024-2025,La Liga,Real Betis,Leganés,Away,3,2,W,Jesus Rodríguez,N,,29,0,0,1,1,0,0,0,0,0,1,0
2025-03-30,2024-2025,La Liga,Real Betis,Sevilla,Home,2,1,W,Jesus Rodríguez,Y,AM,65,0,0,2,0,0,0,1,1,0,0,1
2025-04-05,2024-2025,La Liga,Real Betis,Barcelona,Away,1,1,D,Jesus Rodríguez,N,,16,0,0,0,0,0,0,0,1,0,2,0
2025-04-13,2024-2025,La Liga,Real Betis,Villarreal,Home,1,2,L,Jesus Rodríguez,Y,AM,60,0,0,2,0,0,0,0,0,0,0,0
2025-04-21,2024-2025,La Liga,Real Betis,Girona,Away,3,1,W,Jesus Rodríguez,N,,13,0,0,0,0,0,0,0,0,0,0,0
2025-04-24,2024-2025,La Liga,Real Betis,Valladolid,Home,5,1,W,Jesus Rodríguez,Y,AM,60,1,0,1,1,0,0,0,0,1,0,0
2025-05-04,2024-2025,La Liga,Real Betis,Espanyol,Away,2,1,W,Jesus Rodríguez,Y,AM,59,0,0,0,0,0,0,3,0,2,1,0
2025-05-11,2024-2025,La Liga,Real Betis,Osasuna,Home,1,1,D,Jesus Rodríguez,Y,AM,55,0,0,0,0,0,0,2,0,1,0,0
2025-05-15,2024-2025,La Liga,Real Betis,Rayo Vallecano,Away,2,2,D,Jesus Rodríguez,N,,22,0,0,0,0,0,0,2,0,0,0,0
2025-05-23,2024-2025,La Liga,Real Betis,Valencia,Home,1,1,D,Jesus Rodríguez,Y,AM,59,0,0,1,0,0,0,0,0,1,0,0
