Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-08-27,2021-2022,La Liga,Valencia,Alavés,Home,3,0,W,Jesús Vázquez,N,,1,0,0,0,0,0,0,1,0,0,0,0
2021-09-25,2021-09-25,La Liga,Valencia,Athletic Club,Home,1,1,D,Jesús Vázquez,N,,21,0,0,0,0,0,0,1,0,1,0,0
2021-10-27,2021-2022,La Liga,Valencia,Real Betis,Away,1,4,L,Jesús Vázquez,Y,LM,59,0,0,2,1,0,0,1,0,0,0,0
2021-12-31,2021-2022,La Liga,Valencia,Espanyol,Home,1,2,L,Jesús Vázquez,Y,LB,66,0,0,0,0,0,0,0,0,2,0,2
2022-01-22,2021-2022,La Liga,Valencia,Atlético Madrid,Away,2,3,L,Jesús Vázquez,N,,19,0,0,0,0,0,0,1,0,0,1,0
2022-03-05,2021-2022,La Liga,Valencia,Granada,Home,3,1,W,Jesús Vázquez,N,,86,0,0,0,0,0,0,0,0,3,2,0
2022-03-12,2021-2022,La Liga,Valencia,Getafe,Away,0,0,D,Jesús Vázquez,Y,DM,89,0,0,0,0,0,0,2,0,4,1,1
2022-03-19,2021-2022,La Liga,Valencia,Elche,Away,1,0,W,Jesús Vázquez,Y,LB,90,0,0,0,0,0,0,1,0,3,3,0
2022-04-03,2021-2022,La Liga,Valencia,Cádiz,Home,0,0,D,Jesús Vázquez,Y,DM,85,0,0,0,0,0,0,0,0,4,0,4
2022-04-11,2021-2022,La Liga,Valencia,Rayo Vallecano,Away,1,1,D,Jesús Vázquez,N,,10,0,0,0,0,0,0,0,0,0,0,0
2022-04-16,2021-2022,La Liga,Valencia,Osasuna,Home,1,2,L,Jesús Vázquez,N,,8,0,0,0,0,0,0,0,0,1,0,0
2022-04-19,2021-2022,La Liga,Valencia,Villarreal,Away,0,2,L,Jesús Vázquez,Y,LM,54,0,0,0,0,0,0,1,0,0,1,1
2022-04-30,2021-2022,La Liga,Valencia,Levante,Home,1,1,D,Jesús Vázquez,N,,45,0,0,1,0,0,0,1,0,1,0,0
2022-05-07,2021-2022,La Liga,Valencia,Athletic Club,Away,0,0,D,Jesús Vázquez,Y,LB,90,0,0,0,0,0,0,2,0,2,2,0
2022-05-10,2021-2022,La Liga,Valencia,Real Betis,Home,0,3,L,Jesús Vázquez,Y,LB,90,0,0,1,0,0,0,3,0,3,2,1
2022-08-14,2022-2023,La Liga,Valencia,Girona,Home,1,0,W,Jesus Vazquez,Y,LB,72,0,0,2,0,1,0,1,0,3,0,0
2022-08-21,2022-2023,La Liga,Valencia,Athletic Club,Away,0,1,L,Jesus Vazquez,Y,LB,61,0,0,0,0,0,0,2,0,2,2,0
2022-10-15,2022-2023,La Liga,Valencia,Elche,Home,2,2,D,Jesus Vazquez,N,,4,0,0,1,0,0,0,0,0,0,0,0
2022-10-29,2022-2023,La Liga,Valencia,Barcelona,Home,0,1,L,Jesus Vazquez,N,,11,0,0,0,0,0,0,0,0,0,2,0
2023-01-29,2022-2023,La Liga,Valencia,Valladolid,Away,0,1,L,Jesus Vazquez,N,,15,0,0,0,0,0,0,0,0,1,0,0
2023-02-05,2022-2023,La Liga,Valencia,Girona,Away,0,1,L,Jesus Vazquez,N,,8,0,0,0,0,0,0,0,0,0,0,0
2023-02-25,2022-2023,La Liga,Valencia,Real Sociedad,Home,1,0,W,Jesus Vazquez,N,,14,0,0,1,1,0,0,1,0,0,1,0
2023-03-05,2022-2023,La Liga,Valencia,Barcelona,Away,0,1,L,Jesus Vazquez,Y,LB,90,0,0,2,0,0,0,0,3,4,3,1
2023-04-16,2022-2023,La Liga,Valencia,Sevilla,Home,0,2,L,Jesus Vazquez,N,,22,0,0,0,0,0,0,0,0,1,0,0
2023-06-04,2022-2023,La Liga,Valencia,Real Betis,Away,1,1,D,Jesus Vazquez,N,,13,0,0,0,0,0,0,1,1,0,0,0
2023-08-11,2023-2024,La Liga,Valencia,Sevilla,Away,2,1,W,Jesús Vázquez,N,,4,0,0,0,0,0,0,0,0,0,1,0
2023-08-18,2023-2024,La Liga,Valencia,Las Palmas,Home,1,0,W,Jesús Vázquez,N,,21,0,0,0,0,0,0,0,0,1,0,0
2023-12-02,2023-2024,La Liga,Valencia,Girona,Away,1,2,L,Jesús Vázquez,N,,2,0,0,0,0,0,0,0,0,0,0,0
2023-12-08,2023-2024,La Liga,Valencia,Getafe,Away,0,1,L,Jesús Vázquez,N,,9,0,0,0,0,0,0,0,0,0,0,0
2023-12-16,2023-2024,La Liga,Valencia,Barcelona,Home,1,1,D,Jesús Vázquez,Y,LB,80,0,0,0,0,0,0,0,0,3,0,0
2023-12-19,2023-2024,La Liga,Valencia,Rayo Vallecano,Away,1,0,W,Jesús Vázquez,Y,LB,70,0,0,0,0,1,0,1,0,1,0,0
2024-01-02,2023-2024,La Liga,Valencia,Villarreal,Home,3,1,W,Jesús Vázquez,N,,13,0,0,1,0,0,0,0,0,0,1,0
2024-01-14,2023-2024,La Liga,Valencia,Cádiz,Away,4,1,W,Jesús Vázquez,N,,25,1,0,1,1,0,0,0,0,1,0,0
2024-01-20,2023-2024,La Liga,Valencia,Athletic Club,Home,1,0,W,Jesús Vázquez,N,,9,0,0,0,0,0,0,0,1,2,0,0
2024-01-28,2023-2024,La Liga,Valencia,Atlético Madrid,Away,0,2,L,Jesús Vázquez,N,,12,0,0,0,0,0,0,0,0,2,0,0
2024-02-03,2023-2024,La Liga,Valencia,Almería,Home,2,1,W,Jesús Vázquez,N,,21,0,0,1,0,0,0,2,0,0,0,0
2024-02-10,2023-2024,La Liga,Valencia,Las Palmas,Away,0,2,L,Jesús Vázquez,N,,17,0,0,1,0,0,0,1,0,1,0,0
2024-02-17,2023-2024,La Liga,Valencia,Sevilla,Home,0,0,D,Jesús Vázquez,N,,18,0,0,0,0,0,0,0,0,1,0,0
2024-03-17,2023-2024,La Liga,Valencia,Villarreal,Away,0,1,L,Jesús Vázquez,N,,20,0,0,0,0,0,0,1,0,1,0,0
2024-03-30,2023-2024,La Liga,Valencia,Mallorca,Home,0,0,D,Jesús Vázquez,N,,26,0,0,0,0,0,0,1,0,1,0,0
2024-04-04,2023-2024,La Liga,Valencia,Granada,Away,1,0,W,Jesús Vázquez,N,,34,0,0,1,0,0,0,0,0,0,0,0
2024-04-15,2023-2024,La Liga,Valencia,Osasuna,Away,1,0,W,Jesús Vázquez,Y,LB,90,0,0,1,1,0,0,0,0,0,1,0
2024-04-20,2023-2024,La Liga,Valencia,Real Betis,Home,1,2,L,Jesús Vázquez,Y,LB,90,0,0,1,0,0,0,1,0,2,3,0
2024-04-29,2023-2024,La Liga,Valencia,Barcelona,Away,2,4,L,Jesús Vázquez,Y,LB,90,0,0,0,0,0,0,0,0,0,2,0
2024-05-05,2023-2024,La Liga,Valencia,Alavés,Home,0,1,L,Jesús Vázquez,Y,LB,65,0,0,0,0,0,0,1,0,2,2,3
2024-08-17,2024-2025,La Liga,Valencia,Barcelona,Home,1,2,L,Jesus Vazquez,Y,LB,76,0,0,0,0,1,0,2,1,1,2,0
2024-08-23,2024-2025,La Liga,Valencia,Celta Vigo,Away,1,3,L,Jesus Vazquez,Y,LB,90,0,0,1,1,0,0,1,0,5,2,0
2024-08-28,2024-2025,La Liga,Valencia,Athletic Club,Away,0,1,L,Jesus Vazquez,Y,LB,88,0,0,1,0,0,0,0,0,1,5,0
2024-08-31,2024-2025,La Liga,Valencia,Villarreal,Home,1,1,D,Jesus Vazquez,Y,LB,69,0,0,0,0,0,0,2,0,4,0,0
2024-09-15,2024-2025,La Liga,Valencia,Atlético Madrid,Away,0,3,L,Jesus Vazquez,N,,20,0,0,0,0,0,0,0,0,0,0,0
2024-09-21,2024-2025,La Liga,Valencia,Girona,Home,2,0,W,Jesus Vazquez,Y,LB,90,0,0,0,0,0,0,3,0,2,1,2
2024-09-24,2024-2025,La Liga,Valencia,Osasuna,Home,0,0,D,Jesus Vazquez,Y,LB,90,0,0,1,0,1,0,1,0,1,1,2
2024-09-28,2024-2025,La Liga,Valencia,Real Sociedad,Away,0,3,L,Jesus Vazquez,Y,LB,36,0,0,0,0,0,0,0,0,0,2,1
2024-12-07,2024-2025,La Liga,Valencia,Rayo Vallecano,Home,0,1,L,Jesus Vazquez,N,,45,0,0,0,0,0,0,0,0,3,0,0
2024-12-13,2024-2025,La Liga,Valencia,Valladolid,Away,0,1,L,Jesus Vazquez,Y,LB,45,0,0,0,0,1,0,3,0,3,0,0
2025-01-03,2024-2025,La Liga,Valencia,Real Madrid,Home,1,2,L,Jesus Vazquez,N,,3,0,0,0,0,0,0,1,0,0,0,0
2025-01-11,2024-2025,La Liga,Valencia,Sevilla,Away,1,1,D,Jesus Vazquez,N,,1,0,0,0,0,0,0,0,0,0,0,0
2025-01-26,2024-2025,La Liga,Valencia,Barcelona,Away,1,7,L,Jesus Vazquez,N,,31,0,0,0,0,0,0,1,0,0,0,0
2025-03-30,2024-2025,La Liga,Valencia,Mallorca,Home,1,0,W,Jesus Vazquez,N,,1,0,0,0,0,0,0,0,0,0,0,0
2025-04-05,2024-2025,La Liga,Valencia,Real Madrid,Away,2,1,W,Jesus Vazquez,Y,LB,90,0,0,1,0,0,0,1,0,0,1,1
