Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-09-26,2021-2022,La Liga,Osasuna,Mallorca,Away,3,2,Win,Jesús Areso,Yes,RB,82,0,0,0,0,0,0,1,0,1,2,0
2021-10-30,2021-2022,La Liga,Osasuna,Sevilla,Away,0,2,Loss,Jesús Areso,Yes,RB,90,0,0,0,0,1,0,2,3,0,1,0
2022-05-22,2021-2022,La Liga,Osasuna,Mallorca,Home,0,2,Loss,Jesús Areso,No,N/A,16,0,0,0,0,0,0,0,1,0,1,0
2023-08-13,2023-2024,La Liga,Osasuna,Celta Vigo,Away,2,0,Win,Jesús Areso,No,N/A,12,0,0,0,0,0,0,0,0,0,0,0
2023-08-27,2023-2024,La Liga,Osasuna,Valencia,Away,2,1,Win,Jesús Areso,Yes,RB,76,0,0,0,0,0,0,0,0,0,2,1
2023-09-03,2023-2024,La Liga,Osasuna,Barcelona,Home,1,2,Loss,Jesús Areso,Yes,RB,79,0,1,0,0,1,0,1,0,0,5,1
2023-09-17,2023-2024,La Liga,Osasuna,Getafe,Away,2,3,Loss,Jesús Areso,No,N/A,3,0,0,0,0,0,0,0,0,1,0,0
2023-09-23,2023-2024,La Liga,Osasuna,Sevilla,Home,0,0,Draw,Jesús Areso,No,N/A,6,0,0,0,0,0,0,0,0,0,2,0
2023-09-28,2023-2024,La Liga,Osasuna,Atlético Madrid,Home,0,2,Loss,Jesús Areso,Yes,RB,90,0,0,0,0,0,0,1,0,0,7,0
2023-10-01,2023-2024,La Liga,Osasuna,Alavés,Away,2,0,Win,Jesús Areso,No,N/A,23,0,0,0,0,0,0,0,0,0,1,0
2023-10-07,2023-2024,La Liga,Osasuna,Real Madrid,Away,0,4,Loss,Jesús Areso,Yes,RB,90,0,0,1,0,0,0,1,0,0,3,1
