Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-01-02,2021-2022,La Liga,Alavés,Real Sociedad,Home,1,1,D,Jesús Owono,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-05-10,2023-2024,La Liga,Alavés,Girona,Home,2,2,D,Jesús Owono,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2024-05-14,2023-2024,La Liga,Alavés,Real Madrid,Away,0,5,L,Jesús Owono,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-05-18,2023-2024,La Liga,Alavés,Getafe,Home,1,0,W,Jesús Owono,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-05-26,2023-2024,La Liga,Alavés,Las Palmas,Away,1,1,D,Jesús Owono,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-12-22,2024-2025,La Liga,Alavés,Valencia,Away,2,2,D,Jesús Owono,N,,37,0,0,0,0,0,0,1,0,0,0,0
2025-01-11,2024-2025,La Liga,Alavés,Girona,Home,0,1,L,Jesús Owono,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2025-01-18,2024-2025,La Liga,Alavés,Real Betis,Away,3,1,W,Jesús Owono,Y,GK,90,0,0,0,0,0,0,0,0,0,1,0
2025-01-27,2024-2025,La Liga,Alavés,Celta Vigo,Home,1,1,D,Jesús Owono,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2025-02-02,2024-2025,La Liga,Alavés,Barcelona,Away,0,1,L,Jesús Owono,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2025-04-13,2024-2025,La Liga,Alavés,Real Madrid,Home,0,1,L,Jesús Owono,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
