Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-08-27,2016-2017,Bundesliga,Frankfurt,Schalke 04,Home,1,0,W,Jesús Vallejo,N,CB,10,0,0,0,0,0,0,0,0,0,0,0
2016-09-10,2016-2017,Bundesliga,Frankfurt,Darmstadt 98,Away,0,1,L,Jesús Vallejo,N,CB,84,0,0,1,0,0,0,0,0,0,2,1
2016-09-17,2016-2017,Bundesliga,Frankfurt,Leverkusen,Home,2,1,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2016-09-20,2016-2017,Bundesliga,Frankfurt,Ingolstadt,Away,2,0,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2016-09-24,2016-2017,Bundesliga,Frankfurt,Hertha BSC,Home,3,3,D,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,1,4
2016-10-01,2016-2017,Bundesliga,Frankfurt,Freiburg,Away,0,1,L,Jesús Vallejo,Y,CB,90,0,0,1,0,1,0,1,0,0,0,6
2016-10-15,2016-2017,Bundesliga,Frankfurt,Bayern Munich,Home,2,2,D,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,0,0,1,2
2016-10-21,2016-2017,Bundesliga,Frankfurt,Hamburger SV,Away,3,0,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,2,0,0,0,2
2016-10-28,2016-2017,Bundesliga,Frankfurt,Gladbach,Away,0,0,D,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,0,0,0,6
2016-11-05,2016-2017,Bundesliga,Frankfurt,Köln,Home,1,0,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,2,0,0,1,4
2016-11-20,2016-2017,Bundesliga,Frankfurt,Werder Bremen,Away,2,1,W,Jesús Vallejo,Y,CB,90,0,0,1,0,1,0,2,0,0,1,3
2016-11-26,2016-2017,Bundesliga,Frankfurt,Dortmund,Home,2,1,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,0,0,2,6
2016-12-04,2016-2017,Bundesliga,Frankfurt,Augsburg,Away,1,1,D,Jesús Vallejo,Y,CB,90,0,0,0,0,1,0,1,0,0,1,1
2016-12-09,2016-2017,Bundesliga,Frankfurt,Hoffenheim,Home,0,0,D,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,0,0,0,4
2016-12-17,2016-2017,Bundesliga,Frankfurt,Wolfsburg,Away,0,1,L,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,1,4
2016-12-20,2016-2017,Bundesliga,Frankfurt,Mainz 05,Home,3,0,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,0,0,2,2
2017-01-21,2016-2017,Bundesliga,Frankfurt,RB Leipzig,Away,0,3,L,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,1,5
2017-01-27,2016-2017,Bundesliga,Frankfurt,Schalke 04,Away,1,0,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,0,0,3,1
2017-02-05,2016-2017,Bundesliga,Frankfurt,Darmstadt 98,Home,2,0,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,1,3
2017-02-11,2016-2017,Bundesliga,Frankfurt,Leverkusen,Away,0,3,L,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,0,0,1,3
2017-02-18,2016-2017,Bundesliga,Frankfurt,Ingolstadt,Home,0,2,L,Jesús Vallejo,Y,CB,44,0,0,0,0,0,0,1,0,0,0,0
2017-04-01,2016-2017,Bundesliga,Frankfurt,Gladbach,Home,0,0,D,Jesús Vallejo,Y,CB,90,0,0,1,0,1,0,1,0,0,0,0
2017-04-04,2016-2017,Bundesliga,Frankfurt,Köln,Away,0,1,L,Jesús Vallejo,Y,CB,90,0,0,1,0,0,0,1,0,1,1,6
2017-04-15,2016-2017,Bundesliga,Frankfurt,Dortmund,Away,1,3,L,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,2,0,0,1,3
2017-05-20,2016-2017,Bundesliga,Frankfurt,RB Leipzig,Home,2,2,D,Jesús Vallejo,N,CB,29,1,0,1,1,0,0,0,0,0,2,1
2017-11-05,2017-2018,La Liga,Real Madrid,Las Palmas,Home,3,0,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,0,0,1,3
2017-11-25,2017-2018,La Liga,Real Madrid,Málaga,Home,3,2,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,1,3
2017-12-09,2017-2018,La Liga,Real Madrid,Sevilla,Home,5,0,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,1,0,1,4
2018-03-31,2017-2018,La Liga,Real Madrid,Las Palmas,Away,3,0,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,2,1
2018-04-15,2017-2018,La Liga,Real Madrid,Málaga,Away,2,1,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2018-04-28,2017-2018,La Liga,Real Madrid,Leganés,Home,2,1,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,0,2
2018-05-09,2017-2018,La Liga,Real Madrid,Sevilla,Away,2,3,L,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,1,1,1
2019-03-10,2018-2019,La Liga,Real Madrid,Valladolid,Away,4,1,W,Jesús Vallejo,N,CB,3,0,0,0,0,0,0,0,0,0,0,0
2019-04-21,2018-2019,La Liga,Real Madrid,Athletic Club,Home,3,0,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,0,0,1,3
2019-04-28,2018-2019,La Liga,Real Madrid,Rayo Vallecano,Away,0,1,L,Jesús Vallejo,Y,CB,90,0,0,0,0,1,0,1,0,0,3,2
2019-05-05,2018-2019,La Liga,Real Madrid,Villarreal,Home,3,2,W,Jesús Vallejo,Y,CB,90,1,0,1,1,0,0,0,0,0,1,1
2019-05-12,2018-2019,La Liga,Real Madrid,Real Sociedad,Away,1,3,L,Jesús Vallejo,Y,CB,38,0,0,0,0,0,1,1,0,0,0,1
2019-09-14,2019-2020,Premier League,Wolves,Chelsea,Home,2,5,L,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,0,0,0,1
2019-10-19,2019-2020,Premier League,Wolves,Southampton,Home,1,1,D,Jesús Vallejo,N,,73,0,0,0,0,1,0,1,0,0,1,0
2020-09-20,2020-2021,La Liga,Granada,Alavés,Home,2,1,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,2,0,0,2,1
2020-09-27,2020-2021,La Liga,Granada,Atlético Madrid,Away,1,6,L,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,2020-2021,La Liga,Granada,Cádiz,Away,1,1,D,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,1,0,0,0,1
2020-10-17,2020-2021,La Liga,Granada,Sevilla,Home,1,0,W,Jesús Vallejo,N,CB,47,0,0,0,0,0,0,0,0,0,1,0
2020-10-25,2020-2021,La Liga,Granada,Getafe,Away,1,0,W,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,2020-2021,La Liga,Granada,Levante,Home,1,1,D,Jesús Vallejo,Y,RB,90,0,0,0,0,0,0,0,0,1,0,0
2020-11-29,2020-2021,La Liga,Granada,Celta Vigo,Away,1,3,L,Jesús Vallejo,Y,CB,81,0,0,0,0,0,0,1,0,0,0,1
2020-12-23,2020-2021,La Liga,Granada,Real Madrid,Away,0,2,L,Jesús Vallejo,Y,CB,83,0,0,1,0,0,0,0,0,0,0,1
2020-12-30,2020-2021,La Liga,Granada,Valencia,Home,2,1,W,Jesús Vallejo,N,CB,2,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,2020-2021,La Liga,Granada,Eibar,Away,0,2,L,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2021-01-09,2020-2021,La Liga,Granada,Barcelona,Home,0,4,L,Jesús Vallejo,N,CB,32,0,0,0,0,0,1,2,0,0,0,0
2021-01-20,2020-2021,La Liga,Granada,Villarreal,Away,2,2,D,Jesús Vallejo,N,CB,1,0,0,0,0,0,0,0,0,0,0,0
2021-01-24,2020-2021,La Liga,Granada,Osasuna,Away,1,3,L,Jesús Vallejo,Y,DM,45,0,0,0,0,1,0,1,0,0,0,0
2021-01-31,2020-2021,La Liga,Granada,Celta Vigo,Home,0,0,D,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2021-02-06,2020-2021,La Liga,Granada,Levante,Away,2,2,D,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,0,1,1,0,1
2021-02-13,2020-2021,La Liga,Granada,Atlético Madrid,Home,1,2,L,Jesús Vallejo,Y,CB,90,0,0,0,0,0,0,2,1,0,2,1
2021-02-28,2020-2021,La Liga,Granada,Elche,Home,2,1,W,Jesús Vallejo,N,CB,2,0,0,0,0,0,0,0,0,0,0,2
