Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2014-08-30,2014-2015,La Liga,Espanyol,Sevilla,Home,1,2,L,Joan Jordán,N,,20,0,0,0,0,0,0,,,,,
2014-11-02,2014-2015,La Liga,Espanyol,Elche,Away,1,2,L,Joan Jordán,N,,32,0,0,0,0,0,0,,,,,
2015-01-10,2014-2015,La Liga,Espanyol,Real Madrid,Away,0,3,L,Joan Jordán,Y,,67,0,0,0,0,0,0,,,,,
2015-09-12,2015-2016,La Liga,Espanyol,Real Madrid,Home,0,6,Loss,Joan Jordán,N,,26,0,0,1,0,0,0,1,0,0,0,0
2015-12-30,2015-2016,La Liga,Espanyol,Sevilla,Away,0,2,Loss,Joan Jordán,N,,45,0,0,3,0,1,0,1,0,0,3,2
2016-01-02,2015-2016,La Liga,Espanyol,Barcelona,Home,0,0,Draw,Joan Jordán,Y,DM,78,0,0,0,0,1,0,3,0,3,1,0
2016-01-10,2015-2016,La Liga,Espanyol,Eibar,Away,1,2,Loss,Joan Jordán,Y,DM,90,1,0,2,2,0,0,2,0,0,5,2
2016-01-17,2015-2016,La Liga,Espanyol,Getafe,Away,1,3,Loss,Joan Jordán,N,,39,0,0,0,0,0,0,1,0,0,1,0
2016-01-23,2015-2016,La Liga,Espanyol,Villarreal,Home,2,2,Draw,Joan Jordán,Y,DM,90,0,0,0,0,1,0,1,0,0,0,6
2016-01-31,2015-2016,La Liga,Espanyol,Real Madrid,Away,0,6,Loss,Joan Jordán,Y,AM,90,0,0,2,1,0,0,1,1,3,3,2
2016-02-08,2015-2016,La Liga,Espanyol,Real Sociedad,Home,0,5,Loss,Joan Jordán,Y,DM,90,0,0,0,0,0,0,1,0,0,2,1
