Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-12-31,2021-2022,La Liga,Espanyol,Valencia,Away,2,1,W,Jofre,N,FW,10,0,1,0,0,0,0,0,2,0,2,0
2022-01-10,2021-2022,La Liga,Espanyol,Elche,Home,1,2,L,Jofre,N,FW,6,0,0,0,0,0,0,0,2,0,1,1
2022-05-14,2021-2022,La Liga,Espanyol,Valencia,Home,1,1,D,Jofre,N,FW,4,0,0,0,0,0,0,0,0,0,0,0
2024-08-19,2024-2025,La Liga,Espanyol,Valladolid,Away,0,1,L,Jofre,N,RM,21,0,0,0,0,0,0,0,3,0,2,1
2024-08-24,2024-2025,La Liga,Espanyol,Real Sociedad,Home,0,1,L,Jofre,Y,RM,82,0,0,3,1,0,0,2,2,0,1,1
2024-08-28,2024-2025,La Liga,Espanyol,Atlético Madrid,Away,0,0,D,Jofre,N,RM,4,0,0,0,0,0,0,0,0,0,0,0
2024-08-31,2024-2025,La Liga,Espanyol,Rayo Vallecano,Home,2,1,W,Jofre,Y,RM,64,0,1,0,0,0,0,0,0,0,2,0
2024-09-14,2024-2025,La Liga,Espanyol,Alavés,Home,3,2,W,Jofre,Y,LM,74,0,0,0,0,0,0,1,1,0,3,0
2024-09-21,2024-2025,La Liga,Espanyol,Real Madrid,Away,1,4,L,Jofre,Y,CM,75,0,0,3,1,0,0,0,0,2,0,0
2024-09-26,2024-2025,La Liga,Espanyol,Villarreal,Home,1,2,L,Jofre,Y,LM,79,1,0,2,1,1,0,2,1,0,0,0
2024-09-29,2024-2025,La Liga,Espanyol,Real Betis,Away,0,1,L,Jofre,Y,RM,67,0,0,1,0,1,0,1,0,0,1,0
2024-10-05,2024-2025,La Liga,Espanyol,Mallorca,Home,2,1,W,Jofre,Y,AM,83,1,1,2,1,0,0,2,5,0,2,1
2024-10-19,2024-2025,La Liga,Espanyol,Athletic Club,Away,1,4,L,Jofre,Y,AM,62,0,0,2,0,0,0,2,3,0,1,2
2024-10-25,2024-2025,La Liga,Espanyol,Sevilla,Home,0,2,L,Jofre,Y,LM,67,0,0,0,0,0,0,0,3,0,0,0
2024-11-03,2024-2025,La Liga,Espanyol,Barcelona,Away,1,3,L,Jofre,Y,LW,90,0,0,1,1,1,0,1,4,1,1,3
2024-11-23,2024-2025,La Liga,Espanyol,Girona,Away,1,4,L,Jofre,Y,RM,90,0,1,1,1,1,0,2,1,0,1,2
2024-11-30,2024-2025,La Liga,Espanyol,Celta Vigo,Home,3,1,W,Jofre,Y,RW,83,0,0,4,1,1,0,2,1,1,2,0
2024-12-09,2024-2025,La Liga,Espanyol,Getafe,Away,0,1,L,Jofre,Y,RW,69,0,0,0,0,1,0,1,2,0,1,0
2024-12-18,2024-2025,La Liga,Espanyol,Valencia,Home,1,1,D,Jofre,Y,LM,90,0,0,3,0,0,0,0,2,0,4,0
2024-12-22,2024-2025,La Liga,Espanyol,Las Palmas,Away,0,1,L,Jofre,N,LW,22,0,0,1,0,0,0,0,1,1,1,0
2025-01-11,2024-2025,La Liga,Espanyol,Leganés,Home,1,1,D,Jofre,Y,LW,78,0,0,6,1,0,0,0,3,0,1,0
2025-01-17,2024-2025,La Liga,Espanyol,Valladolid,Home,2,1,W,Jofre,N,LW,33,0,0,0,0,0,0,0,1,0,0,0
2025-01-25,2024-2025,La Liga,Espanyol,Sevilla,Away,1,1,D,Jofre,Y,RM,66,0,0,1,0,0,0,1,3,0,0,2
2025-02-01,2024-2025,La Liga,Espanyol,Real Madrid,Home,1,0,W,Jofre,Y,AM,66,0,0,1,1,0,0,0,1,0,3,2
2025-02-09,2024-2025,La Liga,Espanyol,Real Sociedad,Away,1,2,L,Jofre,N,AM,45,0,0,0,0,0,0,4,1,0,0,2
2025-02-16,2024-2025,La Liga,Espanyol,Athletic Club,Home,1,1,D,Jofre,Y,AM,78,0,0,3,2,0,0,1,0,0,3,0
2025-02-22,2024-2025,La Liga,Espanyol,Alavés,Away,1,0,W,Jofre,Y,AM,66,0,0,0,0,0,0,1,2,0,1,0
2025-03-10,2024-2025,La Liga,Espanyol,Girona,Home,1,1,D,Jofre,Y,DM,69,1,0,1,1,0,0,1,1,0,2,0
2025-03-15,2024-2025,La Liga,Espanyol,Mallorca,Away,1,2,L,Jofre,Y,RM,80,0,0,0,0,0,0,0,2,0,1,1
2025-03-29,2024-2025,La Liga,Espanyol,Atlético Madrid,Home,1,1,D,Jofre,Y,AM,61,0,0,0,0,0,0,0,1,0,4,1
2025-04-04,2024-2025,La Liga,Espanyol,Rayo Vallecano,Away,4,0,W,Jofre,N,AM,8,0,0,0,0,0,0,0,0,0,0,0
2025-04-12,2024-2025,La Liga,Espanyol,Celta Vigo,Away,2,0,W,Jofre,N,AM,27,0,0,0,0,0,0,0,2,0,0,1
2025-04-18,2024-2025,La Liga,Espanyol,Getafe,Home,1,0,W,Jofre,Y,AM,89,0,0,1,0,0,0,1,5,0,1,1
2025-04-22,2024-2025,La Liga,Espanyol,Valencia,Away,1,1,D,Jofre,Y,AM,69,0,0,0,0,0,0,0,2,0,0,1
2025-04-27,2024-2025,La Liga,Espanyol,Villarreal,Away,0,1,L,Jofre,N,AM,30,0,0,0,0,0,0,0,3,0,9,0
2025-05-04,2024-2025,La Liga,Espanyol,Real Betis,Home,1,2,L,Jofre,N,AM,26,0,0,1,0,0,0,1,0,0,1,0
2025-05-11,2024-2025,La Liga,Espanyol,Leganés,Away,2,3,L,Jofre,Y,RB,61,0,0,0,0,0,0,1,0,0,2,1
2025-05-15,2024-2025,La Liga,Espanyol,Barcelona,Home,0,2,L,Jofre,N,RB,23,0,0,1,0,0,0,0,0,0,2,0
2025-05-18,2024-2025,La Liga,Espanyol,Osasuna,Away,0,2,L,Jofre,N,RB,16,0,0,1,0,0,0,0,0,0,2,0
2025-05-24,2024-2025,La Liga,Espanyol,Las Palmas,Home,2,0,W,Jofre,Y,AM,52,0,0,1,0,0,0,1,1,0,1,0
