Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-01-21,2023-2024,La Liga,Real Betis,Barcelona,Home,2,4,L,Johnny Cardoso,Y,DM,72,0,0,1,0,0,0,1,0,0,2,1
2024-01-27,2023-2024,La Liga,Real Betis,Mallorca,Away,1,0,W,Johnny Cardoso,Y,DM,90,0,0,1,0,0,0,1,0,0,1,2
2024-02-04,2023-2024,La Liga,Real Betis,Getafe,Home,1,1,D,Johnny Cardoso,Y,DM,90,0,0,0,0,1,0,1,0,0,3,5
2024-02-09,2023-2024,La Liga,Real Betis,Cádiz,Away,2,0,W,Johnny Cardoso,Y,DM,90,0,1,0,0,0,0,0,0,0,3,1
2024-02-18,2023-2024,La Liga,Real Betis,Alavés,Home,0,0,D,Johnny Cardoso,Y,DM,90,0,0,1,0,0,0,3,0,0,3,2
2024-02-25,2023-2024,La Liga,Real Betis,Athletic Club,Home,3,1,W,Johnny Cardoso,Y,DM,90,1,0,1,1,0,0,0,0,0,1,2
2024-03-03,2023-2024,La Liga,Real Betis,Atlético Madrid,Away,1,2,L,Johnny Cardoso,Y,DM,89,0,1,2,1,0,0,2,0,0,1,4
2024-03-10,2023-2024,La Liga,Real Betis,Villarreal,Home,2,3,L,Johnny Cardoso,N,,13,0,0,0,0,1,0,2,0,0,1,0
2024-03-17,2023-2024,La Liga,Real Betis,Rayo Vallecano,Away,0,2,L,Johnny Cardoso,Y,DM,53,0,0,0,0,0,0,0,0,0,1,1
2024-04-12,2023-2024,La Liga,Real Betis,Celta Vigo,Home,2,1,W,Johnny Cardoso,Y,DM,90,0,0,0,0,0,0,1,0,0,1,4
2024-04-20,2023-2024,La Liga,Real Betis,Valencia,Away,2,1,W,Johnny Cardoso,Y,DM,88,0,0,0,0,0,0,2,0,0,2,0
2024-04-28,2023-2024,La Liga,Real Betis,Sevilla,Home,1,1,D,Johnny Cardoso,Y,DM,90,0,0,3,1,1,0,1,0,1,3,0
2024-05-05,2023-2024,La Liga,Real Betis,Osasuna,Away,2,0,W,Johnny Cardoso,Y,DM,73,0,0,0,0,0,0,1,0,0,0,2
2024-05-12,2023-2024,La Liga,Real Betis,Almería,Home,3,2,W,Johnny Cardoso,Y,DM,59,0,0,0,0,0,0,1,0,1,2,1
2024-05-16,2023-2024,La Liga,Real Betis,Las Palmas,Away,2,2,D,Johnny Cardoso,N,,71,0,0,0,0,0,0,1,0,0,3,2
2024-05-19,2023-2024,La Liga,Real Betis,Real Sociedad,Home,0,2,L,Johnny Cardoso,Y,DM,90,0,0,2,0,0,0,2,0,1,1,2
2024-05-25,2023-2024,La Liga,Real Betis,Real Madrid,Away,0,0,D,Johnny Cardoso,Y,DM,90,0,0,1,0,0,0,2,0,0,2,2
2024-08-15,2024-2025,La Liga,Real Betis,Girona,Home,1,1,D,Johnny Cardoso,N,,14,0,0,2,0,0,0,1,0,0,0,1
2024-09-01,2024-2025,La Liga,Real Betis,Real Madrid,Away,0,2,L,Johnny Cardoso,N,,34,0,0,0,0,0,0,1,0,0,2,0
2024-09-26,2024-2025,La Liga,Real Betis,Las Palmas,Away,1,1,D,Johnny Cardoso,Y,DM,90,0,0,1,0,0,0,1,0,0,0,2
2024-09-29,2024-2025,La Liga,Real Betis,Espanyol,Home,1,0,W,Johnny Cardoso,N,,12,0,0,0,0,0,0,1,0,0,2,0
2024-10-06,2024-2025,La Liga,Real Betis,Sevilla,Away,0,1,L,Johnny Cardoso,Y,DM,90,0,0,1,0,0,0,4,0,0,1,1
2024-10-19,2024-2025,La Liga,Real Betis,Osasuna,Away,2,1,W,Johnny Cardoso,Y,CM,90,0,0,0,0,0,0,0,0,0,0,2
2024-10-27,2024-2025,La Liga,Real Betis,Atlético Madrid,Home,1,0,W,Johnny Cardoso,Y,CM,90,0,0,1,0,0,0,0,0,0,4,5
2024-11-03,2024-2025,La Liga,Real Betis,Athletic Club,Away,1,1,D,Johnny Cardoso,Y,CM,90,0,0,0,0,0,0,2,0,0,1,2
2024-11-10,2024-2025,La Liga,Real Betis,Celta Vigo,Home,2,2,D,Johnny Cardoso,Y,DM,55,0,1,0,0,1,0,1,0,1,2,2
2024-12-15,2024-2025,La Liga,Real Betis,Villarreal,Away,2,1,W,Johnny Cardoso,Y,DM,90,0,0,0,0,0,0,0,0,0,1,5
2024-12-22,2024-2025,La Liga,Real Betis,Rayo Vallecano,Home,1,1,D,Johnny Cardoso,Y,DM,90,0,0,0,0,0,0,0,0,0,2,0
2025-01-11,2024-2025,La Liga,Real Betis,Valladolid,Away,0,1,L,Johnny Cardoso,Y,DM,90,0,0,1,0,1,0,4,1,0,1,1
2025-01-18,2024-2025,La Liga,Real Betis,Alavés,Home,1,3,L,Johnny Cardoso,Y,DM,90,0,0,0,0,1,0,1,0,0,0,4
2025-01-25,2024-2025,La Liga,Real Betis,Mallorca,Away,1,0,W,Johnny Cardoso,Y,DM,90,0,0,0,0,0,0,3,0,0,1,1
2025-02-02,2024-2025,La Liga,Real Betis,Athletic Club,Home,2,2,D,Johnny Cardoso,Y,DM,80,0,0,1,1,0,0,0,0,0,1,2
2025-02-08,2024-2025,La Liga,Real Betis,Celta Vigo,Away,2,3,L,Johnny Cardoso,Y,DM,90,0,0,0,0,0,0,0,0,0,0,0
2025-02-16,2024-2025,La Liga,Real Betis,Real Sociedad,Home,3,0,W,Johnny Cardoso,Y,DM,90,0,0,2,1,0,0,1,0,0,1,1
2025-02-23,2024-2025,La Liga,Real Betis,Getafe,Away,2,1,W,Johnny Cardoso,Y,DM,90,0,0,1,0,0,0,2,0,0,0,2
2025-03-01,2024-2025,La Liga,Real Betis,Real Madrid,Home,2,1,W,Johnny Cardoso,Y,DM,90,1,0,3,2,0,0,4,0,0,0,5
2025-03-09,2024-2025,La Liga,Real Betis,Las Palmas,Home,1,0,W,Johnny Cardoso,Y,DM,79,0,0,0,0,1,0,1,0,0,4,4
2025-03-30,2024-2025,La Liga,Real Betis,Sevilla,Home,2,1,W,Johnny Cardoso,Y,DM,90,1,0,2,1,0,0,1,0,0,1,2
2025-04-05,2024-2025,La Liga,Real Betis,Barcelona,Away,1,1,D,Johnny Cardoso,Y,DM,78,0,0,0,0,0,0,3,0,0,1,2
2025-04-13,2024-2025,La Liga,Real Betis,Villarreal,Home,1,2,L,Johnny Cardoso,Y,DM,70,0,0,1,0,0,0,0,0,1,0,1
2025-04-21,2024-2025,La Liga,Real Betis,Girona,Away,3,1,W,Johnny Cardoso,Y,DM,90,1,0,3,2,0,0,1,0,0,0,1
2025-04-24,2024-2025,La Liga,Real Betis,Valladolid,Home,5,1,W,Johnny Cardoso,Y,DM,90,0,0,0,0,0,0,1,0,0,3,2
2025-05-11,2024-2025,La Liga,Real Betis,Osasuna,Home,1,1,D,Johnny Cardoso,N,,12,0,0,0,0,0,0,1,0,0,0,0
2025-05-15,2024-2025,La Liga,Real Betis,Rayo Vallecano,Away,2,2,D,Johnny Cardoso,Y,DM,90,0,0,0,0,0,0,4,0,0,2,0
2025-05-18,2024-2025,La Liga,Real Betis,Atlético Madrid,Away,1,4,L,Johnny Cardoso,Y,DM,90,0,0,0,0,0,0,0,0,0,1,2
