Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-01-20,2023-2024,La Liga,Real Sociedad,Celta Vigo,Away,1,0,Win,Jon Aramburu,Y,RB,45,0,0,0,0,1,0,2,0,0,1,0
2024-01-27,2023-2024,La Liga,Real Sociedad,Rayo Vallecano,Home,0,0,Draw,Jon Aramburu,Y,RB,90,0,0,0,0,0,0,2,2,0,3,2
2024-02-03,2023-2024,La Liga,Real Sociedad,Girona,Away,0,0,Draw,Jon Aramburu,N,N/A,88,0,0,1,0,0,0,0,1,0,1,3
2024-02-10,2023-2024,La Liga,Real Sociedad,Osasuna,Home,0,1,Loss,Jon Aramburu,Y,RB,71,0,0,1,0,0,0,1,1,0,0,1
2024-02-23,2023-2024,La Liga,Real Sociedad,Villarreal,Home,1,3,Loss,Jon Aramburu,N,N/A,45,0,0,0,0,0,0,0,0,0,1,0
2024-03-02,2023-2024,La Liga,Real Sociedad,Sevilla,Away,2,3,Loss,Jon Aramburu,Y,RB,90,0,0,2,0,0,0,3,1,0,1,3
2024-05-04,2023-2024,La Liga,Real Sociedad,Las Palmas,Home,2,0,Win,Jon Aramburu,N,N/A,12,0,0,0,0,0,0,0,0,0,0,0
2024-05-13,2023-2024,La Liga,Real Sociedad,Barcelona,Away,0,2,Loss,Jon Aramburu,Y,DM,69,0,0,0,0,1,0,2,0,1,3,1
2024-05-16,2023-2024,La Liga,Real Sociedad,Valencia,Home,1,0,Win,Jon Aramburu,N,N/A,8,0,0,0,0,0,0,0,0,0,0,0
2024-05-19,2023-2024,La Liga,Real Sociedad,Real Betis,Away,2,0,Win,Jon Aramburu,N,N/A,15,0,0,0,0,1,0,0,0,0,2,1
2024-05-25,2023-2024,La Liga,Real Sociedad,Atlético Madrid,Home,0,2,Loss,Jon Aramburu,N,N/A,10,0,0,0,0,0,0,1,0,0,0,0
2024-08-18,2024-2025,La Liga,Real Sociedad,Rayo Vallecano,Home,1,2,Loss,Jon Aramburu,N,N/A,16,0,0,0,0,1,0,2,1,0,0,0
2024-08-24,2024-2025,La Liga,Real Sociedad,Espanyol,Away,1,0,Win,Jon Aramburu,N,N/A,8,0,0,0,0,0,0,1,0,0,0,1
2024-09-01,2024-2025,La Liga,Real Sociedad,Getafe,Away,0,0,Draw,Jon Aramburu,Y,LB,58,0,0,0,0,1,0,0,0,0,1,0
