Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-05-19,2023-2024,La Liga,Real Sociedad,Real Betis,Away,2,0,W,Jon Martín,N,DF,24,0,0,0,0,0,0,0,0,0,0,0
2024-08-28,2024-2025,La Liga,Real Sociedad,Alavés,Home,1,2,L,Jon Martín,N,,45,0,0,2,0,1,0,4,0,0,0,1
2024-09-01,2024-2025,La Liga,Real Sociedad,Getafe,Away,0,0,D,Jon Martín,N,,45,0,0,0,0,0,0,2,0,0,0,0
2024-12-21,2024-2025,La Liga,Real Sociedad,Celta Vigo,Away,0,2,L,Jon Martín,N,,45,0,0,1,0,0,0,1,0,0,1,4
2025-02-16,2024-2025,La Liga,Real Sociedad,Real Betis,Away,0,3,L,Jon Martín,N,,32,0,0,1,1,0,0,0,0,0,0,0
2025-02-23,2024-2025,La Liga,Real Sociedad,Leganés,Home,3,0,W,Jon Martín,N,,59,0,1,1,0,0,0,0,0,0,0,0
2025-03-02,2024-2025,La Liga,Real Sociedad,Barcelona,Away,0,4,L,Jon Martín,N,,71,0,0,0,0,0,0,0,0,0,0,0
2025-04-06,2024-2025,La Liga,Real Sociedad,Las Palmas,Away,3,1,W,Jon Martín,N,,67,0,0,0,0,1,0,3,0,0,1,0
2025-04-12,2024-2025,La Liga,Real Sociedad,Mallorca,Home,0,2,L,Jon Martín,Y,CB,90,0,0,3,1,0,0,1,0,0,2,0
2025-04-20,2024-2025,La Liga,Real Sociedad,Villarreal,Away,2,2,D,Jon Martín,Y,CB,90,0,0,0,0,0,0,3,0,0,2,0
2025-04-23,2024-2025,La Liga,Real Sociedad,Alavés,Away,0,1,L,Jon Martín,Y,CB,90,0,0,0,0,0,0,2,0,0,0,1
2025-05-04,2024-2025,La Liga,Real Sociedad,Athletic Club,Home,0,0,D,Jon Martín,Y,CB,90,0,0,1,0,0,0,2,0,0,1,1
2025-05-10,2024-2025,La Liga,Real Sociedad,Atlético Madrid,Away,0,4,L,Jon Martín,Y,CB,90,0,0,0,0,0,0,1,0,0,1,0
2025-05-24,2024-2025,La Liga,Real Sociedad,Real Madrid,Away,0,2,L,Jon Martín,Y,CB,90,0,0,0,0,0,0,1,0,0,1,0
