Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-08-17,2019-2020,La Liga,Osasuna,Leganés,Away,1,0,W,Jon Moncayola,Y,DM,90,0,0,0,0,1,0,1,1,0,3,1
2019-08-24,2019-2020,La Liga,Osasuna,Eibar,Home,0,0,D,Jon Moncayola,Y,CM,90,0,0,1,1,0,0,0,0,0,1,0
2019-08-31,2019-2020,La Liga,Osasuna,Barcelona,Home,2,2,D,Jon Moncayola,N,CM,20,0,0,1,0,1,0,1,0,0,0,0
2019-09-15,2019-2020,La Liga,Osasuna,Valladolid,Away,1,1,D,Jon Moncayola,N,CM,6,0,0,0,0,0,0,0,0,0,0,0
2019-09-20,2019-2020,La Liga,Osasuna,Real Betis,Home,0,0,D,Jon Moncayola,N,CM,1,0,0,0,0,0,0,0,0,0,0,0
2019-09-25,2019-2020,La Liga,Osasuna,Real Madrid,Away,0,2,L,Jon Moncayola,Y,CM,90,0,0,0,0,0,0,1,0,0,3,1
2019-09-29,2019-2020,La Liga,Osasuna,Levante,Home,1,1,D,Jon Moncayola,N,CM,45,0,0,0,0,0,0,0,0,0,0,0
2019-10-05,2019-2020,La Liga,Osasuna,Villarreal,Home,2,1,W,Jon Moncayola,N,CM,8,0,0,0,0,0,0,1,0,0,0,0
2019-10-18,2019-2020,La Liga,Osasuna,Granada,Away,0,1,L,Jon Moncayola,Y,DM,90,0,0,1,0,1,0,3,1,0,3,0
2019-10-31,2019-2020,La Liga,Osasuna,Mallorca,Away,2,2,D,Jon Moncayola,Y,CM,90,0,0,0,0,0,0,0,0,0,2,0
2019-12-01,2019-2020,La Liga,Osasuna,Espanyol,Away,4,2,W,Jon Moncayola,N,CM,31,1,0,1,1,1,0,3,0,1,1,0
2019-12-08,2019-2020,La Liga,Osasuna,Sevilla,Home,1,1,D,Jon Moncayola,Y,RB,71,0,0,0,0,0,0,3,0,2,1,4
2019-12-22,2019-2020,La Liga,Osasuna,Real Sociedad,Home,3,4,L,Jon Moncayola,N,CM,16,0,0,0,0,0,0,0,0,1,0,0
2020-01-05,2019-2020,La Liga,Osasuna,Celta Vigo,Away,1,1,D,Jon Moncayola,Y,RB,90,0,0,1,0,0,0,3,0,1,2,0
2020-01-18,2019-2020,La Liga,Osasuna,Valladolid,Home,0,0,D,Jon Moncayola,N,CM,49,0,0,0,0,0,0,2,0,0,0,1
2020-01-24,2019-2020,La Liga,Osasuna,Levante,Home,2,0,W,Jon Moncayola,Y,CM,90,0,0,2,0,0,0,3,0,1,0,1
2020-02-02,2019-2020,La Liga,Osasuna,Villarreal,Away,1,3,L,Jon Moncayola,Y,DM,90,0,0,0,0,0,0,0,1,1,0,1
2020-02-09,2019-2020,La Liga,Osasuna,Real Madrid,Home,1,4,L,Jon Moncayola,Y,CM,9,0,0,0,0,0,0,0,0,0,1,0
2020-06-14,2019-2020,La Liga,Osasuna,Real Sociedad,Away,1,1,D,Jon Moncayola,N,CM,22,0,0,0,0,0,0,1,0,1,0,0
2020-06-17,2019-2020,La Liga,Osasuna,Atlético Madrid,Home,0,5,L,Jon Moncayola,Y,DM,90,0,0,2,0,0,0,3,0,0,2,3
2020-06-24,2019-2020,La Liga,Osasuna,Alavés,Away,1,0,W,Jon Moncayola,Y,CM,80,0,0,0,0,0,0,1,1,0,3,1
2020-06-27,2019-2020,La Liga,Osasuna,Leganés,Home,2,1,W,Jon Moncayola,N,CM,28,0,0,0,0,0,0,0,1,0,0,1
