Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-06-29,2019-2020,La Liga,Real Sociedad,Getafe,Away,1,2,L,Jon Pacheco,Y,CB,77,0,0,0,0,0,0,2,0,1,0,0
2021-05-12,2020-2021,La Liga,Real Sociedad,Atlético Madrid,Away,1,2,L,Jon Pacheco,N,,32,0,0,1,0,0,0,0,0,0,0,1
2021-08-15,2021-2022,La Liga,Real Sociedad,Barcelona,Away,2,4,L,Jon Pacheco,N,DF,10,0,0,0,0,0,0,0,0,0,0,1
2021-08-22,2021-2022,La Liga,Real Sociedad,Rayo Vallecano,Home,1,0,W,Jon Pacheco,N,DF,3,0,0,0,0,1,0,0,0,0,0,1
2021-10-24,2021-2022,La Liga,Real Sociedad,Atlético Madrid,Away,2,2,D,Jon Pacheco,N,DF,28,0,0,0,0,0,0,0,0,0,2,2
2022-01-02,2021-2022,La Liga,Real Sociedad,Alavés,Away,1,1,D,Jon Pacheco,N,DF,10,0,0,0,0,0,0,0,0,0,0,0
2022-02-13,2021-2022,La Liga,Real Sociedad,Granada,Home,2,0,W,Jon Pacheco,N,DF,8,0,0,0,0,0,0,0,0,0,0,0
2022-02-27,2021-2022,La Liga,Real Sociedad,Osasuna,Home,1,0,W,Jon Pacheco,Y,CB,90,0,0,0,0,0,0,1,0,0,1,1
2022-03-02,2021-2022,La Liga,Real Sociedad,Mallorca,Away,2,0,W,Jon Pacheco,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2022-03-05,2021-2022,La Liga,Real Sociedad,Real Madrid,Away,1,4,L,Jon Pacheco,Y,CB,45,0,0,0,0,0,0,0,0,0,1,0
2022-03-13,2021-2022,La Liga,Real Sociedad,Alavés,Home,1,0,W,Jon Pacheco,Y,CB,90,0,0,0,0,0,0,2,1,0,0,0
2022-05-12,2021-2022,La Liga,Real Sociedad,Cádiz,Home,3,0,W,Jon Pacheco,N,DF,7,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,2022-2023,La Liga,Real Sociedad,Elche,Away,1,0,W,Jon Pacheco,N,,3,0,0,0,0,0,0,0,0,0,0,0
2022-09-11,2022-2023,La Liga,Real Sociedad,Getafe,Away,1,2,L,Jon Pacheco,Y,CB,90,0,0,0,0,0,0,2,0,0,1,1
2022-09-18,2022-2023,La Liga,Real Sociedad,Espanyol,Home,2,1,W,Jon Pacheco,Y,CB,90,0,0,0,0,0,0,1,1,0,2,0
2022-10-02,2022-2023,La Liga,Real Sociedad,Girona,Away,5,3,W,Jon Pacheco,Y,CB,90,0,0,0,0,0,0,2,0,0,0,1
2022-10-09,2022-2023,La Liga,Real Sociedad,Villarreal,Home,1,0,W,Jon Pacheco,Y,CB,90,0,0,1,0,0,0,1,2,0,3,0
2022-10-19,2022-2023,La Liga,Real Sociedad,Mallorca,Home,1,0,W,Jon Pacheco,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2022-10-30,2022-2023,La Liga,Real Sociedad,Real Betis,Home,0,2,L,Jon Pacheco,Y,CB,90,0,0,0,0,1,0,1,0,0,0,1
2022-11-06,2022-2023,La Liga,Real Sociedad,Valencia,Home,1,1,D,Jon Pacheco,N,,45,0,0,0,0,0,0,0,1,0,0,0
2022-11-09,2022-2023,La Liga,Real Sociedad,Sevilla,Away,2,1,W,Jon Pacheco,Y,CB,90,0,0,0,0,1,0,1,1,0,1,3
2023-03-12,2022-2023,La Liga,Real Sociedad,Mallorca,Away,1,1,D,Jon Pacheco,Y,CB,90,0,0,0,0,0,0,1,2,1,2,0
2023-04-08,2022-2023,La Liga,Real Sociedad,Getafe,Home,2,0,W,Jon Pacheco,Y,CB,90,0,0,1,0,0,0,1,0,0,0,0
2023-04-22,2022-2023,La Liga,Real Sociedad,Rayo Vallecano,Home,2,1,W,Jon Pacheco,Y,CB,90,0,0,0,0,0,0,2,1,0,0,3
2023-05-02,2022-2023,La Liga,Real Sociedad,Real Madrid,Home,2,0,W,Jon Pacheco,N,,27,0,0,0,0,0,0,0,0,0,0,0
2023-05-13,2022-2023,La Liga,Real Sociedad,Girona,Home,2,2,D,Jon Pacheco,N,,28,0,0,1,0,0,0,1,1,0,0,1
2023-05-20,2022-2023,La Liga,Real Sociedad,Barcelona,Away,2,1,W,Jon Pacheco,N,,10,0,0,0,0,0,0,0,0,0,1,0
2023-05-23,2022-2023,La Liga,Real Sociedad,Almería,Home,1,0,W,Jon Pacheco,Y,CB,90,0,1,0,0,0,0,2,1,0,0,0
2023-06-04,2022-2023,La Liga,Real Sociedad,Sevilla,Home,2,1,W,Jon Pacheco,Y,CB,90,0,0,0,0,0,0,2,0,0,0,2
2023-08-19,2023-2024,La Liga,Real Sociedad,Celta Vigo,Home,1,1,D,Jon Pacheco,N,DF,13,0,0,0,0,0,0,2,0,0,0,0
2023-09-24,2023-2024,La Liga,Real Sociedad,Getafe,Home,4,3,W,Jon Pacheco,N,DF,8,0,0,0,0,0,0,0,0,0,0,1
2023-09-27,2023-2024,La Liga,Real Sociedad,Valencia,Away,1,0,W,Jon Pacheco,Y,CB,60,0,0,0,0,1,0,2,0,0,0,1
2023-09-30,2023-2024,La Liga,Real Sociedad,Athletic Club,Home,3,0,W,Jon Pacheco,N,DF,29,0,0,0,0,0,0,0,0,0,0,0
2023-10-08,2023-2024,La Liga,Real Sociedad,Atlético Madrid,Away,1,2,L,Jon Pacheco,N,DF,26,0,0,0,0,0,0,0,0,0,0,0
2023-10-21,2023-2024,La Liga,Real Sociedad,Mallorca,Home,1,0,W,Jon Pacheco,Y,CB,90,0,0,0,0,1,0,3,0,0,1,0
2023-10-29,2023-2024,La Liga,Real Sociedad,Rayo Vallecano,Away,2,2,D,Jon Pacheco,Y,CB,90,0,0,1,1,0,0,1,1,0,3,0
2023-12-09,2023-2024,La Liga,Real Sociedad,Villarreal,Away,3,0,W,Jon Pacheco,N,DF,32,0,0,0,0,0,0,0,0,0,1,0
2024-01-20,2023-2024,La Liga,Real Sociedad,Celta Vigo,Away,1,0,W,Jon Pacheco,Y,CB,90,0,0,0,0,0,0,1,0,0,1,0
2024-01-27,2023-2024,La Liga,Real Sociedad,Rayo Vallecano,Home,0,0,D,Jon Pacheco,Y,CB,90,0,0,0,0,1,0,2,0,0,3,1
