Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-01-25,2014-2015,Ligue 1,Saint-Étienne,Paris Saint-Germain,Home,0,1,L,Jonathan Bamba,N,N/A,10,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,2014-2015,Ligue 1,Saint-Étienne,Caen,Away,0,1,L,Jonathan Bamba,N,N/A,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-23,2014-2015,Ligue 1,Saint-Étienne,Guingamp,Home,2,1,W,Jonathan Bamba,N,N/A,1,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,2015-2016,Ligue 1,Saint-Étienne,Toulouse,Away,1,2,L,Jonathan Bamba,Y,FW,70,0,0,3,1,0,0,1,0,1,0,0
2015-09-12,2015-2016,Ligue 1,Saint-Étienne,Montpellier,Away,2,1,W,Jonathan Bamba,N,N/A,33,0,0,1,0,0,0,2,0,0,1,1
2015-09-20,2015-2016,Ligue 1,Saint-Étienne,Nantes,Home,2,0,W,Jonathan Bamba,Y,FW,90,1,0,4,1,0,0,2,1,2,2,1
2015-09-27,2015-2016,Ligue 1,Saint-Étienne,Nice,Home,1,4,L,Jonathan Bamba,Y,AM,45,0,0,0,0,0,0,0,0,1,0,0
2015-12-02,2015-2016,Ligue 1,Saint-Étienne,Lille,Away,0,1,L,Jonathan Bamba,Y,FW,55,0,0,1,0,0,0,2,0,1,0,0
2017-01-14,2016-2017,Ligue 1,Angers,Bordeaux,Home,1,1,D,Jonathan Bamba,Y,FW,60,0,0,0,0,0,0,1,0,1,0,0
2017-02-05,2016-2017,Ligue 1,Angers,Toulouse,Away,0,4,L,Jonathan Bamba,N,N/A,38,0,0,1,1,0,0,0,0,2,0,1
2017-02-08,2016-2017,Ligue 1,Angers,Rennes,Home,0,0,D,Jonathan Bamba,Y,FW,61,0,0,0,0,0,0,2,0,0,1,0
2017-02-11,2016-2017,Ligue 1,Angers,Lille,Away,2,1,W,Jonathan Bamba,Y,FW,90,0,0,2,2,0,0,1,0,1,3,1
2017-02-18,2016-2017,Ligue 1,Angers,Nancy,Home,1,0,W,Jonathan Bamba,Y,FW,90,1,0,4,1,0,0,0,0,2,0,1
2017-02-25,2016-2017,Ligue 1,Angers,Bastia,Home,3,0,W,Jonathan Bamba,Y,FW,80,0,0,1,1,0,0,1,0,1,1,1
2017-03-10,2016-2017,Ligue 1,Angers,Marseille,Away,0,3,L,Jonathan Bamba,Y,FW,57,0,0,3,1,0,0,0,0,2,0,0
2017-03-18,2016-2017,Ligue 1,Angers,Guingamp,Home,3,0,W,Jonathan Bamba,Y,FW,72,1,1,2,1,0,0,0,0,1,0,0
