Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-05-02,2022-2023,La Liga,Osasuna,Barcelona,Away,0,1,L,Jorge Herrando,Y,CB,25,0,0,0,0,0,1,1,0,0,0,0
2023-09-03,2023-2024,La Liga,Osasuna,Barcelona,Home,1,2,L,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2023-09-17,2023-2024,La Liga,Osasuna,Getafe,Away,2,3,L,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,2,0,0,1,1
2023-12-02,2023-2024,La Liga,Osasuna,Real Sociedad,Home,1,1,D,Jorge Herrando,N,,36,0,0,0,0,0,0,1,0,0,0,1
2024-01-31,2023-2024,La Liga,Osasuna,Barcelona,Away,0,1,L,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,1,0,0,3,1
2024-02-10,2023-2024,La Liga,Osasuna,Real Sociedad,Away,1,0,W,Jorge Herrando,Y,CB,90,0,0,1,0,0,0,0,0,0,0,3
2024-02-17,2023-2024,La Liga,Osasuna,Cádiz,Home,2,0,W,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,2,0,0,1,1
2024-02-25,2023-2024,La Liga,Osasuna,Las Palmas,Away,1,1,D,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,2,0,0,0,2
2024-03-04,2023-2024,La Liga,Osasuna,Alavés,Home,1,0,W,Jorge Herrando,Y,CB,90,0,0,0,0,1,0,0,0,0,2,0
2024-03-09,2023-2024,La Liga,Osasuna,Girona,Away,0,2,L,Jorge Herrando,Y,CB,90,0,0,0,0,1,0,2,0,0,0,0
2024-03-16,2023-2024,La Liga,Osasuna,Real Madrid,Home,2,4,L,Jorge Herrando,Y,CB,78,0,1,0,0,1,0,2,0,0,1,0
2024-03-30,2023-2024,La Liga,Osasuna,Almería,Away,3,0,W,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,1,0,0,1,2
2024-04-15,2023-2024,La Liga,Osasuna,Valencia,Home,0,1,L,Jorge Herrando,Y,CB,90,0,0,2,0,0,0,1,0,0,1,0
2024-04-20,2023-2024,La Liga,Osasuna,Rayo Vallecano,Away,1,2,L,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2024-04-28,2023-2024,La Liga,Osasuna,Granada,Away,0,3,L,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,1,0,0,2,0
2024-05-05,2023-2024,La Liga,Osasuna,Real Betis,Home,0,2,L,Jorge Herrando,Y,CB,90,0,0,1,0,0,0,4,0,0,1,2
2024-05-11,2023-2024,La Liga,Osasuna,Athletic Club,Away,2,2,D,Jorge Herrando,Y,CB,90,0,0,0,0,1,0,2,0,0,0,0
2024-05-14,2023-2024,La Liga,Osasuna,Mallorca,Home,1,1,D,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,2,0,0,3,1
2024-05-19,2023-2024,La Liga,Osasuna,Atlético Madrid,Away,4,1,W,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2024-05-25,2023-2024,La Liga,Osasuna,Villarreal,Home,1,1,D,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,2,0,0,2,0
2024-08-17,2024-2025,La Liga,Osasuna,Leganés,Home,1,1,D,Jorge Herrando,Y,CB,90,0,0,1,1,1,0,1,0,0,0,0
2024-08-24,2024-2025,La Liga,Osasuna,Mallorca,Home,1,0,W,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2024-08-29,2024-2025,La Liga,Osasuna,Girona,Away,0,4,L,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2024-09-24,2024-2025,La Liga,Osasuna,Valencia,Away,0,0,D,Jorge Herrando,Y,CB,90,0,0,0,0,1,0,1,0,0,1,0
2024-09-28,2024-2025,La Liga,Osasuna,Barcelona,Home,4,2,W,Jorge Herrando,N,,7,0,0,0,0,0,0,0,0,0,0,0
2024-12-02,2024-2025,La Liga,Osasuna,Sevilla,Away,1,1,D,Jorge Herrando,N,,8,0,0,0,0,0,0,0,0,0,1,0
2024-12-21,2024-2025,La Liga,Osasuna,Athletic Club,Home,1,2,L,Jorge Herrando,Y,CB,90,0,0,0,0,0,0,1,1,0,0,0
2025-01-12,2024-2025,La Liga,Osasuna,Atlético Madrid,Away,0,1,L,Jorge Herrando,Y,CB,90,0,0,1,0,0,0,1,0,0,1,0
2025-01-24,2024-2025,La Liga,Osasuna,Las Palmas,Away,1,1,D,Jorge Herrando,N,,1,0,0,0,0,1,0,0,0,0,0,0
2025-02-15,2024-2025,La Liga,Osasuna,Real Madrid,Home,1,1,D,Jorge Herrando,Y,CB,90,0,0,1,0,0,0,1,0,0,1,3
2025-02-21,2024-2025,La Liga,Osasuna,Celta Vigo,Away,0,1,L,Jorge Herrando,Y,CB,90,0,0,1,0,0,0,1,0,0,2,0
2025-03-27,2024-2025,La Liga,Osasuna,Barcelona,Away,0,3,L,Jorge Herrando,Y,CB,90,0,0,1,0,0,0,5,0,0,2,1
