Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-10-20,2019-2020,La Liga,Valladolid,Athletic Club,Away,1,1,D,Jorge de Frutos,N,,23,0,0,0,0,0,0,0,0,0,1,0
2019-10-26,2019-2020,La Liga,Valladolid,Eibar,Home,2,0,W,Jorge de Frutos,N,,22,0,0,1,0,0,0,2,0,0,1,1
2019-11-24,2019-2020,La Liga,Valladolid,Sevilla,Home,0,1,L,Jorge de Frutos,N,,14,0,0,0,0,0,0,0,0,0,1,0
2020-09-13,2020-2021,La Liga,Levante,Valencia,Away,2,4,L,Jorge de Frutos,N,,15,0,0,0,0,0,0,0,0,1,0,0
2020-09-27,2020-2021,La Liga,Levante,Osasuna,Away,3,1,W,Jorge de Frutos,N,,17,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,2020-2021,La Liga,Levante,Sevilla,Away,0,1,L,Jorge de Frutos,N,,29,0,0,0,0,0,0,2,0,0,1,0
2020-10-04,2020-2021,La Liga,Levante,Real Madrid,Home,0,2,L,Jorge de Frutos,N,,36,0,0,0,0,0,0,1,0,0,0,0
2020-10-18,2020-2021,La Liga,Levante,Athletic Club,Away,0,2,L,Jorge de Frutos,N,,28,0,0,1,0,0,0,0,0,2,0,0
2020-10-26,2020-2021,La Liga,Levante,Celta Vigo,Home,1,1,D,Jorge de Frutos,N,,6,0,0,0,0,0,0,0,0,2,0,0
2020-11-01,2020-2021,La Liga,Levante,Granada,Away,1,1,D,Jorge de Frutos,N,,23,0,0,0,0,0,0,1,0,2,0,0
2020-11-08,2020-2021,La Liga,Levante,Alavés,Home,1,1,D,Jorge de Frutos,N,,28,0,0,0,0,0,0,0,0,2,0,0
2020-11-21,2020-2021,La Liga,Levante,Elche,Away,1,1,D,Jorge de Frutos,Y,RM,73,0,0,2,0,0,0,0,0,2,1,0
2020-11-27,2020-2021,La Liga,Levante,Valladolid,Away,1,1,D,Jorge de Frutos,N,,24,0,0,0,0,0,0,1,0,1,0,0
2020-12-05,2020-2021,La Liga,Levante,Getafe,Home,3,0,W,Jorge de Frutos,Y,RM,82,1,1,4,3,0,0,2,0,5,0,1
2020-12-13,2020-2021,La Liga,Levante,Barcelona,Away,0,1,L,Jorge de Frutos,Y,RM,81,0,0,1,1,0,0,2,0,3,1,0
2020-12-19,2020-2021,La Liga,Levante,Real Sociedad,Home,2,1,W,Jorge de Frutos,N,,34,1,0,1,1,0,0,2,0,1,2,1
2020-12-22,2020-2021,La Liga,Levante,Huesca,Away,1,1,D,Jorge de Frutos,Y,LM,75,0,0,0,0,0,0,1,1,1,0,1
2020-12-29,2020-2021,La Liga,Levante,Real Betis,Home,4,3,W,Jorge de Frutos,Y,RM,61,0,1,0,0,1,0,1,0,5,2,1
2021-01-02,2020-2021,La Liga,Levante,Villarreal,Away,1,2,L,Jorge de Frutos,N,,28,0,0,1,0,0,0,0,0,3,0,0
2021-01-10,2020-2021,La Liga,Levante,Eibar,Home,2,1,W,Jorge de Frutos,Y,RM,85,0,1,1,0,0,0,0,0,7,1,0
2021-01-19,2020-2021,La Liga,Levante,Cádiz,Away,2,2,D,Jorge de Frutos,Y,RM,86,0,1,1,1,0,0,1,0,1,1,1
2021-01-22,2020-2021,La Liga,Levante,Valladolid,Home,2,2,D,Jorge de Frutos,Y,RM,63,0,1,1,0,0,0,1,0,6,1,0
2021-02-06,2020-2021,La Liga,Levante,Granada,Home,2,2,D,Jorge de Frutos,N,,27,0,1,0,0,0,0,1,0,2,0,0
2021-02-14,2020-2021,La Liga,Levante,Osasuna,Home,0,1,L,Jorge de Frutos,N,,28,0,0,0,0,0,0,0,0,2,0,0
2021-02-17,2020-2021,La Liga,Levante,Atlético Madrid,Home,1,1,D,Jorge de Frutos,Y,RM,81,0,1,0,0,1,0,2,0,3,0,1
2021-02-20,2020-2021,La Liga,Levante,Atlético Madrid,Away,2,0,W,Jorge de Frutos,N,,29,1,0,1,1,0,0,1,0,1,0,1
2021-02-26,2020-2021,La Liga,Levante,Athletic Club,Home,1,1,D,Jorge de Frutos,Y,AM,83,0,0,2,1,0,0,2,0,2,2,1
2021-03-07,2020-2021,La Liga,Levante,Real Sociedad,Away,0,1,L,Jorge de Frutos,N,,34,0,0,0,0,0,0,0,0,1,0,0
2021-03-12,2020-2021,La Liga,Levante,Valencia,Home,1,0,W,Jorge de Frutos,Y,RM,90,0,0,2,1,0,0,1,0,1,4,1
2021-03-19,2020-2021,La Liga,Levante,Real Betis,Away,0,2,L,Jorge de Frutos,Y,RM,90,0,0,1,0,0,0,2,0,3,2,0
2021-04-02,2020-2021,La Liga,Levante,Huesca,Home,0,2,L,Jorge de Frutos,Y,AM,90,0,0,1,0,0,0,1,0,7,0,1
2021-04-10,2020-2021,La Liga,Levante,Eibar,Away,1,0,W,Jorge de Frutos,Y,RM,83,1,0,1,1,0,0,3,0,1,0,1
2021-04-18,2020-2021,La Liga,Levante,Villarreal,Home,1,5,L,Jorge de Frutos,Y,RM,77,0,0,0,0,0,0,1,0,6,1,1
2021-04-21,2020-2021,La Liga,Levante,Sevilla,Home,0,1,L,Jorge de Frutos,Y,DM,72,0,0,1,1,0,0,1,1,2,1,0
2021-04-24,2020-2021,La Liga,Levante,Elche,Away,0,1,L,Jorge de Frutos,Y,RM,78,0,0,0,0,0,0,2,0,3,1,0
2021-04-30,2020-2021,La Liga,Levante,Celta Vigo,Away,0,2,L,Jorge de Frutos,Y,RM,90,0,0,1,0,0,0,0,0,7,3,2
2021-05-08,2020-2021,La Liga,Levante,Alavés,Away,2,2,D,Jorge de Frutos,Y,RM,90,0,1,1,0,0,0,3,0,5,0,0
2021-05-11,2020-2021,La Liga,Levante,Barcelona,Home,3,3,D,Jorge de Frutos,Y,RM,90,0,0,1,0,1,0,0,1,8,0,0
2021-05-16,2020-2021,La Liga,Levante,Getafe,Away,1,2,L,Jorge de Frutos,Y,RM,90,0,1,1,0,0,0,2,0,5,1,2
2021-05-21,2020-2021,La Liga,Levante,Cádiz,Home,2,2,D,Jorge de Frutos,Y,RM,90,0,0,1,0,0,0,3,0,9,0,0
2021-08-14,2021-2022,La Liga,Levante,Cádiz,Away,1,1,D,Jorge de Frutos,Y,RM,90,0,0,4,1,0,0,2,3,6,1,2
2021-08-22,2021-2022,La Liga,Levante,Real Madrid,Home,3,3,D,Jorge de Frutos,Y,FW,85,0,1,0,0,0,0,0,0,2,2,1
2021-08-28,2021-2022,La Liga,Levante,Real Sociedad,Away,0,1,L,Jorge de Frutos,N,,26,0,0,0,0,0,0,0,1,0,0,0
2021-09-21,2021-2022,La Liga,Levante,Celta Vigo,Home,0,2,L,Jorge de Frutos,N,,18,0,0,0,0,1,0,1,0,2,0,0
2021-09-26,2021-2022,La Liga,Levante,Barcelona,Away,0,3,L,Jorge de Frutos,Y,RM,68,0,0,2,1,0,0,2,1,2,1,1
2021-10-02,2021-2022,La Liga,Levante,Mallorca,Away,0,1,L,Jorge de Frutos,Y,RM,76,0,0,0,0,0,0,4,2,3,1,1
2021-10-16,2021-2022,La Liga,Levante,Getafe,Home,0,0,D,Jorge de Frutos,Y,RW,76,0,0,3,1,0,0,1,2,4,0,1
2021-10-24,2021-2022,La Liga,Levante,Sevilla,Away,3,5,L,Jorge de Frutos,Y,RM,90,0,1,2,0,0,0,0,0,6,0,0
2021-10-28,2021-2022,La Liga,Levante,Atlético Madrid,Home,2,2,D,Jorge de Frutos,N,,11,0,0,1,0,0,0,0,0,2,1,0
2021-11-01,2021-2022,La Liga,Levante,Granada,Home,0,3,L,Jorge de Frutos,Y,RW,90,0,0,2,0,0,0,0,2,7,0,0
