Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2011-08-28,2011-12,La Liga,Sevilla,Málaga,Home,2,1,W,José Campaña,N,,19,0,0,0,0,0,0,0,0,0,0,0
2011-09-10,2011-12,La Liga,Sevilla,Villarreal,Away,2,2,D,José Campaña,N,,19,0,0,0,0,0,0,0,0,0,0,0
2011-10-02,2011-12,La Liga,Sevilla,Atlético Madrid,Home,0,0,D,José Campaña,N,,13,0,0,0,0,0,0,0,0,0,0,0
2011-10-22,2011-12,La Liga,Sevilla,Barcelona,Away,0,0,D,José Campaña,Y,,69,0,0,0,0,0,0,0,0,0,0,0
2011-10-25,2011-12,La Liga,Sevilla,Racing Santander,Home,2,2,D,José Campaña,Y,,72,0,0,0,0,0,0,0,0,0,0,0
2011-11-05,2011-12,La Liga,Sevilla,Mallorca,Away,0,0,D,José Campaña,N,,31,0,0,0,0,0,0,0,0,0,0,0
2011-11-27,2011-12,La Liga,Sevilla,Zaragoza,Away,1,0,W,José Campaña,N,,5,0,0,0,0,0,0,0,0,0,0,0
2011-12-05,2011-12,La Liga,Sevilla,Getafe,Home,3,0,W,José Campaña,N,,14,0,0,0,0,0,0,0,0,0,0,0
2011-12-10,2011-12,La Liga,Sevilla,Levante,Away,0,1,L,José Campaña,N,,24,0,0,0,0,0,0,0,0,0,0,0
2011-12-17,2011-12,La Liga,Sevilla,Real Madrid,Home,2,6,L,José Campaña,N,,23,0,0,0,0,0,0,0,0,0,0,0
2012-02-13,2011-12,La Liga,Sevilla,Real Sociedad,Away,0,2,L,José Campaña,Y,,70,0,0,0,0,0,0,0,0,0,0,0
2012-03-10,2011-12,La Liga,Sevilla,Sporting Gijón,Away,0,1,L,José Campaña,N,,34,0,0,0,0,0,0,0,0,0,0,0
2012-04-12,2011-12,La Liga,Sevilla,Zaragoza,Home,3,0,W,José Campaña,N,,19,0,0,0,0,0,0,0,0,0,0,0
2012-04-16,2011-12,La Liga,Sevilla,Getafe,Away,1,5,L,José Campaña,N,,12,0,0,0,0,0,0,0,0,0,0,0
2012-04-29,2011-12,La Liga,Sevilla,Real Madrid,Away,0,3,L,José Campaña,N,,20,0,0,0,0,0,0,0,0,0,0,0
2012-09-24,2012-13,La Liga,Sevilla,Dep La Coruña,Away,2,0,W,José Campaña,N,,13,0,0,0,0,0,0,0,0,0,0,0
2012-10-05,2012-13,La Liga,Sevilla,Celta Vigo,Away,0,2,L,José Campaña,Y,,63,0,0,0,0,0,0,0,0,0,0,0
2012-10-22,2012-13,La Liga,Sevilla,Mallorca,Home,3,2,W,José Campaña,Y,,55,0,0,0,0,1,0,0,0,0,0,0
2012-11-04,2012-13,La Liga,Sevilla,Levante,Home,0,0,D,José Campaña,N,,8,0,0,0,0,0,0,0,0,0,0,0
2012-11-11,2012-13,La Liga,Sevilla,Athletic Club,Away,1,2,L,José Campaña,Y,,45,0,0,0,0,1,0,0,0,0,0,0
2013-08-24,2013-14,Premier League,Crystal Palace,Stoke City,Away,1,2,L,José Campaña,Y,,63,0,0,0,0,0,0,0,0,0,0,0
2013-08-31,2013-14,Premier League,Crystal Palace,Sunderland,Home,3,1,W,José Campaña,Y,,53,0,0,0,0,0,0,0,0,0,0,0
2013-09-14,2013-14,Premier League,Crystal Palace,Manchester Utd,Away,0,2,L,José Campaña,Y,,58,0,0,0,0,0,0,0,0,0,0,0
2013-09-22,2013-14,Premier League,Crystal Palace,Swansea City,Home,0,2,L,José Campaña,N,,46,0,0,0,0,0,0,0,0,0,0,0
2013-10-05,2013-14,Premier League,Crystal Palace,Liverpool,Away,1,3,L,José Campaña,N,,46,0,1,0,0,0,0,0,0,0,0,0
2013-10-21,2013-14,Premier League,Crystal Palace,Fulham,Home,1,4,L,José Campaña,Y,,44,0,0,0,0,0,0,0,0,0,0,0
2014-02-16,2013-14,Bundesliga,Nürnberg,Augsburg,Away,1,0,W,José Campaña,N,,45,0,0,0,0,1,0,0,0,0,0,0
2014-03-01,2013-14,Bundesliga,Nürnberg,Dortmund,Away,0,3,L,José Campaña,N,,30,0,0,0,0,0,0,0,0,0,0,0
2014-03-08,2013-14,Bundesliga,Nürnberg,Werder Bremen,Home,0,2,L,José Campaña,Y,,75,0,0,0,0,1,0,0,0,0,0,0
2014-03-16,2013-14,Bundesliga,Nürnberg,Hamburger SV,Away,1,2,L,José Campaña,N,,23,0,0,0,0,0,0,0,0,0,0,0
