Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2013-09-14,2013-2014,La Liga,Atlético Madrid,Almería,Home,4,2,W,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2014-10-19,2014-2015,La Liga,Atlético Madrid,Espanyol,Home,2,0,W,José María Giménez,Y,CB,90,0,1,0,0,0,0,0,0,0,0,0
2014-11-22,2014-2015,La Liga,Atlético Madrid,Málaga,Home,3,1,W,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2014-11-30,2014-2015,La Liga,Atlético Madrid,Deportivo La Coruña,Home,2,0,W,José María Giménez,Y,CB,90,0,0,0,0,1,0,0,0,0,0,0
2014-12-06,2014-2015,La Liga,Atlético Madrid,Elche,Away,2,0,W,José María Giménez,Y,CB,90,1,0,0,0,0,0,0,0,0,0,0
2014-12-21,2014-2015,La Liga,Atlético Madrid,Athletic Club,Away,4,1,W,José María Giménez,Y,CB,90,0,0,0,0,1,0,0,0,0,0,0
2015-01-03,2014-2015,La Liga,Atlético Madrid,Levante,Home,3,1,W,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,2014-2015,La Liga,Atlético Madrid,Barcelona,Away,1,3,L,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,2014-2015,La Liga,Atlético Madrid,Granada,Home,2,0,W,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2015-01-24,2014-2015,La Liga,Atlético Madrid,Rayo Vallecano,Home,3,1,W,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2015-01-31,2014-2015,La Liga,Atlético Madrid,Eibar,Away,3,1,W,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,2014-2015,La Liga,Atlético Madrid,Valencia,Home,1,1,D,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2015-03-14,2014-2015,La Liga,Atlético Madrid,Espanyol,Away,0,0,D,José María Giménez,N,CB,46,0,0,0,0,0,0,0,0,0,0,0
2015-03-21,2014-2015,La Liga,Atlético Madrid,Getafe,Home,2,0,W,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2015-04-04,2014-2015,La Liga,Atlético Madrid,Córdoba,Away,2,0,W,José María Giménez,Y,CB,90,0,1,0,0,0,0,0,0,0,0,0
2015-04-07,2014-2015,La Liga,Atlético Madrid,Real Sociedad,Home,2,0,W,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,2014-2015,La Liga,Atlético Madrid,Málaga,Away,2,2,D,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,2014-2015,La Liga,Atlético Madrid,Deportivo La Coruña,Away,2,1,W,José María Giménez,Y,CB,90,0,1,0,0,0,0,0,0,0,0,0
2015-04-25,2014-2015,La Liga,Atlético Madrid,Elche,Home,3,0,W,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2015-05-10,2014-2015,La Liga,Atlético Madrid,Levante,Away,2,2,D,José María Giménez,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,2014-2015,La Liga,Atlético Madrid,Barcelona,Home,0,1,L,José María Giménez,Y,CB,90,0,0,0,0,1,0,0,0,0,0,0
2015-08-22,2015-2016,La Liga,Atlético Madrid,Las Palmas,Home,1,0,W,José María Giménez,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2015-08-30,2015-2016,La Liga,Atlético Madrid,Sevilla,Away,3,0,W,José María Giménez,Y,CB,90,0,0,0,0,0,0,1,0,0,2,2
2015-09-12,2015-2016,La Liga,Atlético Madrid,Barcelona,Home,1,2,L,José María Giménez,Y,CB,90,0,0,0,0,1,0,1,1,0,2,4
2015-09-19,2015-2016,La Liga,Atlético Madrid,Eibar,Away,2,0,W,José María Giménez,Y,CB,90,0,0,0,1,0,0,1,0,0,0,3
2015-09-26,2015-2016,La Liga,Atlético Madrid,Villarreal,Away,0,1,L,José María Giménez,Y,CB,90,0,0,0,0,0,0,2,0,0,1,2
2015-10-04,2015-2016,La Liga,Atlético Madrid,Real Madrid,Home,1,1,D,José María Giménez,Y,CB,90,0,0,0,2,0,0,1,0,0,3,4
