Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2011-08-27,2011-2012,La Liga,Valencia,Racing Sant,Home,4,3,W 4-3,Juan Bernat,Y,,44,0,0,,,0,0,,,,,
2012-01-22,2011-2012,La Liga,Valencia,Osasuna,Away,1,1,D 1-1,Juan Bernat,N,,35,0,0,,,0,0,,,,,
2012-01-29,2011-2012,La Liga,Valencia,Racing Sant,Away,2,2,D 2-2,Juan Bernat,N,,21,0,0,,,0,0,,,,,
2012-02-05,2011-2012,La Liga,Valencia,Atlético Madrid,Away,0,0,D 0-0,Juan Bernat,N,,9,0,0,,,0,0,,,,,
2012-02-12,2011-2012,La Liga,Valencia,Sporting Gijón,Home,4,0,W 4-0,Juan Bernat,N,,10,0,0,,,0,0,,,,,
2012-04-22,2011-2012,La Liga,Valencia,Real Betis,Home,4,0,W 4-0,Juan Bernat,N,,11,0,0,,,0,0,,,,,
2012-05-12,2011-2012,La Liga,Valencia,Real Sociedad,Away,0,1,L 0-1,Juan Bernat,Y,,59,0,0,,,0,0,,,,,
2012-08-26,2012-2013,La Liga,Valencia,Dep. La Coruña,Home,3,3,D,Juan Bernat,N,,22,0,0,,,0,0,,,,,0
2012-10-20,2012-2013,La Liga,Valencia,Athletic Club,Home,3,2,W,Juan Bernat,Y,,71,0,0,,,0,0,,,,,0
2012-10-27,2012-2013,La Liga,Valencia,Real Betis,Away,0,1,L,Juan Bernat,Y,,61,0,0,,,0,0,,,,,0
2012-11-17,2012-2013,La Liga,Valencia,Espanyol,Home,2,1,W,Juan Bernat,N,,25,0,0,,,0,0,,,,,0
2012-12-01,2012-2013,La Liga,Valencia,Real Sociedad,Home,2,5,L,Juan Bernat,Y,,63,0,0,,,0,0,,,,,0
2012-12-16,2012-2013,La Liga,Valencia,Rayo Vallecano,Home,0,1,L,Juan Bernat,N,,29,0,0,,,0,0,,,,,0
2013-01-20,2012-2013,La Liga,Valencia,Real Madrid,Home,0,5,L,Juan Bernat,N,,20,0,0,,,0,0,,,,,0
2013-01-26,2012-2013,La Liga,Valencia,Dep. La Coruña,Away,3,2,W,Juan Bernat,N,,37,0,0,,,0,0,,,,,0
2013-02-03,2012-2013,La Liga,Valencia,Barcelona,Home,1,1,D,Juan Bernat,N,,68,0,0,,,0,0,,,,,0
2013-02-17,2012-2013,La Liga,Valencia,Mallorca,Home,2,0,W,Juan Bernat,Y,,34,0,0,,,1,0,,,,,0
2013-04-20,2012-2013,La Liga,Valencia,Málaga,Home,5,1,W,Juan Bernat,N,,8,0,0,,,0,0,,,,,0
2013-05-26,2012-2013,La Liga,Valencia,Granada,Home,1,0,W,Juan Bernat,Y,,64,0,0,,,0,0,,,,,0
2013-08-17,2013-2014,La Liga,Valencia,Málaga,Home,1,0,W 1-0,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2013-08-24,2013-2014,La Liga,Valencia,Espanyol,Away,1,3,L 1-3,Juan Bernat,N,,28,0,0,,,0,0,,,,,
2013-09-15,2013-2014,La Liga,Valencia,Real Betis,Away,1,3,L 1-3,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2013-09-22,2013-2014,La Liga,Valencia,Sevilla,Home,3,1,W 3-1,Juan Bernat,N,,21,0,0,,,0,0,,,,,
2013-09-25,2013-2014,La Liga,Valencia,Granada,Away,1,0,W 1-0,Juan Bernat,N,,27,0,0,,,0,0,,,,,
2013-09-28,2013-2014,La Liga,Valencia,Rayo Vallecano,Home,1,0,W 1-0,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2013-10-27,2013-2014,La Liga,Valencia,Villarreal,Away,1,4,L 1-4,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2013-10-30,2013-2014,La Liga,Valencia,Almería,Home,1,2,L 1-2,Juan Bernat,N,,51,0,0,,,0,0,,,,,
2013-11-03,2013-2014,La Liga,Valencia,Getafe,Away,1,0,W 1-0,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2013-11-10,2013-2014,La Liga,Valencia,Valladolid,Home,2,2,D 2-2,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2013-11-24,2013-2014,La Liga,Valencia,Elche,Away,1,2,L 1-2,Juan Bernat,N,,20,1,0,,,0,0,,,,,
2013-12-01,2013-2014,La Liga,Valencia,Osasuna,Home,3,0,W 3-0,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2013-12-15,2013-2014,La Liga,Valencia,Atlético Madrid,Away,0,3,L 0-3,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2013-12-22,2013-2014,La Liga,Valencia,Real Madrid,Home,2,3,L 2-3,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2014-01-04,2013-2014,La Liga,Valencia,Levante,Home,2,0,W 2-0,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2014-01-11,2013-2014,La Liga,Valencia,Celta Vigo,Away,1,2,L 1-2,Juan Bernat,N,,15,0,0,,,0,0,,,,,
2014-02-01,2013-2014,La Liga,Valencia,Barcelona,Away,3,2,W 3-2,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2014-02-08,2013-2014,La Liga,Valencia,Real Betis,Home,5,0,W 5-0,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2014-02-16,2013-2014,La Liga,Valencia,Sevilla,Away,0,0,D 0-0,Juan Bernat,Y,,90,0,0,,,1,0,,,,,
2014-02-23,2013-2014,La Liga,Valencia,Granada,Home,2,1,W 2-1,Juan Bernat,Y,,90,0,0,,,0,0,,,,,
2014-03-02,2013-2014,La Liga,Valencia,Rayo Vallecano,Away,0,1,L,Juan Bernat,Y,,90,0,0,,,0,0,,,,,0
2014-03-09,2013-2014,La Liga,Valencia,Athletic Club,Home,1,1,D,Juan Bernat,Y,,90,0,0,,,0,0,,,,,0
2014-03-16,2013-2014,La Liga,Valencia,Real Sociedad,Away,0,1,L,Juan Bernat,Y,,81,0,0,,,1,0,,,,,0
2014-03-23,2013-2014,La Liga,Valencia,Villarreal,Home,2,1,W,Juan Bernat,Y,,90,0,0,,,0,0,,,,,0
2014-03-27,2013-2014,La Liga,Valencia,Almería,Away,2,2,D,Juan Bernat,Y,,90,0,0,,,0,0,,,,,0
2014-03-30,2013-2014,La Liga,Valencia,Getafe,Home,1,3,L,Juan Bernat,Y,,90,0,0,,,0,0,,,,,0
2014-04-06,2013-2014,La Liga,Valencia,Valladolid,Away,0,0,D,Juan Bernat,Y,,90,0,0,,,0,0,,,,,0
2014-04-13,2013-2014,La Liga,Valencia,Elche,Home,2,1,W,Juan Bernat,Y,,90,0,0,,,0,0,,,,,0
2014-04-19,2013-2014,La Liga,Valencia,Osasuna,Away,1,1,D,Juan Bernat,Y,,90,0,0,,,0,0,,,,,0
2014-05-04,2013-2014,La Liga,Valencia,Real Madrid,Away,2,2,D,Juan Bernat,Y,,90,0,0,,,0,0,,,,,0
2014-05-10,2013-2014,La Liga,Valencia,Levante,Away,0,2,L,Juan Bernat,Y,,90,0,0,,,0,0,,,,,0
2014-05-17,2013-2014,La Liga,Valencia,Celta Vigo,Home,2,1,W,Juan Bernat,Y,,90,0,0,,,0,0,,,,,0
2014-08-22,2014-2015,Bundesliga,Bayern Munich,Wolfsburg,Home,2,1,W 2-1,Juan Bernat,Y,,90,0,0,2,1,0,0,1,0,2,3,2
2014-08-30,2014-2015,Bundesliga,Bayern Munich,Schalke 04,Away,1,1,D 1-1,Juan Bernat,N,,34,0,0,1,0,0,0,0,0,1,0,0
2014-09-13,2014-2015,Bundesliga,Bayern Munich,Stuttgart,Home,2,0,W 2-0,Juan Bernat,Y,,90,0,0,0,0,0,0,2,0,1,1,2
2014-09-20,2014-2015,Bundesliga,Bayern Munich,Hamburger SV,Away,0,0,D 0-0,Juan Bernat,Y,,90,0,0,4,1,0,0,3,0,1,2,0
2014-09-23,2014-2015,Bundesliga,Bayern Munich,Paderborn 07,Home,4,0,W 4-0,Juan Bernat,N,,15,0,0,0,0,0,0,0,0,2,1,1
2014-09-27,2014-2015,Bundesliga,Bayern Munich,Köln,Away,2,0,W 2-0,Juan Bernat,Y,,90,0,0,2,0,0,0,0,0,2,5,2
2014-10-04,2014-2015,Bundesliga,Bayern Munich,Hannover 96,Home,4,0,W 4-0,Juan Bernat,Y,,90,0,0,0,0,0,0,0,0,2,2,2
2014-10-18,2014-2015,Bundesliga,Bayern Munich,Werder Bremen,Home,6,0,W 6-0,Juan Bernat,N,,45,0,0,0,0,0,0,0,0,0,1,2
2014-10-26,2014-2015,Bundesliga,Bayern Munich,Gladbach,Away,0,0,D 0-0,Juan Bernat,Y,,90,0,0,2,0,0,0,1,0,3,4,2
2014-11-01,2014-2015,Bundesliga,Bayern Munich,Dortmund,Home,2,1,W 2-1,Juan Bernat,Y,,90,0,0,1,0,0,0,0,0,3,2,0
2014-11-08,2014-2015,Bundesliga,Bayern Munich,Frankfurt,Away,4,0,W 4-0,Juan Bernat,Y,,90,0,0,1,1,0,0,2,0,0,2,2
2014-11-22,2014-2015,Bundesliga,Bayern Munich,Hoffenheim,Home,4,0,W 4-0,Juan Bernat,Y,,90,0,0,1,0,0,0,0,0,2,2,0
2014-11-29,2014-2015,Bundesliga,Bayern Munich,Hertha BSC,Away,1,0,W 1-0,Juan Bernat,Y,,90,0,0,1,0,0,0,0,0,1,4,3
2014-12-06,2014-2015,Bundesliga,Bayern Munich,Leverkusen,Home,1,0,W 1-0,Juan Bernat,Y,,90,0,0,0,0,0,0,1,0,0,0,1
2014-12-13,2014-2015,Bundesliga,Bayern Munich,Augsburg,Away,4,0,W 4-0,Juan Bernat,Y,,90,0,0,1,0,0,0,0,0,1,3,1
2014-12-16,2014-2015,Bundesliga,Bayern Munich,Freiburg,Home,2,0,W 2-0,Juan Bernat,Y,,90,0,0,5,3,0,0,0,0,2,0,2
