Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-09-14,2024-2025,La Liga,Getafe,Sevilla,Away,0,1,L,Juan Berrocal,Y,CB,89,0,0,0,0,0,0,1,0,0,0,3
2024-09-22,2024-2025,La Liga,Getafe,Leganés,Home,1,1,D,Juan Berrocal,Y,CB,90,0,0,0,0,0,0,0,0,0,0,2
2024-09-25,2024-2025,La Liga,Getafe,Barcelona,Away,0,1,L,Juan Berrocal,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2024-09-28,2024-2025,La Liga,Getafe,Alavés,Home,2,0,W,Juan Berrocal,Y,CB,90,0,0,1,0,0,0,3,0,0,0,1
2024-10-05,2024-2025,La Liga,Getafe,Osasuna,Home,1,1,D,Juan Berrocal,Y,CB,82,0,0,0,0,0,0,1,0,0,0,1
2024-11-04,2024-2025,La Liga,Getafe,Celta Vigo,Away,0,1,L,Juan Berrocal,N,-,34,0,0,0,0,0,0,2,0,0,0,2
2024-12-01,2024-2025,La Liga,Getafe,Real Madrid,Away,0,2,L,Juan Berrocal,Y,CB,77,0,0,0,0,1,0,1,0,0,0,0
2024-12-15,2024-2025,La Liga,Getafe,Atlético Madrid,Away,0,1,L,Juan Berrocal,N,-,14,0,0,0,0,0,0,1,0,0,0,1
2024-12-21,2024-2025,La Liga,Getafe,Mallorca,Home,0,1,L,Juan Berrocal,N,-,45,0,0,1,0,1,0,3,0,0,0,1
2025-01-26,2024-2025,La Liga,Getafe,Real Sociedad,Away,3,0,W,Juan Berrocal,N,-,3,0,0,0,0,1,0,0,0,0,0,0
2025-02-01,2024-2025,La Liga,Getafe,Sevilla,Home,0,0,D,Juan Berrocal,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2025-03-02,2024-2025,La Liga,Getafe,Leganés,Away,0,1,L,Juan Berrocal,Y,CB,90,0,0,1,0,0,0,2,0,0,0,3
2025-03-16,2024-2025,La Liga,Getafe,Osasuna,Away,2,1,W,Juan Berrocal,N,-,6,0,0,0,0,0,0,0,0,0,0,1
2025-04-06,2024-2025,La Liga,Getafe,Valladolid,Away,4,0,W,Juan Berrocal,N,-,14,0,0,0,0,0,0,0,0,0,0,0
2025-04-23,2024-2025,La Liga,Getafe,Real Madrid,Home,0,1,L,Juan Berrocal,Y,CB,49,0,0,1,0,0,0,1,0,0,0,0
2025-05-02,2024-2025,La Liga,Getafe,Rayo Vallecano,Away,0,1,L,Juan Berrocal,Y,CB,90,0,0,0,0,0,0,0,0,0,0,2
2025-05-10,2024-2025,La Liga,Getafe,Valencia,Away,0,3,L,Juan Berrocal,N,-,34,0,0,0,0,1,0,1,0,0,0,0
2025-05-18,2024-2025,La Liga,Getafe,Mallorca,Away,2,1,W,Juan Berrocal,N,-,31,0,0,0,0,0,0,0,0,0,0,0
2025-05-24,2024-2025,La Liga,Getafe,Celta Vigo,Home,1,2,L,Juan Berrocal,Y,CB,45,0,0,1,0,1,0,1,0,0,0,2
