Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-05-19,2017-2018,La Liga,Málaga,Getafe,Home,0,1,L,Juan Cruz,N,-,7,0,0,0,0,0,0,0,0,0,2,0
2022-10-16,2022-2023,La Liga,Real Betis,Almería,Home,3,1,W,Juan Cruz,N,-,28,0,0,1,0,0,0,0,0,1,0,0
2022-10-19,2022-2023,La Liga,Real Betis,Cádiz,Away,0,0,D,Juan Cruz,N,-,23,0,0,0,0,0,0,0,0,3,0,0
2022-10-23,2022-2023,La Liga,Real Betis,Atlético Madrid,Home,1,2,L,Juan Cruz,N,-,26,0,0,1,0,0,0,0,0,2,0,0
2022-10-30,2022-2023,La Liga,Real Betis,Real Sociedad,Away,2,0,W,Juan Cruz,N,-,34,1,0,2,1,0,0,1,1,0,0,0
2022-11-10,2022-2023,La Liga,Real Betis,Valencia,Away,0,3,L,Juan Cruz,Y,AM,63,0,0,1,1,0,0,2,1,0,0,0
2023-06-04,2022-2023,La Liga,Real Betis,Valencia,Home,1,1,D,Juan Cruz,N,-,4,0,0,0,0,1,0,1,0,0,0,0
2023-08-20,2023-2024,La Liga,Real Betis,Atlético Madrid,Home,0,0,D,Juan Cruz,N,-,19,0,0,0,0,0,0,1,0,0,0,0
2023-09-02,2023-2024,La Liga,Real Betis,Rayo Vallecano,Home,1,0,W,Juan Cruz,N,-,15,0,0,1,0,0,0,2,0,0,0,0
2023-09-16,2023-2024,La Liga,Real Betis,Barcelona,Away,0,5,L,Juan Cruz,N,-,25,0,0,1,0,0,0,0,0,0,0,0
2023-09-28,2023-2024,La Liga,Real Betis,Granada,Away,1,1,D,Juan Cruz,N,-,10,0,0,0,0,0,0,0,0,0,0,0
2024-01-27,2023-2024,La Liga,Real Betis,Mallorca,Away,1,0,W,Juan Cruz,N,-,7,0,0,0,0,0,0,1,0,0,0,0
2024-08-17,2024-2025,La Liga,Leganés,Osasuna,Away,1,1,D,Juan Cruz,Y,AM,62,1,0,1,1,0,0,0,1,0,6,0
2024-08-25,2024-2025,La Liga,Leganés,Las Palmas,Home,2,1,W,Juan Cruz,N,-,29,1,0,1,1,0,0,0,0,3,0,1
2024-08-28,2024-2025,La Liga,Leganés,Valladolid,Away,0,0,D,Juan Cruz,Y,AM,65,0,0,0,0,0,0,2,0,2,0,1
2024-08-31,2024-2025,La Liga,Leganés,Mallorca,Home,0,1,L,Juan Cruz,N,-,45,0,0,2,1,0,0,1,0,5,0,0
2024-09-13,2024-2025,La Liga,Leganés,Real Betis,Away,0,2,L,Juan Cruz,Y,AM,45,0,0,0,0,1,0,1,1,0,1,1
2024-09-19,2024-2025,La Liga,Leganés,Athletic Club,Home,0,2,L,Juan Cruz,N,-,19,0,0,2,1,0,0,0,0,2,0,0
2024-09-22,2024-2025,La Liga,Leganés,Getafe,Away,1,1,D,Juan Cruz,Y,DM,84,0,0,2,0,0,0,0,0,3,1,0
2024-09-28,2024-2025,La Liga,Leganés,Rayo Vallecano,Away,1,1,D,Juan Cruz,Y,AM,84,1,0,2,2,0,0,0,0,6,0,1
2024-10-04,2024-2025,La Liga,Leganés,Valencia,Home,0,0,D,Juan Cruz,Y,AM,83,0,0,1,0,0,0,1,2,2,1,0
2024-10-20,2024-2025,La Liga,Leganés,Atlético Madrid,Away,1,3,L,Juan Cruz,Y,DM,67,0,0,2,0,0,0,0,1,0,0,1
2024-10-27,2024-2025,La Liga,Leganés,Celta Vigo,Home,3,0,W,Juan Cruz,N,-,22,0,1,1,0,0,0,0,1,5,1,0
2024-11-02,2024-2025,La Liga,Leganés,Girona,Away,3,4,L,Juan Cruz,Y,AM,90,1,0,3,2,0,0,1,1,7,0,0
2024-11-09,2024-2025,La Liga,Leganés,Sevilla,Home,1,0,W,Juan Cruz,Y,AM,75,0,0,1,0,0,0,0,1,4,0,0
2024-11-24,2024-2025,La Liga,Leganés,Real Madrid,Home,0,3,L,Juan Cruz,Y,DM,90,0,0,1,0,0,0,0,0,4,0,1
2024-11-30,2024-2025,La Liga,Leganés,Alavés,Away,1,1,D,Juan Cruz,Y,AM,62,0,0,0,0,0,0,0,1,2,0,0
2024-12-08,2024-2025,La Liga,Leganés,Real Sociedad,Home,0,3,L,Juan Cruz,N,-,35,0,0,0,0,0,0,1,1,0,0,0
2024-12-22,2024-2025,La Liga,Leganés,Villarreal,Home,2,5,L,Juan Cruz,N,-,28,0,0,0,0,0,0,1,1,2,0,0
2025-01-11,2024-2025,La Liga,Leganés,Espanyol,Away,1,1,D,Juan Cruz,Y,LB,90,0,0,1,1,0,0,0,3,3,0,1
2025-01-18,2024-2025,La Liga,Leganés,Atlético Madrid,Home,1,0,W,Juan Cruz,Y,LM,90,0,0,3,1,0,0,0,0,1,3,0
2025-01-26,2024-2025,La Liga,Leganés,Athletic Club,Away,0,0,D,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,1,2,0,0
2025-01-31,2024-2025,La Liga,Leganés,Rayo Vallecano,Home,0,1,L,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,1,4,6,2
2025-02-09,2024-2025,La Liga,Leganés,Valencia,Away,0,2,L,Juan Cruz,Y,RB,72,0,0,0,0,0,0,0,1,1,1,0
2025-02-15,2024-2025,La Liga,Leganés,Alavés,Home,3,3,D,Juan Cruz,Y,AM,71,0,0,1,0,1,0,1,0,0,0,0
2025-02-23,2024-2025,La Liga,Leganés,Real Sociedad,Away,0,3,L,Juan Cruz,Y,LB,52,0,0,1,0,0,0,1,1,1,0,0
2025-03-02,2024-2025,La Liga,Leganés,Getafe,Home,1,0,W,Juan Cruz,N,-,13,0,0,0,0,0,0,0,0,0,0,0
2025-03-08,2024-2025,La Liga,Leganés,Celta Vigo,Away,1,2,L,Juan Cruz,Y,RM,90,0,1,0,0,0,0,1,0,6,0,0
2025-03-16,2024-2025,La Liga,Leganés,Real Betis,Home,2,3,L,Juan Cruz,Y,RM,90,0,1,1,0,0,0,1,1,5,2,1
2025-03-29,2024-2025,La Liga,Leganés,Real Madrid,Away,2,3,L,Juan Cruz,Y,AM,85,0,0,1,1,0,0,0,1,0,0,0
2025-04-07,2024-2025,La Liga,Leganés,Osasuna,Home,1,1,D,Juan Cruz,Y,FW,90,0,0,3,1,0,0,0,1,4,0,0
2025-04-12,2024-2025,La Liga,Leganés,Barcelona,Home,0,1,L,Juan Cruz,N,-,32,0,0,0,0,0,0,0,0,0,0,0
2025-04-24,2024-2025,La Liga,Leganés,Girona,Home,1,1,D,Juan Cruz,Y,RM,75,0,0,0,0,0,0,0,0,0,2,0
2025-05-04,2024-2025,La Liga,Leganés,Sevilla,Away,2,2,D,Juan Cruz,Y,RM,65,0,0,0,0,0,0,0,1,0,4,0
2025-05-18,2024-2025,La Liga,Leganés,Las Palmas,Away,1,0,W,Juan Cruz,Y,LM,87,0,1,2,1,0,0,1,2,0,1,0
2025-05-24,2024-2025,La Liga,Leganés,Valladolid,Home,3,0,W,Juan Cruz,Y,RM,90,1,0,1,1,0,0,0,1,0,2,0
