Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-09-12,2020-2021,La Liga,Osasuna,Cádiz,Away,2,0,W,Juan Cruz,Y,LB,90,0,0,0,0,1,0,2,0,3,0,1
2020-09-19,2020-2021,La Liga,Osasuna,Getafe,Away,0,1,L,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,0,2,0
2020-09-17,2020-2021,La Liga,Osasuna,Levante,Home,1,3,L,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,1,0,1
2020-10-24,2020-2021,La Liga,Osasuna,Athletic Club,Home,1,0,W,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,4,2,3
2020-11-07,2020-2021,La Liga,Osasuna,Sevilla,Away,0,1,L,Juan Cruz,Y,LB,82,0,0,0,0,0,0,0,0,1,3,1
2020-11-20,2020-2021,La Liga,Osasuna,Huesca,Home,1,1,D,Juan Cruz,Y,LB,45,0,0,0,0,0,0,0,0,3,0,0
2020-11-29,2020-2021,La Liga,Osasuna,Barcelona,Away,0,4,L,Juan Cruz,N,,68,0,0,0,0,0,0,0,1,3,1,2
2020-12-11,2020-2021,La Liga,Osasuna,Valladolid,Away,2,3,L,Juan Cruz,Y,LB,82,0,0,0,0,0,0,1,0,2,4,0
2020-12-19,2020-2021,La Liga,Osasuna,Villarreal,Home,1,3,L,Juan Cruz,Y,LB,23,0,0,0,0,0,0,1,0,1,0,1
2020-12-22,2020-2021,La Liga,Osasuna,Elche,Away,2,2,D,Juan Cruz,Y,LB,90,0,0,0,0,0,0,1,0,1,1,1
2020-12-31,2020-2021,La Liga,Osasuna,Alavés,Home,1,1,D,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,1,2,0
2021-01-03,2020-2021,La Liga,Osasuna,Real Sociedad,Away,1,1,D,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,0,0,1
2021-01-09,2020-2021,La Liga,Osasuna,Real Madrid,Home,0,0,D,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,1,0,0
2021-01-12,2020-2021,La Liga,Osasuna,Granada,Away,0,2,L,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,2,2,1
2021-01-21,2020-2021,La Liga,Osasuna,Valencia,Away,1,1,D,Juan Cruz,Y,LB,90,0,0,0,0,1,0,2,0,0,0,0
2021-01-24,2020-2021,La Liga,Osasuna,Granada,Home,3,1,W,Juan Cruz,N,,45,0,0,1,0,0,0,0,0,0,1,0
2021-02-01,2020-2021,La Liga,Osasuna,Real Betis,Away,0,1,L,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,2,0,1
2021-02-14,2020-2021,La Liga,Osasuna,Levante,Away,1,0,W,Juan Cruz,Y,LB,90,0,0,0,0,0,0,1,0,1,1,0
2021-02-27,2020-2021,La Liga,Osasuna,Alavés,Away,1,0,W,Juan Cruz,Y,LB,90,0,0,0,0,1,0,1,0,1,2,0
2021-03-20,2020-2021,La Liga,Osasuna,Huesca,Away,0,0,D,Juan Cruz,Y,LB,88,0,0,0,0,0,0,1,0,2,2,3
2021-04-03,2020-2021,La Liga,Osasuna,Getafe,Home,0,0,D,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,2,1,0
2021-04-11,2020-2021,La Liga,Osasuna,Villarreal,Away,2,1,W,Juan Cruz,Y,LB,60,0,0,0,0,0,0,0,0,3,1,0
2021-04-25,2020-2021,La Liga,Osasuna,Celta Vigo,Away,1,2,L,Juan Cruz,Y,LB,45,0,0,0,0,1,0,1,1,1,0,0
2021-05-08,2020-2021,La Liga,Osasuna,Athletic Club,Away,2,2,D,Juan Cruz,Y,LB,71,0,0,0,0,0,0,1,0,3,0,0
2021-05-11,2020-2021,La Liga,Osasuna,Cádiz,Home,3,2,W,Juan Cruz,N,,3,0,0,0,0,0,0,0,0,1,0,0
2021-05-16,2020-2021,La Liga,Osasuna,Atlético Madrid,Away,1,2,L,Juan Cruz,Y,CB,90,0,0,0,0,0,0,1,0,0,0,1
2021-10-17,2021-2022,La Liga,Osasuna,Villarreal,Away,2,1,W,Juan Cruz Armada,Y,CB,90,0,0,1,0,0,0,2,0,0,3,0
2021-10-22,2021-2022,La Liga,Osasuna,Granada,Home,1,1,D,Juan Cruz Armada,N,,12,0,0,0,0,0,0,0,0,0,1,0
2021-10-27,2021-2022,La Liga,Osasuna,Real Madrid,Away,0,0,D,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,1,0,0,1,1
2021-11-20,2021-2022,La Liga,Osasuna,Atlético Madrid,Away,0,1,L,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,1,0,0,1,0
2021-12-05,2021-2022,La Liga,Osasuna,Levante,Home,0,0,D,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2021-12-12,2021-2022,La Liga,Osasuna,Barcelona,Home,2,2,D,Juan Cruz Armada,Y,LB,90,0,0,0,0,1,0,1,0,3,1,1
2021-12-19,2021-2022,La Liga,Osasuna,Getafe,Away,0,1,L,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2022-01-03,2021-2022,La Liga,Osasuna,Athletic Club,Home,1,3,L,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,1,0,0,1,1
2022-01-09,2021-2022,La Liga,Osasuna,Cádiz,Home,2,0,W,Juan Cruz Armada,Y,CB,90,0,0,0,0,1,0,2,0,0,0,0
2022-01-19,2021-2022,La Liga,Osasuna,Celta Vigo,Away,0,2,L,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2022-01-23,2021-2022,La Liga,Osasuna,Granada,Away,2,0,W,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,1,0,0,3,0
2022-02-05,2021-2022,La Liga,Osasuna,Sevilla,Home,0,0,D,Juan Cruz Armada,Y,CB,81,0,0,0,0,0,0,1,0,0,0,0
2022-02-12,2021-2022,La Liga,Osasuna,Rayo Vallecano,Away,3,0,W,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,1,0,0,0,1
2022-02-19,2021-2022,La Liga,Osasuna,Atlético Madrid,Home,0,3,L,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,3,0,0,0,0
2022-02-27,2021-2022,La Liga,Osasuna,Real Sociedad,Away,0,1,L,Juan Cruz Armada,Y,CB,90,0,0,2,0,1,0,1,0,0,1,1
2022-03-05,2021-2022,La Liga,Osasuna,Villarreal,Home,1,0,W,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2022-03-13,2021-2022,La Liga,Osasuna,Barcelona,Away,0,4,L,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,0,0,0,3,1
2022-03-19,2021-2022,La Liga,Osasuna,Levante,Home,3,1,W,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,0,0,0,2,1
2022-04-03,2021-2022,La Liga,Osasuna,Real Betis,Away,1,4,L,Juan Cruz Armada,Y,CB,45,0,0,0,0,0,0,0,0,0,3,0
2022-05-01,2021-2022,La Liga,Osasuna,Elche,Away,1,1,D,Juan Cruz Armada,Y,CB,86,0,0,0,0,1,0,3,0,1,1,1
2022-05-08,2021-2022,La Liga,Osasuna,Espanyol,Home,1,1,D,Juan Cruz Armada,Y,LB,90,0,0,0,0,0,0,1,0,2,1,0
2022-05-11,2021-2022,La Liga,Osasuna,Getafe,Home,1,1,D,Juan Cruz Armada,Y,LB,90,0,0,0,0,0,0,0,0,2,3,1
2022-05-15,2021-2022,La Liga,Osasuna,Athletic Club,Away,0,2,L,Juan Cruz Armada,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2022-08-12,2022-2023,La Liga,Osasuna,Sevilla,Home,2,1,W,Juan Cruz,Y,LB,90,0,0,0,0,0,0,2,0,1,0,1
2022-08-20,2022-2023,La Liga,Osasuna,Cádiz,Home,2,0,W,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,3,0,1
2022-08-26,2022-2023,La Liga,Osasuna,Real Betis,Away,0,1,L,Juan Cruz,Y,LB,90,0,0,0,0,0,0,1,0,1,0,0
2022-09-04,2022-2023,La Liga,Osasuna,Rayo Vallecano,Home,2,1,W,Juan Cruz,Y,LB,90,0,0,0,0,1,0,2,0,2,0,0
2022-09-12,2022-2023,La Liga,Osasuna,Almería,Away,1,0,W,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,6,1,0
2022-09-18,2022-2023,La Liga,Osasuna,Getafe,Home,0,2,L,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,2,1,1
2022-10-02,2022-2023,La Liga,Osasuna,Real Madrid,Away,1,1,D,Juan Cruz,Y,LB,90,0,0,0,0,0,0,0,0,0,1,0
2022-10-07,2022-2023,La Liga,Osasuna,Valencia,Home,1,2,L,Juan Cruz,Y,LB,90,0,0,1,0,0,0,0,1,0,1,1
2022-10-17,2022-2023,La Liga,Osasuna,Villarreal,Away,0,2,L,Juan Cruz,Y,LB,90,0,0,0,0,1,0,1,0,4,3,2
