Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-11-03,2018-2019,Premier League,Tottenham,Wolves,Away,3,2,W,Juan Foyth,Y,CB,90,0,0,0,0,1,0,3,0,0,3,1
2018-11-10,2018-2019,Premier League,Tottenham,Crystal Palace,Away,1,0,W,Juan Foyth,Y,CB,90,1,0,1,1,0,0,1,0,0,0,3
2018-11-24,2018-2019,Premier League,Tottenham,Chelsea,Home,3,1,W,Juan Foyth,Y,CB,90,0,0,1,0,0,0,2,0,0,2,1
2018-12-02,2018-2019,Premier League,Tottenham,Arsenal,Away,2,4,L,Juan Foyth,Y,CB,90,0,0,0,0,0,0,2,0,0,3,2
2018-12-05,2018-2019,Premier League,Tottenham,Southampton,Home,3,1,W,Juan Foyth,Y,CB,90,0,0,0,0,0,0,1,0,0,1,1
2018-12-26,2018-2019,Premier League,Tottenham,Bournemouth,Home,5,0,W,Juan Foyth,Y,CB,90,0,0,0,0,0,0,1,0,0,2,2
2019-02-23,2018-2019,Premier League,Tottenham,Burnley,Away,1,2,L,Juan Foyth,Y,CB,75,0,0,1,0,1,0,2,0,0,0,0
2019-04-13,2018-2019,Premier League,Tottenham,Huddersfield,Home,4,0,W,Juan Foyth,Y,CB,90,0,0,0,0,1,0,0,0,1,1,0
2019-04-20,2018-2019,Premier League,Tottenham,Manchester City,Away,0,1,L,Juan Foyth,Y,RB,90,0,0,0,0,0,0,3,0,1,3,0
2019-04-23,2018-2019,Premier League,Tottenham,Brighton,Home,1,0,W,Juan Foyth,N,,1,0,0,0,0,0,0,0,0,0,0,1
2019-04-27,2018-2019,Premier League,Tottenham,West Ham,Home,0,1,L,Juan Foyth,Y,RB,90,0,0,1,0,0,0,0,0,0,4,0
2019-05-04,2018-2019,Premier League,Tottenham,Bournemouth,Away,0,1,L,Juan Foyth,N,,2,0,0,0,0,0,1,1,0,0,0,0
