Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-12-21,2021-2022,La Liga,Sevilla,Barcelona,Home,1,1,D,Juanlu Sánchez,N,,5,0,0,0,0,1,0,1,0,0,0,0
2023-08-11,2023-2024,La Liga,Sevilla,Valencia,Home,1,2,L,Juanlu Sánchez,N,,22,0,0,0,0,0,0,0,0,1,0,0
2023-09-23,2023-2024,La Liga,Sevilla,Osasuna,Away,0,0,D,Juanlu Sánchez,Y,RB,90,0,0,1,0,0,0,0,0,7,0,0
2023-09-26,2023-2024,La Liga,Sevilla,Almería,Home,5,1,W,Juanlu Sánchez,N,,15,0,1,0,0,0,0,0,0,1,1,1
2023-09-29,2023-2024,La Liga,Sevilla,Barcelona,Away,0,1,L,Juanlu Sánchez,Y,RB,81,0,0,0,0,1,0,1,0,3,3,0
2023-10-07,2023-2024,La Liga,Sevilla,Rayo Vallecano,Home,2,2,D,Juanlu Sánchez,Y,RB,77,0,0,3,0,0,0,1,0,9,1,0
2023-10-28,2023-2024,La Liga,Sevilla,Cádiz,Away,2,2,D,Juanlu Sánchez,Y,RB,72,0,1,1,0,0,0,1,1,5,0,0
2023-11-12,2023-2024,La Liga,Sevilla,Real Betis,Home,1,1,D,Juanlu Sánchez,N,,4,0,0,0,0,0,0,0,0,1,1,0
2023-12-03,2023-2024,La Liga,Sevilla,Villarreal,Home,1,1,D,Juanlu Sánchez,Y,RB,90,0,0,0,0,1,0,1,0,14,1,2
2023-12-09,2023-2024,La Liga,Sevilla,Mallorca,Away,0,1,L,Juanlu Sánchez,Y,RB,90,0,0,2,1,0,0,0,0,3,1,0
2023-12-16,2023-2024,La Liga,Sevilla,Getafe,Home,0,3,L,Juanlu Sánchez,Y,RB,90,0,0,2,0,0,0,3,0,0,2,1
2023-12-19,2023-2024,La Liga,Sevilla,Granada,Away,3,0,W,Juanlu Sánchez,Y,RM,90,0,0,0,0,0,0,1,0,0,3,2
2023-12-23,2023-2024,La Liga,Sevilla,Atlético Madrid,Away,0,1,L,Juanlu Sánchez,Y,RM,90,0,0,0,0,0,0,0,0,7,6,0
2024-01-04,2023-2024,La Liga,Sevilla,Athletic Club,Home,0,2,L,Juanlu Sánchez,Y,RB,64,0,0,1,0,0,0,0,0,3,0,2
2024-01-12,2023-2024,La Liga,Sevilla,Alavés,Home,2,3,L,Juanlu Sánchez,N,,22,0,0,0,0,0,0,0,0,2,0,0
2024-01-28,2023-2024,La Liga,Sevilla,Osasuna,Home,1,1,D,Juanlu Sánchez,N,,20,0,0,0,0,0,0,0,0,1,0,0
2024-02-05,2023-2024,La Liga,Sevilla,Rayo Vallecano,Away,2,1,W,Juanlu Sánchez,N,,15,0,0,0,0,0,0,0,0,0,0,0
2024-02-11,2023-2024,La Liga,Sevilla,Atlético Madrid,Home,1,0,W,Juanlu Sánchez,N,,27,0,0,0,0,0,0,0,0,0,2,0
2024-02-17,2023-2024,La Liga,Sevilla,Valencia,Away,0,0,D,Juanlu Sánchez,N,,1,0,0,0,0,0,0,0,0,1,1,0
2024-02-25,2023-2024,La Liga,Sevilla,Real Madrid,Away,0,1,L,Juanlu Sánchez,N,,16,0,0,0,0,0,0,1,0,0,0,0
2024-03-02,2023-2024,La Liga,Sevilla,Real Sociedad,Home,3,2,W,Juanlu Sánchez,N,,45,0,0,0,0,0,0,0,0,1,2,0
2024-03-30,2023-2024,La Liga,Sevilla,Getafe,Away,1,0,W,Juanlu Sánchez,N,,10,0,0,0,0,0,0,0,0,0,2,1
2024-04-22,2023-2024,La Liga,Sevilla,Mallorca,Home,2,1,W,Juanlu Sánchez,N,,1,0,0,0,0,0,0,1,0,0,0,0
2024-04-28,2023-2024,La Liga,Sevilla,Real Betis,Away,1,1,D,Juanlu Sánchez,N,,6,0,0,0,0,0,0,1,0,0,1,0
2024-05-15,2023-2024,La Liga,Sevilla,Cádiz,Home,0,1,L,Juanlu Sánchez,N,,7,0,0,1,1,0,0,0,0,0,0,0
2024-05-19,2023-2024,La Liga,Sevilla,Athletic Club,Away,0,2,L,Juanlu Sánchez,N,,46,0,0,0,0,0,0,0,0,2,1,0
2024-05-26,2023-2024,La Liga,Sevilla,Barcelona,Home,1,2,L,Juanlu Sánchez,Y,DM,90,0,0,0,0,0,0,0,1,7,1,1
2024-08-16,2024-2025,La Liga,Sevilla,Las Palmas,Away,2,2,D,Juanlu Sánchez,Y,AM,82,1,0,2,1,1,0,1,0,3,1,2
2024-08-23,2024-2025,La Liga,Sevilla,Villarreal,Home,1,2,L,Juanlu Sánchez,Y,CM,70,0,0,0,0,0,0,0,0,2,0,0
2024-08-27,2024-2025,La Liga,Sevilla,Mallorca,Away,0,0,D,Juanlu Sánchez,N,,28,0,0,0,0,0,0,0,0,0,0,3
2024-09-01,2024-2025,La Liga,Sevilla,Girona,Home,0,2,L,Juanlu Sánchez,Y,AM,64,0,0,0,0,0,0,0,0,1,1,0
2024-09-14,2024-2025,La Liga,Sevilla,Getafe,Home,1,0,W,Juanlu Sánchez,N,,19,0,0,0,0,2,1,2,0,0,1,0
2024-09-29,2024-2025,La Liga,Sevilla,Athletic Club,Away,1,1,D,Juanlu Sánchez,N,,45,0,0,0,0,0,0,1,0,1,2,1
2024-10-25,2024-2025,La Liga,Sevilla,Espanyol,Away,2,0,W,Juanlu Sánchez,Y,AM,80,0,1,2,0,0,0,0,0,0,0,0
2024-11-03,2024-2025,La Liga,Sevilla,Real Sociedad,Home,0,2,L,Juanlu Sánchez,Y,AM,72,0,0,0,0,0,0,2,0,0,0,0
2024-11-09,2024-2025,La Liga,Sevilla,Leganés,Away,0,1,L,Juanlu Sánchez,N,,3,0,0,0,0,0,0,0,0,1,1,0
2024-11-24,2024-2025,La Liga,Sevilla,Rayo Vallecano,Home,1,0,W,Juanlu Sánchez,N,,11,0,0,1,0,0,0,0,0,0,0,0
2024-12-02,2024-2025,La Liga,Sevilla,Osasuna,Home,1,1,D,Juanlu Sánchez,N,,16,0,0,0,0,0,0,0,0,1,0,0
