Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-01-13,2023-2024,La Liga,Las Palmas,Villarreal,Home,3,0,W,Juanma Herzog,Y,CB,90,1,0,1,1,1,0,1,0,0,2,1
2024-01-20,2023-2024,La Liga,Las Palmas,Rayo Vallecano,Away,2,0,W,Juanma Herzog,Y,CB,90,0,0,0,0,0,0,0,0,0,2,0
2024-01-27,2023-2024,La Liga,Las Palmas,Real Madrid,Home,1,2,L,Juanma Herzog,N,,22,0,0,0,0,0,0,0,0,0,0,0
2024-04-20,2023-2024,La Liga,Las Palmas,Celta Vigo,Away,1,4,L,Juanma Herzog,Y,CB,90,1,0,2,2,0,0,0,0,0,1,0
2024-09-21,2024-2025,La Liga,Las Palmas,Osasuna,Away,1,2,L,Juanma Herzog,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2024-09-26,2024-2025,La Liga,Las Palmas,Real Betis,Home,1,1,D,Juanma Herzog,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2024-09-30,2024-2025,La Liga,Las Palmas,Villarreal,Away,1,3,L,Juanma Herzog,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2024-10-05,2024-2025,La Liga,Las Palmas,Celta Vigo,Home,0,1,L,Juanma Herzog,Y,CB,90,0,0,2,0,0,0,1,0,0,0,2
2024-10-21,2024-2025,La Liga,Las Palmas,Valencia,Away,3,2,W,Juanma Herzog,N,,17,0,0,0,0,0,0,0,0,0,0,0
2024-12-15,2024-2025,La Liga,Las Palmas,Real Sociedad,Away,0,0,D,Juanma Herzog,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2025-01-12,2024-2025,La Liga,Las Palmas,Getafe,Home,1,2,L,Juanma Herzog,Y,RB,45,0,0,0,0,0,0,0,0,0,2,2
2025-01-19,2024-2025,La Liga,Las Palmas,Real Madrid,Away,1,4,L,Juanma Herzog,Y,CB,45,0,0,0,0,0,0,0,0,0,2,3
2025-02-08,2024-2025,La Liga,Las Palmas,Villarreal,Home,1,2,L,Juanma Herzog,N,,6,0,0,2,0,0,0,0,0,0,0,0
2025-02-16,2024-2025,La Liga,Las Palmas,Mallorca,Away,1,3,L,Juanma Herzog,N,,4,0,0,0,0,0,0,0,0,0,0,1
2025-02-28,2024-2025,La Liga,Las Palmas,Valladolid,Away,1,1,D,Juanma Herzog,N,,59,0,0,0,0,0,0,0,0,0,0,1
2025-03-09,2024-2025,La Liga,Las Palmas,Real Betis,Away,0,1,L,Juanma Herzog,Y,CB,90,0,0,1,0,1,0,1,0,0,1,2
2025-03-14,2024-2025,La Liga,Las Palmas,Alavés,Home,2,2,D,Juanma Herzog,Y,CB,90,0,0,0,0,0,0,1,0,0,2,1
2025-03-31,2024-2025,La Liga,Las Palmas,Celta Vigo,Away,1,1,D,Juanma Herzog,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2025-04-06,2024-2025,La Liga,Las Palmas,Real Sociedad,Home,1,3,L,Juanma Herzog,Y,CB,70,0,0,1,0,0,0,0,0,0,0,2
2025-05-09,2024-2025,La Liga,Las Palmas,Rayo Vallecano,Home,0,1,L,Juanma Herzog,Y,CB,90,0,0,3,0,0,0,0,0,0,0,1
2025-05-13,2024-2025,La Liga,Las Palmas,Sevilla,Away,0,1,L,Juanma Herzog,Y,CB,90,0,0,0,0,0,0,1,0,0,0,2
2025-05-18,2024-2025,La Liga,Las Palmas,Leganés,Home,0,1,L,Juanma Herzog,Y,CB,90,0,0,1,1,0,0,2,0,0,0,0
2025-05-24,2024-2025,La Liga,Las Palmas,Espanyol,Away,0,2,L,Juanma Herzog,Y,CB,79,0,0,1,1,0,0,0,0,0,1,1
