Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-01-13,2017-2018,Ligue 1,Bordeaux,Troyes,Away,1,0,W,Jules Koundé,Y,CB,90,0,0,1,0,0,0,0,1,0,2,0
2018-01-16,2017-2018,Ligue 1,Bordeaux,Caen,Home,0,2,L,Jules Koundé,Y,CB,90,0,0,1,0,0,0,0,0,0,0,1
2018-01-20,2017-2018,Ligue 1,Bordeaux,Nantes,Away,1,0,W,Jules Koundé,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2018-01-28,2017-2018,Ligue 1,Bordeaux,Lyon,Home,3,1,W,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,0,0,2,2
2018-02-03,2017-2018,Ligue 1,Bordeaux,Strasbourg,Away,2,0,W,Jules Koundé,Y,CB,90,0,0,1,0,0,0,1,0,0,1,3
2018-02-10,2017-2018,Ligue 1,Bordeaux,Amiens,Home,3,2,W,Jules Koundé,Y,CB,90,1,0,2,1,0,0,0,1,0,1,1
2018-02-18,2017-2018,Ligue 1,Bordeaux,Marseille,Away,0,1,L,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,0,0,2,1
2018-03-02,2017-2018,Ligue 1,Bordeaux,Monaco,Away,1,2,L,Jules Koundé,N,CB,59,0,0,0,0,0,0,0,0,0,1,1
2018-03-10,2017-2018,Ligue 1,Bordeaux,Angers,Home,0,0,D,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2018-03-17,2017-2018,Ligue 1,Bordeaux,Rennes,Home,0,2,L,Jules Koundé,Y,CB,90,0,0,0,0,0,0,2,0,1,1,0
2018-04-01,2017-2018,Ligue 1,Bordeaux,Guingamp,Away,1,2,L,Jules Koundé,Y,CB,90,0,0,0,0,0,0,1,1,0,2,1
2018-04-07,2017-2018,Ligue 1,Bordeaux,Lille,Home,2,1,W,Jules Koundé,Y,CB,90,0,0,1,1,0,0,0,1,0,2,0
2018-04-15,2017-2018,Ligue 1,Bordeaux,Montpellier,Away,3,1,W,Jules Koundé,Y,CB,90,0,0,0,0,1,0,1,0,0,1,1
2018-04-22,2017-2018,Ligue 1,Bordeaux,Paris Saint-Germain,Home,0,1,L,Jules Koundé,Y,CB,90,0,0,2,0,0,0,0,0,0,0,0
2018-04-28,2017-2018,Ligue 1,Bordeaux,Dijon,Home,3,1,W,Jules Koundé,Y,CB,90,0,0,0,0,0,0,1,0,0,1,1
2018-05-06,2017-2018,Ligue 1,Bordeaux,Saint-Étienne,Away,3,1,W,Jules Koundé,Y,CB,90,1,0,1,1,0,0,1,2,0,1,0
2018-05-12,2017-2018,Ligue 1,Bordeaux,Toulouse,Home,4,2,W,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2018-05-19,2017-2018,Ligue 1,Bordeaux,Metz,Away,4,0,W,Jules Koundé,Y,CB,90,0,0,1,0,0,0,1,0,0,0,0
2018-08-12,2018-2019,Ligue 1,Bordeaux,Strasbourg,Home,0,2,L,Jules Koundé,Y,CB,90,0,0,1,0,0,0,0,0,1,0,0
2018-08-19,2018-2019,Ligue 1,Bordeaux,Toulouse,Away,1,2,L,Jules Koundé,Y,CB,90,0,0,0,0,0,0,1,1,1,0,0
2018-08-26,2018-2019,Ligue 1,Bordeaux,Monaco,Home,2,1,W,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,0,0,2,1
2018-09-02,2018-2019,Ligue 1,Bordeaux,Rennes,Away,0,2,L,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,0,1,0,1
2018-09-16,2018-2019,Ligue 1,Bordeaux,Nîmes,Home,3,3,D,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2018-09-23,2018-2019,Ligue 1,Bordeaux,Guingamp,Away,3,1,W,Jules Koundé,Y,CB,90,0,1,0,0,0,0,1,0,0,1,1
2018-09-26,2018-2019,Ligue 1,Bordeaux,Lille,Home,1,0,W,Jules Koundé,Y,CB,90,0,0,1,0,0,0,0,0,0,1,3
2018-09-29,2018-2019,Ligue 1,Bordeaux,Reims,Away,0,0,D,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2018-10-07,2018-2019,Ligue 1,Bordeaux,Nantes,Home,3,0,W,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,1,0,0,1
2018-10-21,2018-2019,Ligue 1,Bordeaux,Montpellier,Away,0,2,L,Jules Koundé,Y,CB,90,0,0,0,0,0,0,2,2,0,1,1
2018-10-28,2018-2019,Ligue 1,Bordeaux,Nice,Home,0,1,L,Jules Koundé,Y,CB,90,0,0,2,0,0,0,1,0,0,0,0
2018-11-03,2018-2019,Ligue 1,Bordeaux,Lyon,Away,1,1,D,Jules Koundé,Y,CB,90,0,0,1,0,0,0,1,0,0,0,2
2018-11-11,2018-2019,Ligue 1,Bordeaux,Caen,Home,0,0,D,Jules Koundé,Y,CB,90,0,0,1,0,0,0,2,0,0,0,2
2018-11-24,2018-2019,Ligue 1,Bordeaux,Dijon,Away,0,0,D,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,2,0,0,0
2018-12-02,2018-2019,Ligue 1,Bordeaux,Paris Saint-Germain,Home,2,2,D,Jules Koundé,Y,CB,90,0,0,1,0,0,0,0,0,0,0,4
2018-12-05,2018-2019,Ligue 1,Bordeaux,Saint-Étienne,Home,3,2,W,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,0,0,0,3
2018-12-23,2018-2019,Ligue 1,Bordeaux,Amiens,Home,1,1,D,Jules Koundé,Y,CB,90,0,0,0,0,0,0,2,1,0,0,2
2019-01-12,2018-2019,Ligue 1,Bordeaux,Nice,Away,0,1,L,Jules Koundé,Y,CB,90,0,0,1,0,1,0,1,0,0,1,1
2019-01-15,2018-2019,Ligue 1,Bordeaux,Angers,Away,2,1,W,Jules Koundé,Y,CB,90,0,0,0,0,0,0,1,0,0,0,3
2019-01-20,2018-2019,Ligue 1,Bordeaux,Dijon,Home,1,0,W,Jules Koundé,Y,CB,90,0,0,0,0,0,0,1,0,0,1,1
2019-01-26,2018-2019,Ligue 1,Bordeaux,Strasbourg,Away,0,1,L,Jules Koundé,Y,CB,90,0,0,1,0,0,0,0,1,0,0,0
2019-02-05,2018-2019,Ligue 1,Bordeaux,Marseille,Away,0,1,L,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,1,0,2,2
2019-02-09,2018-2019,Ligue 1,Bordeaux,Paris Saint-Germain,Away,0,1,L,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2019-02-17,2018-2019,Ligue 1,Bordeaux,Toulouse,Home,2,1,W,Jules Koundé,Y,CB,90,0,0,0,0,0,0,2,1,0,0,2
2019-02-20,2018-2019,Ligue 1,Bordeaux,Guingamp,Home,0,0,D,Jules Koundé,Y,CB,90,0,0,2,0,0,0,0,1,1,2,0
2019-02-24,2018-2019,Ligue 1,Bordeaux,Nantes,Away,0,1,L,Jules Koundé,Y,CB,90,0,0,0,0,1,0,1,0,0,1,1
2019-03-05,2018-2019,Ligue 1,Bordeaux,Montpellier,Home,1,2,L,Jules Koundé,Y,CB,90,0,0,1,1,0,0,2,0,0,0,0
2019-03-09,2018-2019,Ligue 1,Bordeaux,Monaco,Away,1,1,D,Jules Koundé,Y,CB,90,0,0,1,0,0,0,0,1,0,2,1
2019-03-17,2018-2019,Ligue 1,Bordeaux,Rennes,Home,1,1,D,Jules Koundé,Y,CB,90,0,0,0,0,0,0,0,1,0,3,3
2019-03-31,2018-2019,Ligue 1,Bordeaux,Amiens,Away,0,0,D,Jules Koundé,Y,RB,90,0,0,0,0,0,0,1,1,0,3,1
2019-04-05,2018-2019,Ligue 1,Bordeaux,Marseille,Home,2,0,W,Jules Koundé,Y,RB,90,0,0,0,0,1,0,1,1,0,1,1
