Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,SoTA,GA,Saves,Save%,CleanSheet
2024-08-19,2024-25,La Liga,Valladolid,Espanyol,Home,1,0,W,Karl Jakob Hein,Y,GK,90,2,0,2,100,1
2024-08-25,2024-25,La Liga,Valladolid,Real Madrid,Away,0,3,L,Karl Jakob Hein,Y,GK,90,9,3,6,66.7,0
2024-08-28,2024-25,La Liga,Valladolid,Leganés,Home,0,0,D,Karl Jakob Hein,Y,GK,90,1,0,1,100,1
2024-08-31,2024-25,La Liga,Valladolid,Barcelona,Away,0,7,L,Karl Jakob Hein,Y,GK,90,11,7,4,36.4,0
2024-09-15,2024-25,La Liga,Valladolid,Celta Vigo,Away,1,3,L,Karl Jakob Hein,Y,GK,90,9,3,6,66.7,0
2024-09-21,2024-25,La Liga,Valladolid,Real Sociedad,Home,0,0,D,Karl Jakob Hein,Y,GK,90,3,0,3,100,1
2024-09-24,2024-25,La Liga,Valladolid,Sevilla,Away,1,2,L,Karl Jakob Hein,Y,GK,90,6,2,4,66.7,0
2024-09-27,2024-25,La Liga,Valladolid,Mallorca,Home,1,2,L,Karl Jakob Hein,Y,GK,90,6,2,4,66.7,0
2024-10-05,2024-25,La Liga,Valladolid,Rayo Vallecano,Home,1,2,L,Karl Jakob Hein,Y,GK,90,3,2,1,33.3,0
2024-10-18,2024-25,La Liga,Valladolid,Alavés,Away,3,2,W,Karl Jakob Hein,Y,GK,90,4,2,2,50,0
2024-10-26,2024-25,La Liga,Valladolid,Villarreal,Home,1,2,L,Karl Jakob Hein,Y,GK,90,9,2,7,77.8,0
2024-11-02,2024-25,La Liga,Valladolid,Osasuna,Away,0,1,L,Karl Jakob Hein,Y,GK,90,3,1,3,100,0
2024-11-10,2024-25,La Liga,Valladolid,Athletic Club,Home,1,1,D,Karl Jakob Hein,Y,GK,90,1,1,0,0,0
2024-11-22,2024-25,La Liga,Valladolid,Getafe,Away,0,2,L,Karl Jakob Hein,Y,GK,90,5,2,3,60,0
2024-11-30,2024-25,La Liga,Valladolid,Atlético Madrid,Home,0,5,L,Karl Jakob Hein,Y,GK,90,9,5,4,44.4,0
2024-12-07,2024-25,La Liga,Valladolid,Las Palmas,Away,1,2,L,Karl Jakob Hein,Y,GK,90,5,2,3,60,0
2024-12-13,2024-25,La Liga,Valladolid,Valencia,Home,1,0,W,Karl Jakob Hein,Y,GK,90,1,0,1,100,1
2024-12-20,2024-25,La Liga,Valladolid,Girona,Away,0,3,L,Karl Jakob Hein,Y,GK,90,7,3,4,57.1,0
2025-01-11,2024-25,La Liga,Valladolid,Real Betis,Home,1,0,W,Karl Jakob Hein,Y,GK,90,3,0,3,100,1
2025-01-17,2024-25,La Liga,Valladolid,Espanyol,Away,1,2,L,Karl Jakob Hein,Y,GK,90,4,2,2,50,0
2025-01-25,2024-25,La Liga,Valladolid,Real Madrid,Home,0,3,L,Karl Jakob Hein,Y,GK,90,3,1,1,33.3,0
2025-02-01,2024-25,La Liga,Valladolid,Villarreal,Away,1,5,L,Karl Jakob Hein,Y,GK,90,8,5,3,37.5,0
2025-02-07,2024-25,La Liga,Valladolid,Rayo Vallecano,Away,0,1,L,Karl Jakob Hein,Y,GK,90,5,1,4,80,0
2025-02-16,2024-25,La Liga,Valladolid,Sevilla,Home,0,4,L,Karl Jakob Hein,Y,GK,90,6,4,2,33.3,0
2025-02-23,2024-25,La Liga,Valladolid,Athletic Club,Away,1,7,L,Karl Jakob Hein,Y,GK,90,16,7,9,56.3,0
2025-02-28,2024-25,La Liga,Valladolid,Las Palmas,Home,1,1,D,Karl Jakob Hein,Y,GK,90,3,1,2,66.7,0
2025-03-08,2024-25,La Liga,Valladolid,Valencia,Away,1,2,L,Karl Jakob Hein,Y,GK,90,4,2,2,50,0
2025-03-15,2024-25,La Liga,Valladolid,Celta Vigo,Home,0,1,L,Karl Jakob Hein,Y,GK,90,1,1,0,0,0
2025-05-13,2024-25,La Liga,Valladolid,Girona,Home,0,1,L,Karl Jakob Hein,Y,GK,90,5,1,4,80,0
2025-05-18,2024-25,La Liga,Valladolid,Alavés,Home,0,1,L,Karl Jakob Hein,Y,GK,90,3,1,3,100,0
2025-05-24,2024-25,La Liga,Valladolid,Leganés,Away,0,3,L,Karl Jakob Hein,Y,GK,90,6,3,3,50,0
