Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-06-20,2019-2020,La Liga,Valladolid,Atlético Madrid,Away,0,1,L,Kike Pérez,N,N/A,16,0,0,0,0,0,0,1,0,0,0,0
2020-06-23,2019-2020,La Liga,Valladolid,Getafe,Home,1,1,D,Kike Pérez,N,N/A,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,2019-2020,La Liga,Valladolid,Sevilla,Away,1,1,D,Kike Pérez,N,N/A,15,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,2019-2020,La Liga,Valladolid,Alavés,Home,1,0,W,Kike Pérez,N,N/A,13,0,0,0,0,0,0,0,0,0,0,0
2020-07-07,2019-2020,La Liga,Valladolid,Valencia,Away,1,2,L,Kike Pérez,Y,DM,83,0,0,2,0,0,0,3,2,0,1,7
2020-07-11,2019-2020,La Liga,Valladolid,Barcelona,Home,0,1,L,Kike Pérez,Y,AM,90,0,0,3,0,1,0,5,3,0,1,2
2020-09-13,2020-2021,La Liga,Valladolid,Real Sociedad,Home,1,1,D,Kike Pérez,N,N/A,21,0,0,0,0,0,0,1,0,0,1,2
2020-09-20,2020-2021,La Liga,Valladolid,Real Betis,Away,0,2,L,Kike Pérez,N,N/A,45,0,0,2,1,0,0,2,2,0,0,3
2020-09-27,2020-2021,La Liga,Valladolid,Celta Vigo,Home,1,1,D,Kike Pérez,Y,CM,90,0,0,0,0,0,0,5,4,0,0,1
2020-09-30,2020-2021,La Liga,Valladolid,Real Madrid,Away,0,1,L,Kike Pérez,N,N/A,28,0,0,0,0,0,0,0,0,0,0,3
2020-10-03,2020-2021,La Liga,Valladolid,Eibar,Home,1,2,L,Kike Pérez,Y,CM,90,0,0,0,0,0,0,1,2,0,0,2
2020-10-18,2020-2021,La Liga,Valladolid,Huesca,Away,2,2,D,Kike Pérez,N,N/A,28,0,0,0,0,0,0,0,0,0,0,1
2020-10-25,2020-2021,La Liga,Valladolid,Alavés,Home,0,2,L,Kike Pérez,Y,CM,58,0,0,0,0,0,0,1,0,1,1,0
2020-11-02,2020-2021,La Liga,Valladolid,Villarreal,Away,0,2,L,Kike Pérez,N,N/A,13,0,0,2,0,0,0,0,0,1,0,0
2020-12-05,2020-2021,La Liga,Valladolid,Atlético Madrid,Away,0,2,L,Kike Pérez,Y,FW,61,0,0,1,0,0,0,1,3,0,0,1
2020-12-11,2020-2021,La Liga,Valladolid,Osasuna,Home,3,2,W,Kike Pérez,N,N/A,17,0,0,0,0,1,0,1,0,0,0,0
2020-12-22,2020-2021,La Liga,Valladolid,Barcelona,Home,0,3,L,Kike Pérez,N,N/A,34,0,0,1,1,0,0,1,0,0,0,1
2020-12-29,2020-2021,La Liga,Valladolid,Cádiz,Away,0,0,D,Kike Pérez,N,N/A,12,0,0,0,0,0,0,1,0,0,1,0
2021-01-02,2020-2021,La Liga,Valladolid,Getafe,Away,1,0,W,Kike Pérez,Y,AM,83,0,0,0,0,0,0,3,2,2,0,1
2021-01-10,2020-2021,La Liga,Valladolid,Valencia,Home,0,1,L,Kike Pérez,Y,CM,69,0,0,1,0,0,0,0,3,2,1,1
2021-01-19,2020-2021,La Liga,Valladolid,Elche,Home,2,2,D,Kike Pérez,Y,CM,56,0,0,0,0,0,0,3,2,0,1,0
2021-01-22,2020-2021,La Liga,Valladolid,Levante,Away,2,2,D,Kike Pérez,N,N/A,1,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,2020-2021,La Liga,Valladolid,Huesca,Home,1,3,L,Kike Pérez,Y,AM,90,0,0,2,1,0,0,1,1,1,4,0
2021-02-05,2020-2021,La Liga,Valladolid,Alavés,Away,0,1,L,Kike Pérez,Y,AM,63,0,0,0,0,0,0,1,1,0,0,1
2021-02-13,2020-2021,La Liga,Valladolid,Eibar,Away,1,1,D,Kike Pérez,Y,CM,90,0,0,0,0,1,0,3,0,1,1,1
2021-02-20,2020-2021,La Liga,Valladolid,Real Madrid,Home,0,1,L,Kike Pérez,Y,AM,83,0,0,3,1,0,0,2,1,1,2,0
2021-03-20,2020-2021,La Liga,Valladolid,Sevilla,Home,1,1,D,Kike Pérez,N,N/A,7,0,0,0,0,0,0,0,0,0,0,1
2021-05-09,2020-2021,La Liga,Valladolid,Valencia,Away,0,3,L,Kike Pérez,N,N/A,21,0,0,1,0,0,0,0,1,0,0,1
2021-05-16,2020-2021,La Liga,Valladolid,Real Sociedad,Away,1,4,L,Kike Pérez,Y,CM,90,0,0,2,0,1,0,4,3,1,2,1
2021-05-22,2020-2021,La Liga,Valladolid,Atlético Madrid,Home,1,2,L,Kike Pérez,N,N/A,9,0,0,0,0,0,0,0,0,0,0,0
2022-02-11,2021-2022,La Liga,Elche,Sevilla,Away,0,2,L,Kike Pérez,N,N/A,17,0,0,0,0,0,0,1,0,2,1,0
2022-02-18,2021-2022,La Liga,Elche,Rayo Vallecano,Home,2,1,W,Kike Pérez,N,N/A,29,0,0,0,0,0,0,2,0,0,1,1
2022-03-06,2021-2022,La Liga,Elche,Barcelona,Home,1,2,L,Kike Pérez,N,N/A,6,0,0,0,0,0,0,0,0,4,0,0
2022-03-19,2021-2022,La Liga,Elche,Valencia,Home,0,1,L,Kike Pérez,N,N/A,24,0,0,1,1,0,0,2,1,0,1,0
2022-04-10,2021-2022,La Liga,Elche,Real Sociedad,Home,1,2,L,Kike Pérez,N,N/A,10,0,0,0,0,0,0,0,0,1,0,0
2022-04-16,2021-2022,La Liga,Elche,Mallorca,Home,3,0,W,Kike Pérez,Y,RM,70,0,0,1,0,0,0,2,0,0,1,0
2022-04-19,2021-2022,La Liga,Elche,Real Betis,Away,1,0,W,Kike Pérez,Y,RM,86,0,0,1,0,1,0,4,1,1,0,1
2022-05-01,2021-2022,La Liga,Elche,Osasuna,Home,1,1,D,Kike Pérez,Y,RM,68,0,0,1,1,0,0,1,0,0,1,0
2022-05-07,2021-2022,La Liga,Elche,Cádiz,Away,0,3,L,Kike Pérez,Y,FW,80,0,0,1,1,0,0,2,1,0,0,0
2022-05-11,2021-2022,La Liga,Elche,Atlético Madrid,Home,0,2,L,Kike Pérez,N,N/A,33,0,0,2,0,0,0,0,0,0,0,0
