Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-09-10,2022-2023,La Liga,Sevilla,Espanyol,Away,3,2,W,Kike Salas,Y,CB,66,0,0,0,0,0,0,0,0,0,0,0
2022-09-18,2022-2023,La Liga,Sevilla,Villarreal,Away,1,1,D,Kike Salas,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2022-10-01,2022-2023,La Liga,Sevilla,Atlético Madrid,Home,0,2,L,Kike Salas,Y,CB,45,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,2022-2023,La Liga,Sevilla,Valencia,Home,1,1,D,Kike Salas,N,-,32,0,0,2,0,1,0,3,0,0,0,0
2022-11-09,2022-2023,La Liga,Sevilla,Real Sociedad,Home,1,2,L,Kike Salas,N,-,45,0,0,0,0,0,0,0,0,0,0,0
2022-12-30,2022-2023,La Liga,Sevilla,Celta Vigo,Away,1,1,D,Kike Salas,Y,CB,90,1,0,1,1,0,0,1,0,0,1,4
2023-08-21,2023-2024,La Liga,Sevilla,Alavés,Away,3,4,L,Kike Salas,Y,CB,90,0,0,0,0,0,0,1,0,0,3,1
2023-08-26,2023-2024,La Liga,Sevilla,Girona,Home,1,2,L,Kike Salas,N,,0,0,0,0,0,1,0,0,0,0,0,0
2023-09-23,2023-2024,La Liga,Sevilla,Osasuna,Away,0,0,D,Kike Salas,Y,LB,76,0,0,1,0,1,0,2,1,1,1,3
2023-09-26,2023-2024,La Liga,Sevilla,Almería,Home,5,1,W,Kike Salas,N,,7,1,0,1,1,0,0,1,0,0,1,0
2023-12-03,2023-2024,La Liga,Sevilla,Villarreal,Home,1,1,D,Kike Salas,N,,19,1,0,1,1,0,0,0,0,0,1,1
2023-12-09,2023-2024,La Liga,Sevilla,Mallorca,Away,0,1,L,Kike Salas,N,,3,0,0,0,0,0,0,1,0,0,0,0
2023-12-16,2023-2024,La Liga,Sevilla,Getafe,Home,0,3,L,Kike Salas,Y,CB,45,0,0,0,0,0,0,1,0,0,1,0
2023-12-19,2023-2024,La Liga,Sevilla,Granada,Away,3,0,W,Kike Salas,Y,CB,90,0,0,0,0,0,0,2,0,0,3,3
2023-12-23,2023-2024,La Liga,Sevilla,Atlético Madrid,Away,0,1,L,Kike Salas,Y,CB,90,0,0,1,0,1,0,1,0,0,2,1
2024-01-04,2023-2024,La Liga,Sevilla,Athletic Club,Home,0,2,L,Kike Salas,Y,CB,90,0,0,2,1,0,0,0,0,0,0,3
