Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2010-08-28,2010-2011,La Liga,Hércules,Athletic Club,Home,0,1,L,Kiko Femenía,N,N/A,34,0,0,0,0,0,0,0,0,0,0,0
2010-09-11,2010-2011,La Liga,Hércules,Barcelona,Away,2,0,W,Kiko Femenía,N,N/A,26,0,0,0,0,0,0,0,0,0,0,0
2010-09-19,2010-2011,La Liga,Hércules,Valencia,Home,1,2,L,Kiko Femenía,N,N/A,46,0,0,0,0,0,0,0,0,0,0,0
2010-09-22,2010-2011,La Liga,Hércules,Zaragoza,Away,0,0,D,Kiko Femenía,N,N/A,18,0,0,0,0,0,0,0,0,0,0,0
2010-09-26,2010-2011,La Liga,Hércules,Sevilla,Home,2,0,W,Kiko Femenía,Y,N/A,83,0,0,0,0,0,0,0,0,0,0,0
2010-10-03,2010-2011,La Liga,Hércules,Getafe,Away,0,3,L,Kiko Femenía,Y,N/A,64,0,0,0,0,0,0,0,0,0,0,0
2010-10-24,2010-2011,La Liga,Hércules,Almería,Away,1,1,D,Kiko Femenía,N,N/A,16,0,0,0,0,0,0,0,0,0,0,0
2010-11-07,2010-2011,La Liga,Hércules,Osasuna,Away,0,3,L,Kiko Femenía,Y,N/A,84,0,0,0,0,0,0,0,0,0,0,0
2010-11-14,2010-2011,La Liga,Hércules,Real Sociedad,Home,2,1,W,Kiko Femenía,Y,N/A,68,0,0,0,0,0,0,0,0,0,0,0
2010-11-21,2010-2011,La Liga,Hércules,Espanyol,Home,0,3,L,Kiko Femenía,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2010-11-28,2010-2011,La Liga,Hércules,Levante,Home,3,1,W,Kiko Femenía,N,N/A,46,0,0,0,0,0,0,0,0,0,0,0
2010-12-06,2010-2011,La Liga,Hércules,Deportivo La Coruña,Away,0,1,L,Kiko Femenía,N,N/A,30,0,0,0,0,0,0,0,0,0,0,0
2010-12-12,2010-2011,La Liga,Hércules,Málaga,Home,4,1,W,Kiko Femenía,N,N/A,31,1,0,0,0,0,0,0,0,0,0,0
2010-12-20,2010-2011,La Liga,Hércules,Racing Santander,Away,0,0,D,Kiko Femenía,Y,N/A,88,0,0,0,0,0,0,0,0,0,0,0
2011-01-03,2010-2011,La Liga,Hércules,Mallorca,Away,0,3,L,Kiko Femenía,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2011-01-15,2010-2011,La Liga,Hércules,Sporting Gijón,Away,0,2,L,Kiko Femenía,N,N/A,46,0,0,0,0,0,0,0,0,0,0,0
2011-01-29,2010-2011,La Liga,Hércules,Barcelona,Home,0,3,L,Kiko Femenía,Y,N/A,61,0,0,0,0,0,0,0,0,0,0,0
2011-02-06,2010-2011,La Liga,Hércules,Valencia,Away,0,2,L,Kiko Femenía,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2011-02-13,2010-2011,La Liga,Hércules,Zaragoza,Home,2,1,W,Kiko Femenía,Y,N/A,59,0,0,0,0,0,0,0,0,0,0,0
