Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-08-19,2016-2017,La Liga,Eibar,Dep. La Coruña,Away,1,2,L,Kiké,Y,FW,90,0,0,1,1,1,0,4,1,0,1,0
2016-08-27,2016-2017,La Liga,Eibar,Valencia,Home,1,0,W,Kiké,Y,FW,90,0,0,2,0,1,0,2,1,0,2,0
2016-09-11,2016-2017,La Liga,Eibar,Granada,Away,2,1,W,Kiké,Y,FW,45,0,0,1,1,0,0,0,0,0,1,0
2016-09-17,2016-2017,La Liga,Eibar,Sevilla,Home,1,1,D,Kiké,Y,AM,61,0,0,2,1,0,0,0,0,1,0,0
2016-09-24,2016-2017,La Liga,Eibar,Real Sociedad,Home,2,0,W,Kiké,Y,FW,62,0,0,1,1,1,0,1,1,1,0,0
2016-10-02,2016-2017,La Liga,Eibar,Real Madrid,Away,1,1,D,Kiké,N,,15,0,0,1,1,0,0,1,0,1,1,0
2016-10-22,2016-2017,La Liga,Eibar,Espanyol,Away,3,3,D,Kiké,Y,FW,88,1,1,2,1,1,0,3,1,0,2,1
2016-10-30,2016-2017,La Liga,Eibar,Villarreal,Home,2,1,W,Kiké,Y,FW,81,0,0,1,1,0,0,0,2,0,1,0
2016-11-05,2016-2017,La Liga,Eibar,Las Palmas,Away,0,1,L,Kiké,Y,FW,66,0,0,1,1,1,0,4,0,1,0,0
2016-11-25,2016-2017,La Liga,Eibar,Real Betis,Home,3,1,W,Kiké,N,,17,1,0,2,2,0,0,0,1,0,0,0
2016-12-04,2016-2017,La Liga,Eibar,Athletic Club,Away,1,3,L,Kiké,N,,8,0,0,0,0,0,0,1,0,0,0,0
2016-12-18,2016-2017,La Liga,Eibar,Leganés,Away,1,1,D,Kiké,N,,34,0,0,0,0,0,0,0,0,0,0,0
2017-03-13,2016-2017,La Liga,Eibar,Osasuna,Away,1,1,D,Kiké,N,,19,1,0,1,1,0,0,1,0,0,0,0
2017-03-18,2016-2017,La Liga,Eibar,Espanyol,Home,1,1,D,Kiké,Y,FW,74,1,0,4,3,0,0,0,0,0,0,0
2017-04-01,2016-2017,La Liga,Eibar,Villarreal,Away,3,2,W,Kiké,Y,FW,76,1,0,1,1,1,0,2,0,0,0,0
2017-04-06,2016-2017,La Liga,Eibar,Las Palmas,Home,3,1,W,Kiké,Y,FW,81,0,0,1,1,0,0,1,1,2,0,0
2017-04-09,2016-2017,La Liga,Eibar,Celta Vigo,Away,2,0,W,Kiké,Y,FW,84,1,0,1,1,0,0,0,0,1,0,0
2017-04-16,2016-2017,La Liga,Eibar,Real Betis,Away,0,2,L,Kiké,Y,FW,90,0,0,2,1,1,0,3,0,2,1,0
2017-04-24,2016-2017,La Liga,Eibar,Athletic Club,Home,0,1,L,Kiké,Y,FW,90,0,0,0,0,0,0,2,1,1,0,0
2017-04-27,2016-2017,La Liga,Eibar,Alavés,Away,0,0,D,Kiké,Y,FW,73,0,0,0,0,1,0,1,0,3,1,3
2017-04-30,2016-2017,La Liga,Eibar,Leganés,Home,2,0,W,Kiké,Y,FW,81,1,0,2,1,0,0,1,0,2,2,0
2017-05-06,2016-2017,La Liga,Eibar,Atlético Madrid,Away,0,1,L,Kiké,Y,FW,83,0,0,0,0,0,0,0,1,1,0,3
2017-05-14,2016-2017,La Liga,Eibar,Sporting Gijón,Home,0,1,L,Kiké,N,,33,0,0,0,0,0,0,0,0,2,0,0
2017-05-21,2016-2017,La Liga,Eibar,Barcelona,Away,2,4,L,Kiké,Y,FW,90,0,0,1,0,0,0,2,1,0,0,0
2017-08-21,2017-2018,La Liga,Eibar,Málaga,Away,1,0,W,Kiké,Y,FW,85,0,0,1,0,1,0,1,0,0,1,1
2017-08-27,2017-2018,La Liga,Eibar,Athletic Club,Home,0,1,L,Kiké,Y,FW,90,0,0,3,2,1,0,3,1,1,0,0
2017-09-09,2017-2018,La Liga,Eibar,Sevilla,Away,0,3,L,Kiké,Y,FW,90,0,0,1,1,0,0,1,0,0,0,1
2017-09-15,2017-2018,La Liga,Eibar,Leganés,Home,1,0,W,Kiké,Y,FW,76,0,0,0,0,0,0,4,1,0,1,0
2017-09-24,2017-2018,La Liga,Eibar,Celta Vigo,Home,0,4,L,Kiké,Y,FW,90,0,0,2,0,0,0,1,0,0,1,0
2017-10-01,2017-2018,La Liga,Eibar,Villarreal,Away,0,3,L,Kiké,Y,FW,66,0,0,3,0,0,0,0,0,0,0,1
2017-10-15,2017-2018,La Liga,Eibar,Dep. La Coruña,Home,0,0,D,Kiké,Y,FW,84,0,0,2,2,0,0,0,0,2,0,0
2017-10-22,2017-2018,La Liga,Eibar,Real Madrid,Away,0,3,L,Kiké,N,,28,0,0,1,0,0,0,0,1,0,0,0
2017-10-29,2017-2018,La Liga,Eibar,Levante,Home,2,2,D,Kiké,Y,FW,59,0,0,1,0,0,0,2,0,1,0,0
2017-11-05,2017-2018,La Liga,Eibar,Real Sociedad,Away,1,3,L,Kiké,Y,FW,58,0,0,2,1,0,0,1,0,1,0,0
2017-11-20,2017-2018,La Liga,Eibar,Real Betis,Home,5,0,W,Kiké,N,,10,0,0,1,0,0,0,0,0,0,0,0
2017-11-25,2017-2018,La Liga,Eibar,Alavés,Away,2,1,W,Kiké,N,,1,0,0,0,0,0,0,0,0,0,0,0
2017-12-03,2017-2018,La Liga,Eibar,Espanyol,Home,3,1,W,Kiké,Y,FW,86,1,0,1,1,1,0,2,1,0,1,1
2017-12-09,2017-2018,La Liga,Eibar,Getafe,Away,0,0,D,Kiké,Y,FW,90,0,0,1,1,0,0,2,1,1,0,2
2017-12-16,2017-2018,La Liga,Eibar,Valencia,Home,2,1,W,Kiké,N,,19,0,0,2,0,0,0,0,0,0,0,0
2017-12-21,2017-2018,La Liga,Eibar,Girona,Home,4,1,W,Kiké,Y,FW,78,0,0,2,1,0,0,1,0,0,2,1
2018-01-13,2017-2018,La Liga,Eibar,Atlético Madrid,Home,0,1,L,Kiké,N,,27,0,0,3,1,0,0,0,0,1,0,0
2018-01-22,2017-2018,La Liga,Eibar,Málaga,Home,1,1,D,Kiké,Y,FW,90,1,0,4,2,0,0,2,0,0,0,1
2018-01-26,2017-2018,La Liga,Eibar,Athletic Club,Away,1,1,D,Kiké,Y,FW,90,1,0,3,2,0,0,4,1,1,0,1
2018-02-03,2017-2018,La Liga,Eibar,Sevilla,Home,5,1,W,Kiké,Y,FW,90,1,0,2,2,0,0,3,1,0,1,0
2018-02-10,2017-2018,La Liga,Eibar,Leganés,Away,1,0,W,Kiké,Y,FW,90,0,0,2,1,0,0,1,0,1,0,0
2018-02-17,2017-2018,La Liga,Eibar,Barcelona,Home,0,2,L,Kiké,Y,FW,90,0,0,2,1,0,0,1,1,0,1,0
2018-02-24,2017-2018,La Liga,Eibar,Celta Vigo,Away,0,2,L,Kiké,Y,FW,90,0,0,3,0,0,0,1,0,2,0,0
2018-02-28,2017-2018,La Liga,Eibar,Villarreal,Home,1,0,W,Kiké,Y,FW,90,1,0,5,1,0,0,3,3,1,0,0
2018-03-03,2017-2018,La Liga,Eibar,Dep. La Coruña,Away,1,1,D,Kiké,N,,31,0,0,1,0,0,0,0,0,0,0,0
2018-03-10,2017-2018,La Liga,Eibar,Real Madrid,Home,1,2,L,Kiké,Y,FW,90,0,0,2,1,0,0,2,0,0,1,0
2018-03-16,2017-2018,La Liga,Eibar,Levante,Away,1,2,L,Kiké,Y,FW,90,0,0,4,1,0,0,2,1,0,0,0
2018-04-01,2017-2018,La Liga,Eibar,Real Sociedad,Home,0,0,D,Kiké,Y,FW,90,0,0,3,0,0,0,2,0,3,0,0
2018-04-07,2017-2018,La Liga,Eibar,Real Betis,Away,0,2,L,Kiké,Y,FW,77,0,0,1,0,0,0,2,1,1,0,0
2018-04-15,2017-2018,La Liga,Eibar,Alavés,Home,0,1,L,Kiké,Y,FW,90,0,0,2,1,0,0,0,0,0,0,0
2018-04-18,2017-2018,La Liga,Eibar,Espanyol,Away,1,0,W,Kiké,N,,11,0,0,0,0,0,0,1,0,0,0,0
2018-04-21,2017-2018,La Liga,Eibar,Getafe,Home,0,1,L,Kiké,Y,FW,45,0,0,1,1,0,0,1,0,0,0,0
2018-04-29,2017-2018,La Liga,Eibar,Valencia,Away,0,0,D,Kiké,Y,FW,90,0,0,3,1,1,0,3,0,0,2,1
2018-05-05,2017-2018,La Liga,Eibar,Girona,Away,4,1,W,Kiké,Y,FW,90,2,1,3,3,1,0,1,0,0,1,1
2018-05-20,2017-2018,La Liga,Eibar,Atlético Madrid,Away,2,2,D,Kiké,Y,FW,89,1,0,4,1,0,0,2,0,0,0,0
2018-08-19,2018-2019,La Liga,Eibar,Huesca,Home,1,2,L,Kiké,Y,FW,45,0,0,1,0,0,0,0,0,0,0,0
2018-08-24,2018-2019,La Liga,Eibar,Getafe,Away,0,2,L,Kiké,Y,FW,74,0,0,2,0,0,0,2,1,0,0,0
2018-09-22,2018-2019,La Liga,Eibar,Leganés,Home,1,0,W,Kiké,Y,FW,72,1,0,3,1,0,0,2,1,0,0,0
2018-09-29,2018-2019,La Liga,Eibar,Sevilla,Home,1,3,L,Kiké,Y,FW,68,0,0,0,0,0,0,0,0,0,1,0
2018-10-06,2018-2019,La Liga,Eibar,Girona,Away,3,2,W,Kiké,N,,20,0,0,0,0,0,0,0,0,0,0,0
2018-10-21,2018-2019,La Liga,Eibar,Athletic Club,Home,1,1,D,Kiké,N,,26,0,0,0,0,0,0,1,0,0,0,0
2018-10-27,2018-2019,La Liga,Eibar,Celta Vigo,Away,0,4,L,Kiké,Y,FW,90,0,0,4,1,0,0,1,1,2,1,0
2018-11-04,2018-2019,La Liga,Eibar,Alavés,Home,2,1,W,Kiké,Y,FW,72,0,0,2,0,0,0,2,0,0,0,0
2018-11-10,2018-2019,La Liga,Eibar,Valladolid,Away,0,0,D,Kiké,N,,22,0,0,2,1,0,0,1,0,1,0,1
2018-11-24,2018-2019,La Liga,Eibar,Real Madrid,Home,3,0,W,Kiké,Y,FW,87,1,0,6,3,0,0,0,2,1,0,2
2018-11-30,2018-2019,La Liga,Eibar,Rayo Vallecano,Away,0,1,L,Kiké,N,,29,0,0,1,0,0,0,0,0,1,0,0
2018-12-09,2018-2019,La Liga,Eibar,Levante,Home,4,4,D,Kiké,N,,15,0,0,1,1,0,0,0,0,0,0,0
2018-12-15,2018-2019,La Liga,Eibar,Valencia,Home,1,1,D,Kiké,N,,1,0,0,0,0,0,0,0,0,0,0,0
2018-12-22,2018-2019,La Liga,Eibar,Real Betis,Away,1,1,D,Kiké,Y,FW,90,0,0,4,1,0,0,2,0,2,0,0
2019-01-06,2018-2019,La Liga,Eibar,Villarreal,Home,0,0,D,Kiké,N,,11,0,0,3,2,0,0,0,0,0,0,0
2019-01-13,2018-2019,La Liga,Eibar,Barcelona,Away,0,3,L,Kiké,N,,14,0,0,2,1,0,0,0,0,0,0,0
2019-01-21,2018-2019,La Liga,Eibar,Espanyol,Home,3,0,W,Kiké,Y,FW,77,0,0,2,1,0,0,4,2,0,0,0
2019-01-26,2018-2019,La Liga,Eibar,Leganés,Away,2,2,D,Kiké,Y,FW,90,1,0,1,1,0,0,2,1,1,1,1
2019-02-03,2018-2019,La Liga,Eibar,Girona,Home,3,0,W,Kiké,N,,18,0,0,0,0,0,0,1,0,0,0,0
2019-02-10,2018-2019,La Liga,Eibar,Sevilla,Away,2,2,D,Kiké,N,,8,0,0,0,0,0,0,0,1,0,0,0
2019-02-15,2018-2019,La Liga,Eibar,Getafe,Home,2,2,D,Kiké,N,,30,0,0,1,0,0,0,0,0,1,0,0
2019-02-23,2018-2019,La Liga,Eibar,Athletic Club,Away,0,1,L,Kiké,Y,FW,59,0,0,1,1,0,0,2,0,0,0,0
2019-03-09,2018-2019,La Liga,Eibar,Alavés,Away,1,1,D,Kiké,Y,FW,65,0,0,1,0,0,0,3,0,0,0,0
2019-03-31,2018-2019,La Liga,Eibar,Levante,Away,2,2,D,Kiké,Y,FW,62,0,0,1,0,0,0,2,0,1,0,0
2019-04-03,2018-2019,La Liga,Eibar,Rayo Vallecano,Home,2,1,W,Kiké,Y,FW,45,0,0,2,1,0,0,1,0,0,1,0
2019-04-20,2018-2019,La Liga,Eibar,Atlético Madrid,Home,0,1,L,Kiké,N,,28,0,0,2,1,0,0,0,0,2,0,0
2019-04-23,2018-2019,La Liga,Eibar,Huesca,Away,0,2,L,Kiké,Y,FW,39,0,0,0,0,0,0,3,1,0,0,0
2019-05-05,2018-2019,La Liga,Eibar,Real Betis,Home,1,0,W,Kiké,N,,7,0,0,0,0,0,0,1,0,0,0,0
2019-05-12,2018-2019,La Liga,Eibar,Villarreal,Away,0,1,L,Kiké,N,,9,0,0,0,0,0,0,0,0,0,0,0
2019-05-19,2018-2019,La Liga,Eibar,Barcelona,Home,2,2,D,Kiké,N,,25,0,0,1,0,0,0,1,0,0,0,0
2019-08-17,2019-2020,La Liga,Eibar,Mallorca,Away,1,2,L,Kiké,Y,FW,90,0,0,3,1,0,0,4,0,2,0,0
2019-08-24,2019-2020,La Liga,Eibar,Osasuna,Away,0,0,D,Kiké,Y,FW,90,0,0,3,0,0,0,1,1,0,0,0
2019-09-01,2019-2020,La Liga,Eibar,Atlético Madrid,Away,2,3,L,Kiké,N,,28,0,0,2,0,0,0,3,0,1,0,0
2019-09-29,2019-2020,La Liga,Eibar,Celta Vigo,Home,2,0,W,Kiké,Y,FW,76,0,0,1,0,0,0,3,0,0,1,0
2019-10-04,2019-2020,La Liga,Eibar,Real Betis,Away,1,1,D,Kiké,Y,FW,86,0,0,1,0,0,0,2,1,1,0,1
2019-10-19,2019-2020,La Liga,Eibar,Barcelona,Home,0,3,L,Kiké,N,,12,0,0,0,0,0,0,1,0,0,0,0
2019-10-26,2019-2020,La Liga,Eibar,Valladolid,Away,0,2,L,Kiké,N,,26,0,0,1,0,0,0,0,0,0,2,0
2019-10-31,2019-2020,La Liga,Eibar,Villarreal,Home,2,1,W,Kiké,Y,FW,86,1,0,8,2,0,0,0,0,0,0,0
2019-11-03,2019-2020,La Liga,Eibar,Leganés,Away,2,1,W,Kiké,Y,FW,89,1,0,1,1,1,0,7,0,0,0,0
2019-11-09,2019-2020,La Liga,Eibar,Real Madrid,Home,0,4,L,Kiké,Y,FW,80,0,0,1,0,0,0,1,0,0,1,0
2019-11-24,2019-2020,La Liga,Eibar,Alavés,Home,0,2,L,Kiké,Y,FW,90,0,0,5,1,0,0,0,1,0,0,0
2019-11-30,2019-2020,La Liga,Eibar,Real Sociedad,Away,1,4,L,Kiké,N,,30,0,0,1,1,0,0,0,1,1,0,0
2019-12-08,2019-2020,La Liga,Eibar,Getafe,Home,0,1,L,Kiké,Y,FW,90,0,0,2,1,0,0,3,0,3,0,0
2019-12-14,2019-2020,La Liga,Eibar,Athletic Club,Away,0,0,D,Kiké,Y,FW,85,0,0,3,1,1,0,6,2,1,0,0
