Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-15,2024-2025,Matchweek 1,Girona,Real Betis,Away,1,1,D 1-1,Ladislav Krejčí,N,CB,10,0,0,0,0,0,0,0,0,0,0,0
2024-09-21,2024-2025,Matchweek 6,Girona,Valencia,Away,0,2,L 0-2,Ladislav Krejčí,Y,CB,90,0,0,1,1,0,0,0,0,0,0,2
2024-09-29,2024-2025,Matchweek 8,Girona,Celta Vigo,Away,1,1,D 1-1,Ladislav Krejčí,Y,CB,90,0,0,1,0,0,0,2,0,0,1,3
2024-10-06,2024-2025,Matchweek 9,Girona,Athletic Club,Home,2,1,W 2-1,Ladislav Krejčí,Y,CB,90,0,0,1,0,1,0,2,2,0,1,0
2024-10-19,2024-2025,Matchweek 10,Girona,Real Sociedad,Home,0,1,L 0-1,Ladislav Krejčí,Y,CB,90,0,0,1,1,0,0,0,0,0,2,3
2024-10-26,2024-2025,Matchweek 11,Girona,Las Palmas,Away,0,1,L 0-1,Ladislav Krejčí,Y,CB,90,0,0,0,0,1,0,2,0,0,1,0
2024-11-23,2024-2025,Matchweek 14,Girona,Espanyol,Home,4,1,W 4-1,Ladislav Krejčí,Y,CB,90,1,0,1,1,0,0,0,0,0,0,1
2024-12-01,2024-2025,Matchweek 15,Girona,Villarreal,Away,2,2,D 2-2,Ladislav Krejčí,Y,CB,90,1,0,1,1,1,0,2,1,0,0,3
2024-12-07,2024-2025,Matchweek 16,Girona,Real Madrid,Home,0,3,L 0-3,Ladislav Krejčí,Y,CB,90,0,0,1,0,1,0,1,1,0,1,2
2024-12-20,2024-2025,Matchweek 18,Girona,Valladolid,Home,3,0,W 3-0,Ladislav Krejčí,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2025-01-11,2024-2025,Matchweek 19,Girona,Alavés,Away,1,0,W 1-0,Ladislav Krejčí,Y,CB,90,0,0,1,0,1,0,1,0,0,1,0
2025-01-18,2024-2025,Matchweek 20,Girona,Sevilla,Home,1,2,L 1-2,Ladislav Krejčí,Y,CB,90,0,0,0,0,0,0,1,1,0,1,0
2025-02-03,2024-2025,Matchweek 22,Girona,Las Palmas,Home,2,1,W 2-1,Ladislav Krejčí,Y,CB,90,0,0,1,0,0,0,0,1,0,0,0
2025-02-08,2024-2025,Matchweek 23,Girona,Athletic Club,Away,0,3,L 0-3,Ladislav Krejčí,Y,CB,90,0,0,0,0,1,0,1,0,0,3,2
2025-02-14,2024-2025,Matchweek 24,Girona,Getafe,Home,1,2,L 1-2,Ladislav Krejčí,Y,CB,90,0,0,1,0,0,0,1,0,0,0,1
2025-02-23,2024-2025,Matchweek 25,Girona,Real Madrid,Away,0,2,L 0-2,Ladislav Krejčí,Y,CB,90,0,0,0,0,1,0,1,0,0,1,3
2025-03-01,2024-2025,Matchweek 26,Girona,Celta Vigo,Home,2,2,D 2-2,Ladislav Krejčí,Y,CB,90,0,0,1,0,0,0,0,1,1,1,3
2025-03-10,2024-2025,Matchweek 27,Girona,Espanyol,Away,1,1,D 1-1,Ladislav Krejčí,Y,CB,90,0,0,0,0,1,0,1,0,0,2,2
2025-03-15,2024-2025,Matchweek 28,Girona,Valencia,Home,1,1,D 1-1,Ladislav Krejčí,Y,CB,90,0,0,2,0,0,0,1,0,1,0,3
2025-03-30,2024-2025,Matchweek 29,Girona,Barcelona,Away,1,4,L 1-4,Ladislav Krejčí,Y,CB,90,0,0,1,1,0,0,1,0,0,1,1
2025-04-05,2024-2025,Matchweek 30,Girona,Alavés,Home,0,1,L 0-1,Ladislav Krejčí,Y,CB,90,0,0,1,0,0,0,1,2,0,1,0
2025-04-13,2024-2025,Matchweek 31,Girona,Osasuna,Away,1,2,L 1-2,Ladislav Krejčí,Y,CB,90,0,0,0,0,0,0,3,2,0,1,1
2025-04-21,2024-2025,Matchweek 32,Girona,Real Betis,Home,1,3,L 1-3,Ladislav Krejčí,Y,CB,90,0,0,0,0,0,0,1,2,0,0,0
2025-04-24,2024-2025,Matchweek 33,Girona,Leganés,Away,1,1,D 1-1,Ladislav Krejčí,Y,CB,90,0,0,1,0,0,0,1,1,0,0,0
2025-05-05,2024-2025,Matchweek 34,Girona,Mallorca,Home,1,0,W 1-0,Ladislav Krejčí,Y,CB,90,0,0,1,0,0,0,0,1,0,1,0
2025-05-10,2024-2025,Matchweek 35,Girona,Villarreal,Home,0,1,L 0-1,Ladislav Krejčí,Y,CB,90,0,0,1,0,1,0,1,1,0,1,0
2025-05-18,2024-2025,Matchweek 37,Girona,Real Sociedad,Away,2,3,L 2-3,Ladislav Krejčí,Y,CB,90,0,0,0,0,0,0,1,1,0,0,2
2025-05-25,2024-2025,Matchweek 38,Girona,Atlético Madrid,Home,0,4,L 0-4,Ladislav Krejčí,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
