Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-04-29,2022-2023,La Liga,Barcelona,Real Betis,Home,4,0,W,Lamine Yamal,N,RW,8,0,0,1,1,0,0,0,0,1,0,0
2023-08-13,2023-2024,La Liga,Barcelona,Getafe,Away,0,0,D,Lamine Yamal,N,FW,15,0,0,0,0,0,0,0,1,3,1,0
2023-08-20,2023-2024,La Liga,Barcelona,Cádiz,Home,2,0,W,Lamine Yamal,Y,DM,84,0,0,2,2,0,0,0,2,4,1,1
2023-08-27,2023-2024,La Liga,Barcelona,Villarreal,Away,4,3,W,Lamine Yamal,Y,FW,75,0,1,4,1,1,0,1,1,4,1,1
2023-09-03,2023-2024,La Liga,Barcelona,Osasuna,Away,2,1,W,Lamine Yamal,Y,FW,58,0,0,1,0,0,0,1,2,2,1,1
2023-09-16,2023-2024,La Liga,Barcelona,Real Betis,Home,5,0,W,Lamine Yamal,N,FW,27,0,0,1,0,0,0,0,1,2,0,0
2023-09-23,2023-2024,La Liga,Barcelona,Celta Vigo,Home,3,2,W,Lamine Yamal,N,FW,45,0,0,0,0,0,0,0,2,1,0,0
2023-09-26,2023-2024,La Liga,Barcelona,Mallorca,Away,2,2,D,Lamine Yamal,N,FW,27,0,0,0,0,0,0,0,2,2,0,1
2023-09-29,2023-2024,La Liga,Barcelona,Sevilla,Home,1,0,W,Lamine Yamal,Y,FW,81,0,0,2,0,0,0,0,1,1,1,0
2023-10-08,2023-2024,La Liga,Barcelona,Granada,Away,2,2,D,Lamine Yamal,Y,FW,75,1,0,3,1,0,0,0,0,2,1,0
2023-10-22,2023-2024,La Liga,Barcelona,Athletic Club,Home,1,0,W,Lamine Yamal,N,FW,31,0,0,2,0,0,0,0,0,1,2,0
2023-10-28,2023-2024,La Liga,Barcelona,Real Madrid,Home,1,2,L,Lamine Yamal,N,FW,14,0,0,1,0,0,0,0,0,0,0,0
2023-11-04,2023-2024,La Liga,Barcelona,Real Sociedad,Away,1,0,W,Lamine Yamal,N,FW,22,0,0,0,0,0,0,0,1,0,0,0
2023-11-12,2023-2024,La Liga,Barcelona,Alavés,Home,2,1,W,Lamine Yamal,Y,AM,90,0,0,1,1,0,0,2,2,5,2,1
2023-11-25,2023-2024,La Liga,Barcelona,Rayo Vallecano,Away,1,1,D,Lamine Yamal,Y,AM,74,0,0,3,1,0,0,0,1,3,1,1
2023-12-03,2023-2024,La Liga,Barcelona,Atlético Madrid,Home,1,0,W,Lamine Yamal,N,FW,14,0,0,1,0,0,0,0,1,0,2,0
