Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2010-05-02,2009-2010,La Liga,Atlético Madrid,Sevilla,Away,1,3,L,Leandro Cabrera,Y,N/A,90,0,0,0,0,1,0,N/A,N/A,N/A,N/A,N/A
2010-05-05,2009-2010,La Liga,Atlético Madrid,Valladolid,Home,3,1,W,Leandro Cabrera,Y,N/A,90,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2010-05-08,2009-2010,La Liga,Atlético Madrid,Sporting Gijón,Away,1,1,D,Leandro Cabrera,Y,N/A,90,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2010-05-15,2009-2010,La Liga,Atlético Madrid,Getafe,Home,0,3,L,Leandro Cabrera,Y,N/A,90,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2017-08-20,2017-2018,Serie A,Crotone,Milan,Home,0,3,L,Leandro Cabrera,Y,CB,90,0,0,0,0,0,0,2,0,0,0,1
2017-08-27,2017-2018,Serie A,Crotone,Hellas Verona,Home,0,0,D,Leandro Cabrera,Y,CB,90,0,0,0,0,0,0,2,0,0,0,2
2017-09-10,2017-2018,Serie A,Crotone,Cagliari,Away,0,1,L,Leandro Cabrera,Y,CB,90,0,0,1,0,0,0,0,0,0,0,3
2017-09-16,2017-2018,Serie A,Crotone,Inter,Home,0,2,L,Leandro Cabrera,N,CB,25,0,0,0,0,0,0,0,0,0,1,0
2017-09-20,2017-2018,Serie A,Crotone,Atalanta,Away,1,5,L,Leandro Cabrera,Y,CB,70,0,0,0,0,0,0,3,0,0,4,3
2018-02-11,2017-2018,La Liga,Getafe,Barcelona,Away,0,0,D,Leandro Cabrera,N,N/A,3,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,2017-2018,La Liga,Getafe,Celta Vigo,Home,3,0,W,Leandro Cabrera,Y,LB,90,0,0,0,0,1,0,3,0,0,2,2
2018-03-10,2017-2018,La Liga,Getafe,Levante,Home,0,1,L,Leandro Cabrera,Y,LB,90,0,0,0,0,0,0,3,1,3,3,4
2018-03-17,2017-2018,La Liga,Getafe,Real Sociedad,Away,2,1,W,Leandro Cabrera,Y,CB,90,0,0,0,0,1,0,2,0,1,1,4
2018-04-02,2017-2018,La Liga,Getafe,Real Betis,Home,0,1,L,Leandro Cabrera,Y,CB,90,0,0,2,1,0,0,3,0,0,1,2
2018-04-07,2017-2018,La Liga,Getafe,Alavés,Away,0,2,L,Leandro Cabrera,Y,CB,90,0,0,0,0,0,0,2,0,0,2,0
2018-04-15,2017-2018,La Liga,Getafe,Espanyol,Home,1,0,W,Leandro Cabrera,Y,LB,90,0,0,0,0,0,0,0,0,2,2,1
2018-04-18,2017-2018,La Liga,Getafe,Valencia,Away,2,1,W,Leandro Cabrera,Y,LB,90,0,0,0,0,1,0,1,0,4,0,8
2018-04-21,2017-2018,La Liga,Getafe,Eibar,Away,1,0,W,Leandro Cabrera,Y,LB,87,0,0,0,0,0,0,0,1,0,3,2
2018-08-19,2018-2019,La Liga,Getafe,Real Madrid,Away,0,2,L,Leandro Cabrera,Y,LB,90,0,0,0,0,1,0,1,0,2,0,1
2018-08-24,2018-2019,La Liga,Getafe,Eibar,Home,2,0,W,Leandro Cabrera,N,LB,5,0,0,0,0,0,0,0,0,0,0,0
2018-09-16,2018-2019,La Liga,Getafe,Sevilla,Away,2,0,W,Leandro Cabrera,Y,CB,90,0,0,0,0,1,0,1,0,0,1,3
2018-09-22,2018-2019,La Liga,Getafe,Atlético Madrid,Home,0,2,L,Leandro Cabrera,Y,CB,90,0,0,0,0,0,0,1,0,0,0,3
2018-09-27,2018-2019,La Liga,Getafe,Alavés,Away,1,1,D,Leandro Cabrera,Y,LB,90,0,0,1,0,1,0,4,0,0,1,0
2018-10-21,2018-2019,La Liga,Getafe,Rayo Vallecano,Away,2,1,W,Leandro Cabrera,Y,CB,90,0,0,1,0,1,0,1,0,0,1,1
2018-10-28,2018-2019,La Liga,Getafe,Real Betis,Home,2,0,W,Leandro Cabrera,Y,CB,90,0,0,1,0,0,0,0,0,0,0,0
2018-11-04,2018-2019,La Liga,Getafe,Huesca,Away,1,1,D,Leandro Cabrera,Y,CB,90,0,0,1,0,0,0,0,0,0,0,1
2018-11-10,2018-2019,La Liga,Getafe,Valencia,Home,0,1,L,Leandro Cabrera,Y,CB,90,0,0,2,0,0,0,2,0,0,0,0
2018-11-25,2018-2019,La Liga,Getafe,Athletic Club,Away,1,1,D,Leandro Cabrera,Y,CB,90,0,0,0,0,1,0,3,0,0,1,5
2018-12-07,2018-2019,La Liga,Getafe,Leganés,Away,1,1,D,Leandro Cabrera,Y,LB,90,1,0,1,1,0,0,1,4,3,1,1
2018-12-15,2018-2019,La Liga,Getafe,Real Sociedad,Home,1,0,W,Leandro Cabrera,Y,CB,90,0,0,0,0,0,0,1,0,0,1,3
