Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-01-08,2021-2022,La Liga,Mallorca,Levante,Away,0,2,L,Leo Román,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-01-22,2021-2022,La Liga,Mallorca,Villarreal,Away,0,3,L,Leo Román,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-06-04,2022-2023,La Liga,Mallorca,Rayo Vallecano,Home,3,0,W 3–0,Leo Román,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-08-27,2024-2025,La Liga,Mallorca,Sevilla,Home,0,0,D,Leo Román,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-09-17,2024-2025,La Liga,Mallorca,Real Sociedad,Home,1,0,W,Leo Román,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-09-27,2024-2025,La Liga,Mallorca,Valladolid,Away,2,1,W,Leo Román,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-11-01,2024-2025,La Liga,Mallorca,Alavés,Away,0,1,L,Leo Román,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-12-03,2024-2025,La Liga,Mallorca,Barcelona,Home,1,5,L,Leo Román,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2025-04-22,2024-2025,La Liga,Mallorca,Barcelona,Away,0,1,L,Leo Román,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2025-05-14,2024-2025,La Liga,Mallorca,Real Madrid,Away,1,2,L,Leo Román,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
