Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-08-31,2022-2023,Ligue 1,Toulouse,Paris Saint-Germain,Home,0,3,L,Logan Costa,N,CB,45,0,0,0,0,0,0,0,0,0,0,1
2023-03-12,2022-2023,Ligue 1,Toulouse,Angers,Away,2,0,W,Logan Costa,N,CB,10,0,0,0,0,0,0,0,0,0,0,0
2023-04-14,2022-2023,Ligue 1,Toulouse,Lyon,Home,1,2,L,Logan Costa,Y,CB,90,0,0,0,1,0,0,0,1,0,0,1
2023-05-02,2022-2023,Ligue 1,Toulouse,Lens,Home,0,1,L,Logan Costa,Y,CB,90,0,0,0,2,1,0,0,2,0,0,2
2023-05-21,2022-2023,Ligue 1,Toulouse,Nice,Away,0,0,D,Logan Costa,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2023-06-03,2022-2023,Ligue 1,Toulouse,Monaco,Away,2,1,W,Logan Costa,Y,CB,90,0,0,0,2,1,0,0,2,1,0,1
2023-08-13,2023-2024,Ligue 1,Toulouse,Nantes,Away,2,1,W,Logan Costa,Y,CB,90,0,0,0,0,1,0,2,0,1,3,0
2023-08-19,2023-2024,Ligue 1,Toulouse,Paris Saint-Germain,Home,1,1,D,Logan Costa,Y,CB,90,0,0,0,0,0,0,2,0,0,1,1
2023-08-27,2023-2024,Ligue 1,Toulouse,Strasbourg,Away,0,2,L,Logan Costa,Y,CB,90,0,0,1,1,0,0,3,1,0,3,1
2023-09-03,2023-2024,Ligue 1,Toulouse,Clermont Foot,Home,2,2,D,Logan Costa,Y,CB,90,0,0,0,0,0,0,0,3,0,0,0
2023-09-17,2023-2024,Ligue 1,Toulouse,Marseille,Away,0,0,D,Logan Costa,Y,CB,90,0,0,0,0,0,0,1,0,0,1,0
2023-09-24,2023-2024,Ligue 1,Toulouse,Lens,Away,1,2,L,Logan Costa,N,CB,33,0,0,1,0,0,0,0,0,0,0,1
2023-10-01,2023-2024,Ligue 1,Toulouse,Metz,Home,3,0,W,Logan Costa,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2023-10-08,2023-2024,Ligue 1,Toulouse,Brest,Away,1,1,D,Logan Costa,Y,CB,90,0,0,1,0,0,0,0,0,0,0,0
2023-10-22,2023-2024,Ligue 1,Toulouse,Reims,Home,1,1,D,Logan Costa,Y,CB,90,0,1,0,0,1,0,2,0,1,0,0
2023-10-29,2023-2024,Ligue 1,Toulouse,Montpellier,Away,0,3,L,Logan Costa,Y,CB,90,0,0,0,0,0,0,0,1,0,1,2
2023-11-05,2023-2024,Ligue 1,Toulouse,Le Havre,Home,1,2,L,Logan Costa,Y,CB,66,0,0,1,0,1,0,3,0,0,0,1
2023-11-12,2023-2024,Ligue 1,Toulouse,Lille,Away,1,1,D,Logan Costa,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2023-11-26,2023-2024,Ligue 1,Toulouse,Nice,Away,0,1,L,Logan Costa,Y,CB,90,0,0,1,0,0,0,2,0,0,1,0
2023-12-03,2023-2024,Ligue 1,Toulouse,Lorient,Home,1,1,D,Logan Costa,Y,CB,90,0,0,0,0,0,0,1,0,1,1,2
2023-12-10,2023-2024,Ligue 1,Toulouse,Lyon,Away,0,3,L,Logan Costa,Y,CB,90,0,0,2,2,0,0,0,0,1,3,2
2023-12-17,2023-2024,Ligue 1,Toulouse,Rennes,Home,0,0,D,Logan Costa,Y,CB,90,0,0,0,0,1,0,1,0,0,1,1
2023-12-20,2023-2024,Ligue 1,Toulouse,Monaco,Home,1,2,L,Logan Costa,Y,CB,90,0,0,0,0,1,0,5,1,1,0,1
2024-02-11,2023-2024,Ligue 1,Toulouse,Nantes,Home,1,2,L,Logan Costa,N,CB,31,0,0,0,0,0,0,0,1,1,0,0
2024-02-18,2023-2024,Ligue 1,Toulouse,Monaco,Away,2,1,W,Logan Costa,Y,CB,90,1,0,1,1,0,0,0,0,1,1,1
2024-02-25,2023-2024,Ligue 1,Toulouse,Lille,Home,3,1,W,Logan Costa,Y,CB,90,0,0,1,0,0,0,3,0,1,0,1
2024-03-03,2023-2024,Ligue 1,Toulouse,Nice,Home,2,1,W,Logan Costa,Y,CB,90,0,0,0,0,1,0,2,1,0,3,1
2024-03-10,2023-2024,Ligue 1,Toulouse,Le Havre,Away,0,1,L,Logan Costa,Y,CB,90,0,0,2,0,0,0,2,1,0,0,0
2024-03-15,2023-2024,Ligue 1,Toulouse,Lyon,Home,2,3,L,Logan Costa,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2024-03-31,2023-2024,Ligue 1,Toulouse,Clermont Foot,Away,3,0,W,Logan Costa,Y,CB,90,0,0,1,0,0,0,1,0,1,0,0
2024-04-07,2023-2024,Ligue 1,Toulouse,Strasbourg,Home,0,0,D,Logan Costa,Y,CB,90,0,0,1,0,0,0,2,0,1,0,1
2024-04-13,2023-2024,Ligue 1,Toulouse,Rennes,Away,2,1,W,Logan Costa,Y,CB,90,0,0,0,0,0,0,0,0,1,1,1
2024-04-21,2023-2024,Ligue 1,Toulouse,Marseille,Home,2,2,D,Logan Costa,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2024-04-28,2023-2024,Ligue 1,Toulouse,Lorient,Away,2,1,W,Logan Costa,Y,CB,90,0,0,0,0,0,0,1,0,0,0,2
2024-05-03,2023-2024,Ligue 1,Toulouse,Montpellier,Home,1,2,L,Logan Costa,Y,CB,90,0,0,1,0,0,0,1,0,1,1,1
2024-05-12,2023-2024,Ligue 1,Toulouse,Paris Saint-Germain,Away,3,1,W,Logan Costa,Y,CB,90,0,0,0,0,0,0,1,0,1,1,0
2024-05-19,2023-2024,Ligue 1,Toulouse,Brest,Home,0,3,L,Logan Costa,Y,CB,90,0,0,0,0,0,0,2,2,0,0,2
2024-08-18,2024-2025,Ligue 1,Toulouse,Nantes,Home,0,0,D,Logan Costa,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2024-08-26,2024-2025,La Liga,Villarreal,Celta Vigo,Home,4,3,W,Logan Costa,N,CB,33,0,0,0,0,0,0,0,0,0,0,0
2024-08-31,2024-2025,La Liga,Villarreal,Valencia,Away,1,1,D,Logan Costa,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2024-09-14,2024-2025,La Liga,Villarreal,Mallorca,Away,2,1,W,Logan Costa,Y,CB,90,1,0,1,1,0,0,0,0,0,0,1
2024-09-22,2024-2025,La Liga,Villarreal,Barcelona,Home,1,5,L,Logan Costa,Y,CB,90,0,0,1,0,0,0,0,0,0,0,2
2024-09-26,2024-2025,La Liga,Villarreal,Espanyol,Away,2,1,W,Logan Costa,Y,CB,73,0,0,0,0,0,0,1,1,0,2,0
2024-09-30,2024-2025,La Liga,Villarreal,Las Palmas,Home,3,1,W,Logan Costa,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2024-10-05,2024-2025,La Liga,Villarreal,Real Madrid,Away,0,2,L,Logan Costa,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2024-10-26,2024-2025,La Liga,Villarreal,Valladolid,Away,2,1,W,Logan Costa,Y,CB,90,0,0,1,1,1,0,1,0,1,1,0
2024-11-09,2024-2025,La Liga,Villarreal,Alavés,Home,3,0,W,Logan Costa,Y,CB,90,0,0,0,0,0,0,1,0,0,1,0
2024-11-24,2024-2025,La Liga,Villarreal,Osasuna,Away,2,2,D,Logan Costa,Y,CB,90,0,0,3,1,0,0,1,1,0,3,0
2024-12-01,2024-2025,La Liga,Villarreal,Girona,Home,2,2,D,Logan Costa,Y,CB,90,0,0,0,0,0,0,1,1,0,1,1
2024-12-08,2024-2025,La Liga,Villarreal,Athletic Club,Away,0,2,L,Logan Costa,Y,CB,90,0,0,0,0,0,0,0,0,0,2,0
2024-12-18,2024-2025,La Liga,Villarreal,Rayo Vallecano,Home,1,1,D,Logan Costa,Y,CB,90,0,0,0,0,1,0,1,0,0,0,1
2024-12-22,2024-2025,La Liga,Villarreal,Leganés,Away,5,2,W,Logan Costa,Y,CB,45,0,0,0,0,0,0,1,0,0,0,1
2025-01-20,2024-2025,La Liga,Villarreal,Mallorca,Home,4,0,W,Logan Costa,Y,CB,90,1,0,1,1,0,0,0,0,0,1,2
2025-01-25,2024-2025,La Liga,Villarreal,Atlético Madrid,Away,1,1,D,Logan Costa,Y,CB,90,0,0,2,0,0,0,0,0,0,0,1
2025-02-08,2024-2025,La Liga,Villarreal,Las Palmas,Away,2,1,W,Logan Costa,N,CB,12,0,0,0,0,0,0,0,0,0,0,0
2025-02-15,2024-2025,La Liga,Villarreal,Valencia,Home,1,1,D,Logan Costa,Y,CB,90,0,0,0,0,0,0,1,1,0,1,2
2025-02-22,2024-2025,La Liga,Villarreal,Rayo Vallecano,Away,1,0,W,Logan Costa,Y,CB,90,0,0,0,0,0,0,2,0,0,1,1
2025-03-08,2024-2025,La Liga,Villarreal,Alavés,Away,0,1,L,Logan Costa,Y,CB,90,0,0,1,0,0,0,2,0,0,2,1
2025-03-15,2024-2025,La Liga,Villarreal,Real Madrid,Home,1,2,L,Logan Costa,Y,CB,90,0,0,1,1,0,0,0,0,0,0,1
