Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-08-23,2020-2021,Ligue 1,Lens,Nice,Away,1,2,L,Loïc Badé,Y,CB,90,0,0,2,1,0,0,2,0,0,1,3
2020-09-10,2020-2021,Ligue 1,Lens,PSG,Home,1,0,W,Loïc Badé,Y,CB,90,0,0,0,0,0,0,2,0,1,1,2
2020-09-13,2020-2021,Ligue 1,Lens,Lorient,Away,3,2,W,Loïc Badé,Y,CB,89,0,0,1,1,2,0,3,0,0,1,0
2020-09-27,2020-2021,Ligue 1,Lens,Nîmes,Away,1,1,D,Loïc Badé,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2020-10-03,2020-2021,Ligue 1,Lens,Saint-Étienne,Home,2,0,W,Loïc Badé,Y,CB,90,0,0,0,0,0,0,1,0,0,2,0
2020-10-18,2020-2021,Ligue 1,Lens,Lille,Away,0,4,L,Loïc Badé,Y,CB,90,0,0,0,0,0,0,1,1,0,3,3
2020-11-08,2020-2021,Ligue 1,Lens,Reims,Home,4,4,D,Loïc Badé,Y,CB,90,0,0,0,0,1,0,1,0,1,1,1
2020-11-22,2020-2021,Ligue 1,Lens,Dijon,Away,1,0,W,Loïc Badé,Y,CB,90,0,0,0,0,0,0,0,0,0,4,9
2020-11-25,2020-2021,Ligue 1,Lens,Nantes,Home,1,1,D,Loïc Badé,Y,CB,90,0,0,0,0,1,0,3,2,0,2,1
2020-11-29,2020-2021,Ligue 1,Lens,Angers,Home,1,3,L,Loïc Badé,Y,CB,90,0,0,0,0,0,0,2,1,0,0,6
2020-12-05,2020-2021,Ligue 1,Lens,Rennes,Away,2,0,W,Loïc Badé,Y,CB,90,0,0,0,0,1,0,3,1,0,3,4
2020-12-12,2020-2021,Ligue 1,Lens,Montpellier,Home,2,3,L,Loïc Badé,Y,CB,90,0,0,1,0,0,0,2,1,1,0,2
2020-12-19,2020-2021,Ligue 1,Lens,Metz,Away,0,2,L,Loïc Badé,Y,CB,90,0,0,0,0,0,0,1,2,0,1,3
2020-12-23,2020-2021,Ligue 1,Lens,Brest,Home,2,1,W,Loïc Badé,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2021-01-06,2020-2021,Ligue 1,Lens,Lyon,Away,2,3,L,Loïc Badé,Y,CB,90,0,0,1,0,1,0,1,0,0,2,4
2021-01-09,2020-2021,Ligue 1,Lens,Strasbourg,Home,0,1,L,Loïc Badé,Y,CB,72,0,0,0,0,0,0,0,0,1,0,1
2021-01-30,2020-2021,Ligue 1,Lens,Montpellier,Away,2,1,W,Loïc Badé,N,CB,10,0,0,0,0,0,0,1,0,0,0,0
2021-02-03,2020-2021,Ligue 1,Lens,Marseille,Home,2,2,D,Loïc Badé,N,CB,9,0,0,0,0,0,0,1,0,0,0,0
2021-02-06,2020-2021,Ligue 1,Lens,Rennes,Home,0,0,D,Loïc Badé,Y,CB,90,0,0,1,0,0,0,0,0,0,0,1
2021-02-13,2020-2021,Ligue 1,Lens,Reims,Away,1,1,D,Loïc Badé,Y,CB,90,0,0,0,0,0,0,0,0,0,2,2
2021-02-21,2020-2021,Ligue 1,Lens,Dijon,Home,2,1,W,Loïc Badé,Y,CB,90,0,0,1,1,1,0,5,0,0,2,3
2021-02-28,2020-2021,Ligue 1,Lens,Angers,Away,2,2,D,Loïc Badé,Y,CB,90,0,0,0,0,0,0,2,1,0,1,4
2021-03-03,2020-2021,Ligue 1,Lens,Saint-Étienne,Away,3,2,W,Loïc Badé,Y,CB,90,0,0,0,0,0,0,0,0,0,2,2
2021-03-14,2020-2021,Ligue 1,Lens,Metz,Home,2,2,D,Loïc Badé,Y,CB,90,0,0,1,0,0,0,1,0,0,0,3
2021-03-21,2020-2021,Ligue 1,Lens,Strasbourg,Away,2,1,W,Loïc Badé,Y,CB,90,0,0,0,0,1,0,2,0,0,0,2
