Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-10-19,2022-2023,La Liga,Valladolid,Celta Vigo,Home,4,1,W,Lucas Oliveira Rosa,Y,RB,90,0,0,1,0,0,0,1,2,0,4,2
2022-10-22,2022-2023,La Liga,Valladolid,Real Sociedad,Home,1,0,W,Lucas Oliveira Rosa,Y,RM,90,0,0,0,0,0,0,1,1,0,1,1
2022-10-30,2022-2023,La Liga,Valladolid,Osasuna,Away,0,2,L,Lucas Oliveira Rosa,Y,RM,45,0,0,0,0,1,0,1,1,0,0,1
2022-11-05,2022-2023,La Liga,Valladolid,Elche,Home,2,1,W,Lucas Oliveira Rosa,Y,RB,90,0,0,1,1,0,0,1,0,0,4,1
2022-11-08,2022-2023,La Liga,Valladolid,Athletic Club,Away,0,3,L,Lucas Oliveira Rosa,N,,8,0,0,0,0,0,0,0,0,0,0,0
2023-01-07,2022-2023,La Liga,Valladolid,Mallorca,Away,0,1,L,Lucas Oliveira Rosa,Y,LB,90,0,0,0,0,0,0,1,2,0,1,1
2023-01-14,2022-2023,La Liga,Valladolid,Rayo Vallecano,Home,0,1,L,Lucas Oliveira Rosa,Y,LB,90,0,0,0,0,0,0,4,1,0,1,0
2023-01-21,2022-2023,La Liga,Valladolid,Atlético Madrid,Away,0,3,L,Lucas Oliveira Rosa,N,,22,0,0,0,0,0,0,0,0,0,1,1
2023-01-29,2022-2023,La Liga,Valladolid,Valencia,Home,1,0,W,Lucas Oliveira Rosa,Y,RB,45,0,0,0,0,0,0,1,1,0,2,0
2023-02-05,2022-2023,La Liga,Valladolid,Real Sociedad,Away,1,0,W,Lucas Oliveira Rosa,N,,7,0,0,1,0,0,0,0,0,1,0,1
2023-04-02,2022-2023,La Liga,Valladolid,Real Madrid,Home,0,6,L,Lucas Oliveira Rosa,Y,LM,60,0,0,0,0,0,0,1,1,0,4,2
2023-04-09,2022-2023,La Liga,Valladolid,Mallorca,Away,3,3,D,Lucas Oliveira Rosa,Y,LB,66,0,1,1,0,1,0,3,0,0,1,2
